Entity,Year,Number of conflicts and incidences of one-sided violence
Civil conflicts,1946,8
Civil conflicts,1947,9
Civil conflicts,1948,12
Civil conflicts,1949,12
Civil conflicts,1950,11
Civil conflicts,1951,8
Civil conflicts,1952,7
Civil conflicts,1953,8
Civil conflicts,1954,8
Civil conflicts,1955,7
Civil conflicts,1956,9
Civil conflicts,1957,9
Civil conflicts,1958,11
Civil conflicts,1959,12
Civil conflicts,1960,11
Civil conflicts,1961,16
Civil conflicts,1962,13
Civil conflicts,1963,13
Civil conflicts,1964,14
Civil conflicts,1965,17
Civil conflicts,1966,19
Civil conflicts,1967,22
Civil conflicts,1968,20
Civil conflicts,1969,17
Civil conflicts,1970,16
Civil conflicts,1971,20
Civil conflicts,1972,17
Civil conflicts,1973,17
Civil conflicts,1974,20
Civil conflicts,1975,24
Civil conflicts,1976,29
Civil conflicts,1977,29
Civil conflicts,1978,29
Civil conflicts,1979,34
Civil conflicts,1980,30
Civil conflicts,1981,32
Civil conflicts,1982,37
Civil conflicts,1983,33
Civil conflicts,1984,34
Civil conflicts,1985,32
Civil conflicts,1986,36
Civil conflicts,1987,37
Civil conflicts,1988,32
Civil conflicts,1989,33
Civil conflicts,1990,44
Civil conflicts,1991,48
Civil conflicts,1992,44
Civil conflicts,1993,37
Civil conflicts,1994,46
Civil conflicts,1995,37
Civil conflicts,1996,36
Civil conflicts,1997,35
Civil conflicts,1998,32
Civil conflicts,1999,32
Civil conflicts,2000,32
Civil conflicts,2001,32
Civil conflicts,2002,29
Civil conflicts,2003,27
Civil conflicts,2004,29
Civil conflicts,2005,27
Civil conflicts,2006,28
Civil conflicts,2007,31
Civil conflicts,2008,30
Civil conflicts,2009,30
Civil conflicts,2010,23
Civil conflicts,2011,30
Civil conflicts,2012,23
Civil conflicts,2013,27
Civil conflicts,2014,28
Civil conflicts,2015,31
Civil conflicts,2016,31
Civil conflicts with foreign state intervention,1946,2
Civil conflicts with foreign state intervention,1947,0
Civil conflicts with foreign state intervention,1948,0
Civil conflicts with foreign state intervention,1949,0
Civil conflicts with foreign state intervention,1950,0
Civil conflicts with foreign state intervention,1951,0
Civil conflicts with foreign state intervention,1952,0
Civil conflicts with foreign state intervention,1953,0
Civil conflicts with foreign state intervention,1954,0
Civil conflicts with foreign state intervention,1955,0
Civil conflicts with foreign state intervention,1956,0
Civil conflicts with foreign state intervention,1957,1
Civil conflicts with foreign state intervention,1958,1
Civil conflicts with foreign state intervention,1959,1
Civil conflicts with foreign state intervention,1960,3
Civil conflicts with foreign state intervention,1961,2
Civil conflicts with foreign state intervention,1962,2
Civil conflicts with foreign state intervention,1963,3
Civil conflicts with foreign state intervention,1964,4
Civil conflicts with foreign state intervention,1965,3
Civil conflicts with foreign state intervention,1966,3
Civil conflicts with foreign state intervention,1967,2
Civil conflicts with foreign state intervention,1968,2
Civil conflicts with foreign state intervention,1969,4
Civil conflicts with foreign state intervention,1970,5
Civil conflicts with foreign state intervention,1971,4
Civil conflicts with foreign state intervention,1972,4
Civil conflicts with foreign state intervention,1973,3
Civil conflicts with foreign state intervention,1974,2
Civil conflicts with foreign state intervention,1975,4
Civil conflicts with foreign state intervention,1976,2
Civil conflicts with foreign state intervention,1977,4
Civil conflicts with foreign state intervention,1978,5
Civil conflicts with foreign state intervention,1979,4
Civil conflicts with foreign state intervention,1980,8
Civil conflicts with foreign state intervention,1981,7
Civil conflicts with foreign state intervention,1982,5
Civil conflicts with foreign state intervention,1983,6
Civil conflicts with foreign state intervention,1984,5
Civil conflicts with foreign state intervention,1985,4
Civil conflicts with foreign state intervention,1986,5
Civil conflicts with foreign state intervention,1987,5
Civil conflicts with foreign state intervention,1988,4
Civil conflicts with foreign state intervention,1989,5
Civil conflicts with foreign state intervention,1990,3
Civil conflicts with foreign state intervention,1991,2
Civil conflicts with foreign state intervention,1992,4
Civil conflicts with foreign state intervention,1993,6
Civil conflicts with foreign state intervention,1994,2
Civil conflicts with foreign state intervention,1995,2
Civil conflicts with foreign state intervention,1996,3
Civil conflicts with foreign state intervention,1997,4
Civil conflicts with foreign state intervention,1998,6
Civil conflicts with foreign state intervention,1999,6
Civil conflicts with foreign state intervention,2000,4
Civil conflicts with foreign state intervention,2001,5
Civil conflicts with foreign state intervention,2002,3
Civil conflicts with foreign state intervention,2003,3
Civil conflicts with foreign state intervention,2004,4
Civil conflicts with foreign state intervention,2005,5
Civil conflicts with foreign state intervention,2006,5
Civil conflicts with foreign state intervention,2007,4
Civil conflicts with foreign state intervention,2008,7
Civil conflicts with foreign state intervention,2009,7
Civil conflicts with foreign state intervention,2010,8
Civil conflicts with foreign state intervention,2011,7
Civil conflicts with foreign state intervention,2012,9
Civil conflicts with foreign state intervention,2013,9
Civil conflicts with foreign state intervention,2014,13
Civil conflicts with foreign state intervention,2015,20
Civil conflicts with foreign state intervention,2016,18
Colonial or imperial conflicts,1946,5
Colonial or imperial conflicts,1947,5
Colonial or imperial conflicts,1948,5
Colonial or imperial conflicts,1949,5
Colonial or imperial conflicts,1950,5
Colonial or imperial conflicts,1951,4
Colonial or imperial conflicts,1952,5
Colonial or imperial conflicts,1953,7
Colonial or imperial conflicts,1954,6
Colonial or imperial conflicts,1955,6
Colonial or imperial conflicts,1956,6
Colonial or imperial conflicts,1957,6
Colonial or imperial conflicts,1958,5
Colonial or imperial conflicts,1959,3
Colonial or imperial conflicts,1960,1
Colonial or imperial conflicts,1961,2
Colonial or imperial conflicts,1962,3
Colonial or imperial conflicts,1963,2
Colonial or imperial conflicts,1964,4
Colonial or imperial conflicts,1965,4
Colonial or imperial conflicts,1966,4
Colonial or imperial conflicts,1967,4
Colonial or imperial conflicts,1968,3
Colonial or imperial conflicts,1969,3
Colonial or imperial conflicts,1970,3
Colonial or imperial conflicts,1971,3
Colonial or imperial conflicts,1972,3
Colonial or imperial conflicts,1973,3
Colonial or imperial conflicts,1974,2
Colonial or imperial conflicts,1975,0
Colonial or imperial conflicts,1976,0
Colonial or imperial conflicts,1977,0
Colonial or imperial conflicts,1978,0
Colonial or imperial conflicts,1979,0
Colonial or imperial conflicts,1980,0
Colonial or imperial conflicts,1981,0
Colonial or imperial conflicts,1982,0
Colonial or imperial conflicts,1983,0
Colonial or imperial conflicts,1984,0
Colonial or imperial conflicts,1985,0
Colonial or imperial conflicts,1986,0
Colonial or imperial conflicts,1987,0
Colonial or imperial conflicts,1988,0
Colonial or imperial conflicts,1989,0
Colonial or imperial conflicts,1990,0
Colonial or imperial conflicts,1991,0
Colonial or imperial conflicts,1992,0
Colonial or imperial conflicts,1993,0
Colonial or imperial conflicts,1994,0
Colonial or imperial conflicts,1995,0
Colonial or imperial conflicts,1996,0
Colonial or imperial conflicts,1997,0
Colonial or imperial conflicts,1998,0
Colonial or imperial conflicts,1999,0
Colonial or imperial conflicts,2000,0
Colonial or imperial conflicts,2001,0
Colonial or imperial conflicts,2002,0
Colonial or imperial conflicts,2003,0
Colonial or imperial conflicts,2004,0
Colonial or imperial conflicts,2005,0
Colonial or imperial conflicts,2006,0
Colonial or imperial conflicts,2007,0
Colonial or imperial conflicts,2008,0
Colonial or imperial conflicts,2009,0
Colonial or imperial conflicts,2010,0
Colonial or imperial conflicts,2011,0
Colonial or imperial conflicts,2012,0
Colonial or imperial conflicts,2013,0
Colonial or imperial conflicts,2014,0
Colonial or imperial conflicts,2015,0
