Entity,Year,Trust in others (Eurostat (2015)),Trust in police (Eurostat (2015))
Austria,2013,5.9,7.2
Belgium,2013,5.7,6.1
Bulgaria,2013,4.2,
Croatia,2013,5.1,
Cyprus,2013,4.5,
Czech Republic,2013,5.3,4.9
Denmark,2013,8.3,7.9
Estonia,2013,5.8,6
Finland,2013,7.4,8.2
France,2013,5,5.7
Germany,2013,5.5,6.4
Greece,2013,5.3,5
Hungary,2013,5.3,5.7
Iceland,2013,7,7.7
Ireland,2013,6.4,6.9
Italy,2013,5.7,5.8
Latvia,2013,6.5,
Lithuania,2013,6.1,
Luxembourg,2013,5.5,6.1
Malta,2013,6.2,
Netherlands,2013,6.9,6.6
Norway,2013,7.3,7.5
Poland,2013,6,5.2
Portugal,2013,5.3,5.4
Romania,2013,6.4,
Serbia,2013,4.2,
Slovakia,2013,5.8,4.4
Slovenia,2013,6.5,5.5
Spain,2013,6.3,5.4
Sweden,2013,6.9,7.1
Switzerland,2013,6.4,7.4
United Kingdom,2013,6.1,6.4
