Entity,Year,Global death rates from natural disasters
All natural disasters,1900,76.8079
All natural disasters,1901,0.0011
All natural disasters,1902,2.7567
All natural disasters,1903,0.3872
All natural disasters,1905,1.3384
All natural disasters,1906,2.5121
All natural disasters,1907,1.4902
All natural disasters,1908,4.3358
All natural disasters,1909,0.6599
All natural disasters,1910,5.0419
All natural disasters,1911,5.8205
All natural disasters,1912,2.9451
All natural disasters,1913,0.0496
All natural disasters,1914,0.0162
All natural disasters,1915,1.7890
All natural disasters,1916,0.0166
All natural disasters,1917,1.2916
All natural disasters,1918,0.6229
All natural disasters,1919,0.2980
All natural disasters,1920,37.8615
All natural disasters,1921,63.9690
All natural disasters,1922,5.3478
All natural disasters,1923,8.1446
All natural disasters,1924,0.1558
All natural disasters,1925,0.2987
All natural disasters,1926,0.2458
All natural disasters,1927,10.7744
All natural disasters,1928,148.7135
All natural disasters,1929,0.4096
All natural disasters,1930,0.5107
All natural disasters,1931,176.8639
All natural disasters,1932,3.4545
All natural disasters,1933,1.5973
All natural disasters,1934,0.9706
All natural disasters,1935,12.3250
All natural disasters,1936,0.2387
All natural disasters,1937,0.5360
All natural disasters,1938,0.0983
All natural disasters,1939,24.6633
All natural disasters,1940,0.9358
All natural disasters,1941,0.4406
All natural disasters,1942,69.1256
All natural disasters,1943,81.6850
All natural disasters,1944,0.6764
All natural disasters,1945,0.4384
All natural disasters,1946,1.4881
All natural disasters,1947,0.3061
All natural disasters,1948,4.9291
All natural disasters,1949,4.8655
All natural disasters,1950,0.2653
All natural disasters,1951,0.5821
All natural disasters,1952,0.3408
All natural disasters,1953,0.4659
All natural disasters,1954,1.5367
All natural disasters,1955,0.2173
All natural disasters,1956,0.2741
All natural disasters,1957,0.3690
All natural disasters,1958,0.1350
All natural disasters,1959,67.5681
All natural disasters,1960,1.2912
All natural disasters,1961,0.5609
All natural disasters,1962,0.5514
All natural disasters,1963,1.1444
All natural disasters,1964,0.3749
All natural disasters,1965,46.8532
All natural disasters,1966,0.4983
All natural disasters,1967,0.2002
All natural disasters,1968,0.5993
All natural disasters,1969,0.2253
All natural disasters,1970,10.4465
All natural disasters,1971,0.4177
All natural disasters,1972,0.5195
All natural disasters,1973,2.8147
All natural disasters,1974,2.1481
All natural disasters,1975,0.3642
All natural disasters,1976,6.7412
All natural disasters,1977,0.5018
All natural disasters,1978,0.8139
All natural disasters,1979,0.1565
All natural disasters,1980,0.4801
All natural disasters,1981,2.5832
All natural disasters,1982,0.2396
All natural disasters,1983,9.7954
All natural disasters,1984,0.1935
All natural disasters,1985,1.1164
All natural disasters,1986,0.1472
All natural disasters,1987,0.3749
All natural disasters,1988,0.8211
All natural disasters,1989,0.2051
All natural disasters,1990,0.9561
All natural disasters,1991,2.9371
All natural disasters,1992,0.2225
All natural disasters,1993,0.3793
All natural disasters,1994,0.2311
All natural disasters,1995,0.3958
All natural disasters,1996,0.2525
All natural disasters,1997,0.3294
All natural disasters,1998,0.8311
All natural disasters,1999,1.1641
All natural disasters,2000,0.1577
All natural disasters,2001,0.4978
All natural disasters,2002,0.1996
All natural disasters,2003,1.7244
All natural disasters,2004,3.7381
All natural disasters,2005,1.3705
All natural disasters,2006,0.3547
All natural disasters,2007,0.2526
All natural disasters,2008,3.4663
All natural disasters,2009,0.1621
All natural disasters,2010,4.5676
All natural disasters,2011,0.4398
All natural disasters,2012,0.1366
All natural disasters,2013,0.3009
All natural disasters,2014,0.1091
All natural disasters,2015,0.3098
All natural disasters,2016,0.1163
All natural disasters,2017,0.0973
All natural disasters,2018,0.1416
All natural disasters,2019,0.1519
Drought,1900,76.4242
Drought,1910,4.8571
Drought,1920,28.1720
Drought,1921,63.9690
Drought,1928,148.4712
Drought,1940,0.8696
Drought,1942,64.4734
Drought,1943,81.2437
Drought,1946,1.2579
Drought,1964,0.0015
Drought,1965,44.9757
Drought,1966,0.2347
Drought,1967,0.0172
Drought,1973,2.5460
Drought,1974,0.4745
Drought,1978,0.0015
Drought,1979,0.0004
Drought,1981,2.2702
Drought,1982,0.0061
Drought,1983,9.5864
Drought,1984,0.0048
Drought,1986,0.0017
Drought,1987,0.0261
Drought,1988,0.0311
Drought,1989,0.0045
Drought,1991,0.0369
Drought,1997,0.0124
Drought,1998,0.0003
Drought,1999,0.0060
Drought,2000,0.0013
Drought,2001,0.0016
Drought,2002,0.0093
Drought,2003,0.0001
Drought,2004,0.0012
Drought,2005,0.0023
Drought,2006,0.0020
Drought,2008,0.0001
Drought,2010,0.2875
Drought,2015,0.0005
Drought,2017,0.0000
Drought,2018,0.0000
Drought,2019,0.0010
Earthquake,1901,0.0011
Earthquake,1902,0.4040
Earthquake,1903,0.3571
Earthquake,1905,1.3232
Earthquake,1906,1.8688
Earthquake,1907,1.4902
Earthquake,1908,4.3339
Earthquake,1909,0.2957
Earthquake,1910,0.1007
Earthquake,1912,0.0522
Earthquake,1913,0.0084
Earthquake,1914,0.0083
Earthquake,1915,1.6677
Earthquake,1917,1.0687
Earthquake,1918,0.5665
Earthquake,1920,9.6774
Earthquake,1922,0.0581
Earthquake,1923,7.9699
Earthquake,1924,0.0397
Earthquake,1925,0.2568
Earthquake,1926,0.0006
Earthquake,1927,10.3228
Earthquake,1928,0.0314
Earthquake,1929,0.1622
Earthquake,1930,0.2455
Earthquake,1931,0.0733
Earthquake,1932,3.3001
Earthquake,1933,0.7536
Earthquake,1934,0.7133
Earthquake,1935,3.0087
Earthquake,1936,0.0012
Earthquake,1938,0.0073
Earthquake,1939,2.7631
Earthquake,1940,0.0554
