Entity,Year,Total government expenditure on education (World Bank (2015)),Share of education in government expenditure (World Bank (2015)),Expenditure on primary as % of government expenditure on education (World Bank (2015))
Afghanistan,2010,4.51116,22.24014,
Afghanistan,2011,4.08791,19.10585,
Afghanistan,2012,3.12561,12.82317,
Afghanistan,2013,4.57747,18.4612,
Afghanistan,2014,4.6191,18.39787,
Albania,1996,3.27428,,
Albania,1997,3.47532,11.15339,
Albania,1998,3.30127,9.62407,
Albania,1999,3.36038,9.68246,
Albania,2000,3.23823,10.13703,
Albania,2001,3.31589,10.58193,
Albania,2002,3.04681,9.88692,
Albania,2003,3.11557,10.5736,
Albania,2004,3.10656,10.70316,
Albania,2005,3.15439,11.35797,
Albania,2006,3.10882,10.93295,
Albania,2007,3.26868,11.17719,
Albania,2013,3.50083,12.12391,56.93594
Algeria,2008,4.33702,11.42941,
Andorra,1997,3.71328,,
Andorra,2002,1.69684,,27.13887
Andorra,2004,1.53254,,29.27523
Andorra,2005,1.60025,,24.13593
Andorra,2006,2.19399,,23.76173
Andorra,2007,2.07405,,25.64062
Andorra,2008,2.93457,,
Andorra,2009,3.16387,,26.37233
Andorra,2010,3.0658,,28.89524
Andorra,2011,3.15889,,28.80875
Andorra,2013,2.46258,,32.14382
Andorra,2014,,,22.28986
Angola,1998,2.59149,6.11468,
Angola,2000,2.60753,5.25508,
Angola,2005,2.7762,7.99235,36.49876
Angola,2006,2.85969,7.45481,31.43351
Angola,2010,3.47644,8.68476,
Antigua and Barbuda,1999,3.23707,12.52143,33.10893
Antigua and Barbuda,2002,3.44539,8.85597,28.55169
Antigua and Barbuda,2009,2.55447,6.91662,41.61324
Argentina,1996,3.73198,,
Argentina,1998,4.03987,15.62227,35.07048
Argentina,1999,4.52168,15.88009,36.34503
Argentina,2000,4.58031,16.22696,35.69129
Argentina,2001,4.83374,16.35761,37.91883
Argentina,2002,4.01734,16.44329,35.4339
Argentina,2003,3.53505,14.36279,38.0148
Argentina,2004,3.15654,15.1602,36.69546
Argentina,2005,3.47405,15.80628,34.19573
Argentina,2006,3.65499,16.35148,35.04241
Argentina,2007,3.89635,15.82749,35.47537
Argentina,2008,4.33782,16.62552,35.11319
Argentina,2009,4.89,16.6149,32.80265
Argentina,2010,4.60637,15.57046,33.05494
Argentina,2011,4.98632,15.72955,31.96866
Argentina,2012,5.09905,15.06353,31.79894
Argentina,2013,5.3441,15.09043,30.03234
Armenia,1996,1.84843,,
Armenia,1999,2.23519,,
Armenia,2000,2.77273,,
Armenia,2001,2.46944,,
Armenia,2002,2.13504,,
Armenia,2003,2.14504,,
Armenia,2004,2.48673,,
Armenia,2005,2.71203,13.64809,
Armenia,2006,2.71577,13.57852,
Armenia,2007,3.01894,13.46559,
Armenia,2008,3.17273,14.26845,
Armenia,2009,3.84079,13.45122,
Armenia,2010,3.249,12.40051,
Armenia,2011,3.14385,12.59334,
Armenia,2012,3.27524,13.70187,23.06896
Armenia,2013,2.82555,11.13677,20.11078
Armenia,2014,2.39756,9.36714,
Aruba,1998,4.76316,22.08239,23.06721
Aruba,1999,4.39554,19.27892,26.9492
Aruba,2000,4.71468,21.82276,28.2486
Aruba,2001,4.73949,21.32039,26.13369
Aruba,2002,4.92427,19.75715,28.99817
Aruba,2004,4.4089,14.89786,26.70415
Aruba,2005,4.68076,18.88828,26.73218
Aruba,2007,4.79918,20.7888,
Aruba,2008,4.91559,19.0362,
Aruba,2009,5.92467,21.56179,
Aruba,2010,6.71249,22.17513,
Aruba,2011,6.03687,21.77598,
Australia,1995,,14.11191,
Australia,1996,5.22949,,
Australia,2000,4.89425,13.59023,34.06792
Australia,2005,4.91079,13.58513,34.62461
Australia,2006,4.74288,13.1782,34.96822
Australia,2007,4.65902,13.03027,35.14115
Australia,2008,4.63339,12.59972,35.42323
Australia,2009,5.0942,13.41502,35.9633
Australia,2010,5.57355,14.3276,36.80703
Australia,2011,5.10608,13.50202,35.97164
Australia,2012,4.90641,13.18429,34.14038
Austria,1996,5.27168,,
Austria,1998,6.1199,11.79854,19.40117
Austria,1999,6.12533,11.84257,19.38196
Austria,2000,5.59957,11.12452,19.6978
Austria,2001,5.58635,10.9504,19.63966
Austria,2002,5.53269,10.91398,19.79905
Austria,2003,5.38187,10.55023,19.72309
Austria,2004,5.32094,9.95772,18.95076
Austria,2005,5.27148,10.34062,18.99533
Austria,2006,5.25293,10.46353,18.56855
Austria,2007,5.17663,10.54307,18.03007
Austria,2008,5.29698,10.64181,17.83971
Austria,2009,5.7674,10.66201,17.42743
Austria,2010,5.7332,10.85873,17.13281
Austria,2011,5.61861,11.06032,17.09498
Austria,2012,5.45065,10.70825,15.63399
Azerbaijan,1996,3.51252,,
Azerbaijan,1998,3.38,14.2516,
Azerbaijan,1999,4.21217,17.88669,
Azerbaijan,2000,3.85399,18.498,
Azerbaijan,2001,3.50342,18.77296,
Azerbaijan,2002,3.15449,11.39684,
Azerbaijan,2003,3.28615,11.52329,
Azerbaijan,2004,3.44766,13.3256,
Azerbaijan,2005,2.97462,13.12068,
Azerbaijan,2006,2.55551,9.51087,
Azerbaijan,2007,2.54928,9.82856,
Azerbaijan,2008,2.44093,8.28235,
