Entity,Year,Absolute deaths from ambient PM2.5 air pollution- State of Global Air
Afghanistan,1990,16200
Afghanistan,1995,21300
Afghanistan,2000,24900
Afghanistan,2005,26500
Afghanistan,2010,27600
Afghanistan,2015,29500
Albania,1990,1200
Albania,1995,1100
Albania,2000,1000
Albania,2005,1000
Albania,2010,1200
Albania,2015,1500
Algeria,1990,6800
Algeria,1995,7000
Algeria,2000,7600
Algeria,2005,8000
Algeria,2010,8800
Algeria,2015,12000
Angola,1990,8600
Angola,1995,8900
Angola,2000,9700
Angola,2005,9000
Angola,2010,9200
Angola,2015,10200
Argentina,1990,13500
Argentina,1995,13800
Argentina,2000,15000
Argentina,2005,15400
Argentina,2010,16200
Argentina,2015,16600
Armenia,1990,1900
Armenia,1995,2000
Armenia,2000,2000
Armenia,2005,2200
Armenia,2010,2300
Armenia,2015,2300
Australia,1990,4100
Australia,1995,4000
Australia,2000,3800
Australia,2005,3500
Australia,2010,3000
Australia,2015,3400
Austria,1990,4900
Austria,1995,4500
Austria,2000,4200
Austria,2005,3700
Austria,2010,3500
Austria,2015,4000
Azerbaijan,1990,5600
Azerbaijan,1995,5500
Azerbaijan,2000,5300
Azerbaijan,2005,5100
Azerbaijan,2010,5900
Azerbaijan,2015,6100
Bahamas,1990,100
Bahamas,1995,100
Bahamas,2000,100
Bahamas,2005,100
Bahamas,2010,100
Bahamas,2015,100
Bahrain,1990,200
Bahrain,1995,200
Bahrain,2000,200
Bahrain,2005,200
Bahrain,2010,200
Bahrain,2015,200
Bangladesh,1990,81200
Bangladesh,1995,80300
Bangladesh,2000,85700
Bangladesh,2005,101000
Bangladesh,2010,110300
Bangladesh,2015,122400
Barbados,1990,100
Barbados,1995,100
Barbados,2000,100
Barbados,2005,100
Barbados,2010,100
Barbados,2015,100
Belarus,1990,11700
Belarus,1995,12400
Belarus,2000,12200
Belarus,2005,11800
Belarus,2010,11500
Belarus,2015,12200
Belgium,1990,6800
Belgium,1995,6300
Belgium,2000,6000
Belgium,2005,5500
Belgium,2010,5300
Belgium,2015,5600
Belize,1990,100
Belize,1995,100
Belize,2000,100
Belize,2005,100
Belize,2010,100
Belize,2015,100
Benin,1990,4100
Benin,1995,4500
Benin,2000,4700
Benin,2005,4100
Benin,2010,4300
Benin,2015,4300
Bhutan,1990,300
Bhutan,1995,200
Bhutan,2000,200
Bhutan,2005,300
Bhutan,2010,300
Bhutan,2015,400
Bolivia,1990,3400
Bolivia,1995,3400
Bolivia,2000,3400
Bolivia,2005,3900
Bolivia,2010,3600
Bolivia,2015,4100
Bosnia and Herzegovina,1990,2900
Bosnia and Herzegovina,1995,2800
Bosnia and Herzegovina,2000,2500
Bosnia and Herzegovina,2005,2400
Bosnia and Herzegovina,2010,2500
Bosnia and Herzegovina,2015,2800
Botswana,1990,400
Botswana,1995,500
Botswana,2000,600
Botswana,2005,700
Botswana,2010,600
Botswana,2015,700
Brazil,1990,42200
Brazil,1995,45900
Brazil,2000,49300
Brazil,2005,46900
Brazil,2010,43100
Brazil,2015,52300
Bulgaria,1990,12800
Bulgaria,1995,12200
Bulgaria,2000,10800
Bulgaria,2005,9400
Bulgaria,2010,9300
Bulgaria,2015,9500
Burkina Faso,1990,7700
Burkina Faso,1995,7900
Burkina Faso,2000,8200
Burkina Faso,2005,7400
Burkina Faso,2010,7300
Burkina Faso,2015,6700
Burundi,1990,5000
Burundi,1995,5200
Burundi,2000,4700
Burundi,2005,3900
Burundi,2010,3700
Burundi,2015,4600
Cambodia,1990,5500
Cambodia,1995,6000
Cambodia,2000,5900
Cambodia,2005,6000
Cambodia,2010,5600
Cambodia,2015,6100
Cameroon,1990,10000
Cameroon,1995,11600
Cameroon,2000,13500
Cameroon,2005,12800
Cameroon,2010,12800
Cameroon,2015,12900
Canada,1990,7100
Canada,1995,7200
Canada,2000,7100
Canada,2005,7200
Canada,2010,6400
Canada,2015,7100
Cape Verde,1990,200
Cape Verde,1995,200
Cape Verde,2000,200
Cape Verde,2005,200
Cape Verde,2010,200
Cape Verde,2015,200
Central African Republic,1990,3000
Central African Republic,1995,3300
Central African Republic,2000,3600
Central African Republic,2005,3700
Central African Republic,2010,3800
Central African Republic,2015,4100
Chad,1990,4900
Chad,1995,5600
Chad,2000,7000
Chad,2005,7200
Chad,2010,8100
Chad,2015,7800
Chile,1990,4800
Chile,1995,4500
Chile,2000,4200
Chile,2005,4600
Chile,2010,5200
Chile,2015,5900
China,1990,945300
China,1995,981600
China,2000,1039300
China,2005,1140100
China,2010,1098800
China,2015,1108100
Colombia,1990,7800
Colombia,1995,8500
Colombia,2000,9000
Colombia,2005,10100
Colombia,2010,9800
Colombia,2015,10900
Comoros,1990,200
Comoros,1995,200
Comoros,2000,200
Comoros,2005,100
Comoros,2010,100
Comoros,2015,100
Congo,1990,1800
Congo,1995,2100
Congo,2000,2400
Congo,2005,2100
Congo,2010,2100
Congo,2015,2400
Costa Rica,1990,600
Costa Rica,1995,700
Costa Rica,2000,800
Costa Rica,2005,800
Costa Rica,2010,700
Costa Rica,2015,1000
Cote d'Ivoire,1990,6100
Cote d'Ivoire,1995,8000
Cote d'Ivoire,2000,8700
Cote d'Ivoire,2005,7700
Cote d'Ivoire,2010,7800
Cote d'Ivoire,2015,7700
Croatia,1990,3800
Croatia,1995,3600
Croatia,2000,3500
Croatia,2005,3200
Croatia,2010,3200
Croatia,2015,3500
Cuba,1990,5400
Cuba,1995,5800
Cuba,2000,6100
Cuba,2005,6000
Cuba,2010,5400
Cuba,2015,6600
Cyprus,1990,300
Cyprus,1995,300
Cyprus,2000,300
Cyprus,2005,300
Cyprus,2010,300
Cyprus,2015,300
Czech Republic,1990,12800
Czech Republic,1995,10000
Czech Republic,2000,8200
Czech Republic,2005,7400
Czech Republic,2010,7500
Czech Republic,2015,7800
Denmark,1990,3400
Denmark,1995,3100
Denmark,2000,2600
Denmark,2005,2200
Denmark,2010,2100
Denmark,2015,2100
Djibouti,1990,300
Djibouti,1995,300
Djibouti,2000,400
Djibouti,2005,400
Djibouti,2010,400
Djibouti,2015,400
Dominican Republic,1990,1400
Dominican Republic,1995,1700
Dominican Republic,2000,2300
Dominican Republic,2005,2400
Dominican Republic,2010,2900
Dominican Republic,2015,3300
Ecuador,1990,2300
Ecuador,1995,2500
Ecuador,2000,2900
Ecuador,2005,3400
Ecuador,2010,2900
Ecuador,2015,3000
Egypt,1990,52300
Egypt,1995,47600
Egypt,2000,43100
Egypt,2005,48300
Egypt,2010,57400
Egypt,2015,60200
El Salvador,1990,1700
El Salvador,1995,1900
El Salvador,2000,1900
El Salvador,2005,1900
El Salvador,2010,1800
El Salvador,2015,2200
Equatorial Guinea,1990,400
Equatorial Guinea,1995,400
Equatorial Guinea,2000,400
Equatorial Guinea,2005,300
Equatorial Guinea,2010,300
Equatorial Guinea,2015,400
Eritrea,1990,1900
Eritrea,1995,1400
Eritrea,2000,1400
Eritrea,2005,1600
Eritrea,2010,1900
Eritrea,2015,2100
Estonia,1990,1200
Estonia,1995,1100
Estonia,2000,900
Estonia,2005,700
Estonia,2010,600
Estonia,2015,700
Ethiopia,1990,36900
Ethiopia,1995,38000
Ethiopia,2000,37600
Ethiopia,2005,33100
Ethiopia,2010,30900
Ethiopia,2015,31100
Fiji,1990,100
Fiji,1995,200
Fiji,2000,200
Fiji,2005,200
Fiji,2010,200
Fiji,2015,200
Finland,1990,2100
Finland,1995,1900
Finland,2000,1600
Finland,2005,1400
Finland,2010,1400
Finland,2015,1600
France,1990,21000
France,1995,20300
France,2000,19400
France,2005,17900
France,2010,17800
France,2015,20300
Gabon,1990,700
Gabon,1995,800
Gabon,2000,800
Gabon,2005,800
Gabon,2010,700
Gabon,2015,800
Gambia,1990,500
Gambia,1995,600
Gambia,2000,600
Gambia,2005,500
Gambia,2010,600
Gambia,2015,600
Georgia,1990,4700
Georgia,1995,4000
Georgia,2000,4000
Georgia,2005,4100
Georgia,2010,4200
Georgia,2015,3900
Germany,1990,58200
Germany,1995,50200
Germany,2000,44200
Germany,2005,39700
Germany,2010,39400
Germany,2015,43100
Ghana,1990,6900
Ghana,1995,7100
Ghana,2000,8000
Ghana,2005,8100
Ghana,2010,9100
Ghana,2015,8600
Greece,1990,5300
Greece,1995,5300
Greece,2000,5500
Greece,2005,5100
Greece,2010,5600
Greece,2015,6700
Guatemala,1990,4000
Guatemala,1995,4400
Guatemala,2000,5000
Guatemala,2005,4800
Guatemala,2010,4200
Guatemala,2015,4900
Guinea,1990,4300
Guinea,1995,5000
Guinea,2000,5100
Guinea,2005,4400
Guinea,2010,5000
Guinea,2015,4600
Guinea-Bissau,1990,800
Guinea-Bissau,1995,800
Guinea-Bissau,2000,900
Guinea-Bissau,2005,800
Guinea-Bissau,2010,1000
Guinea-Bissau,2015,1000
Guyana,1990,300
Guyana,1995,300
Guyana,2000,300
Guyana,2005,300
Guyana,2010,200
Guyana,2015,300
Haiti,1990,4900
Haiti,1995,4600
Haiti,2000,4400
Haiti,2005,4400
Haiti,2010,4100
Haiti,2015,4700
Honduras,1990,1400
Honduras,1995,1900
Honduras,2000,2200
Honduras,2005,2600
Honduras,2010,2600
Honduras,2015,3100
Hungary,1990,13200
Hungary,1995,11800
Hungary,2000,10100
Hungary,2005,9400
Hungary,2010,9300
Hungary,2015,8600
Iceland,1990,100
Iceland,1995,100
Iceland,2000,100
Iceland,2005,100
Iceland,2010,100
Iceland,2015,100
India,1990,737400
India,1995,795200
India,2000,857300
India,2005,895900
India,2010,957000
India,2015,1090400
Indonesia,1990,53200
Indonesia,1995,57300
Indonesia,2000,64400
Indonesia,2005,71100
Indonesia,2010,71400
Indonesia,2015,78600
Iran,1990,22500
Iran,1995,21700
Iran,2000,23700
Iran,2005,27400
Iran,2010,31500
Iran,2015,33300
Iraq,1990,9700
Iraq,1995,11500
Iraq,2000,13000
Iraq,2005,14300
Iraq,2010,17500
Iraq,2015,15700
Ireland,1990,1500
Ireland,1995,1400
Ireland,2000,1300
Ireland,2005,1100
Ireland,2010,1000
Ireland,2015,1100
Israel,1990,1700
Israel,1995,1900
Israel,2000,1700
Israel,2005,1700
Israel,2010,1800
Israel,2015,2100
Italy,1990,29500
Italy,1995,27900
Italy,2000,26400
Italy,2005,24600
Italy,2010,25100
Italy,2015,33700
Jamaica,1990,700
Jamaica,1995,800
Jamaica,2000,800
Jamaica,2005,700
Jamaica,2010,700
Jamaica,2015,900
Japan,1990,38100
Japan,1995,40700
Japan,2000,41800
Japan,2005,48200
Japan,2010,50800
Japan,2015,60600
Jordan,1990,1000
Jordan,1995,1100
Jordan,2000,1100
Jordan,2005,1100
Jordan,2010,1100
Jordan,2015,1400
Kazakhstan,1990,9800
Kazakhstan,1995,11500
Kazakhstan,2000,10400
Kazakhstan,2005,10500
Kazakhstan,2010,9400
Kazakhstan,2015,10100
Kenya,1990,5200
Kenya,1995,5500
Kenya,2000,5700
Kenya,2005,5700
Kenya,2010,6200
Kenya,2015,7000
Kuwait,1990,400
Kuwait,1995,400
Kuwait,2000,400
Kuwait,2005,500
Kuwait,2010,700
Kuwait,2015,700
Kyrgyzstan,1990,2700
Kyrgyzstan,1995,2700
Kyrgyzstan,2000,2600
Kyrgyzstan,2005,2700
Kyrgyzstan,2010,2700
Kyrgyzstan,2015,2700
Laos,1990,3700
Laos,1995,3800
Laos,2000,3600
Laos,2005,3400
Laos,2010,3000
Laos,2015,3000
Latvia,1990,3300
Latvia,1995,3300
Latvia,2000,2400
Latvia,2005,2400
Latvia,2010,2000
Latvia,2015,2100
Lebanon,1990,1300
Lebanon,1995,1200
Lebanon,2000,1100
Lebanon,2005,1200
Lebanon,2010,1600
Lebanon,2015,2100
Lesotho,1990,700
Lesotho,1995,700
Lesotho,2000,900
Lesotho,2005,1200
Lesotho,2010,1100
Lesotho,2015,1100
Liberia,1990,600
Liberia,1995,500
Liberia,2000,600
Liberia,2005,500
Liberia,2010,600
Liberia,2015,500
Libya,1990,1200
Libya,1995,1300
Libya,2000,1500
Libya,2005,1700
Libya,2010,2000
Libya,2015,2600
Lithuania,1990,3800
Lithuania,1995,3800
