Entity,Year,Percentage of children (2–14) who experience any violent discipline (UNICEF Global Databases (2016)),Percentage of boys (2–14) who experience any violent discipline (UNICEF Global Databases (2016)),Percentage of girls (2–14) who experience any violent discipline (UNICEF Global Databases (2016)),Percentage of children (2–14) in urban areas who experience any violent discipline (UNICEF Global Databases (2016)),Percentage of children (2–14) in rural areas who experience any violent discipline (UNICEF Global Databases (2016))
Afghanistan,2011,74,75,74,78,74
Albania,2009,77,81,73,70,82
Algeria,2013,86,88,85,87,86
Argentina,2012,72,74,71,,
Armenia,2010,70,72,67,70,70
Azerbaijan,2006,77,80,74,76,78
Bangladesh,2013,82,83,82,77,84
Barbados,2012,75,78,72,77,72
Belarus,2012,65,67,62,66,62
Belize,2011,71,71,70,70,71
Benin,2014,91,,,,
Bosnia and Herzegovina,2012,55,60,50,54,56
Burkina Faso,2006,83,84,82,86,82
Cameroon,2014,85,,,,
Central African Republic,2010,92,92,92,92,92
Chad,2010,84,85,84,83,85
Congo,2015,83,,,,
Costa Rica,2011,46,52,39,47,45
Cote d'Ivoire,2006,91,91,91,92,90
Cuba,2014,36,37,35,36,36
Democratic Republic of Congo,2014,82,82,81,83,81
Djibouti,2006,72,73,71,73,61
Dominican Republic,2014,63,,,,
Egypt,2014,93,93,93,92,93
El Salvador,2014,52,,,,
Fiji,2008,72,,,,
Gambia,2010,90,90,91,89,91
Georgia,2005,67,70,63,68,66
Ghana,2011,94,94,94,94,94
Guinea-Bissau,2014,82,,,,
Guyana,2014,70,,,,
Haiti,2012,85,85,84,85,85
Iraq,2011,79,81,77,78,80
Jamaica,2011,85,87,82,83,87
Jordan,2012,90,91,89,91,88
Kazakhstan,2011,49,54,45,49,50
Kiribati,2008,81,,,,
Kyrgyzstan,2014,57,60,54,60,56
Laos,2012,76,77,74,74,76
Lebanon,2009,82,82,82,,
Liberia,2007,90,90,90,92,89
Macedonia,2011,69,71,67,67,72
Malawi,2014,72,73,72,73,72
Mauritania,2011,87,87,87,84,89
Moldova,2012,76,77,74,74,77
Mongolia,2013,47,,,48,45
Montenegro,2013,69,73,66,71,67
Morocco,2007,91,92,90,90,92
Nepal,2014,82,83,81,75,83
Niger,2012,82,82,81,83,82
Nigeria,2011,91,91,90,91,91
Palestine,2014,92,93,92,92,93
Panama,2013,45,47,43,46,43
Qatar,2012,50,53,46,,
Saint Lucia,2012,68,71,64,77,65
Sao Tome and Principe,2014,80,,,,
Serbia,2014,43,44,42,46,39
Sierra Leone,2010,82,81,82,83,81
Solomon Islands,2008,72,,,,
Sudan,2014,64,,,,
Suriname,2010,86,87,85,85,88
Swaziland,2014,88,,,,
Syria,2006,89,90,88,88,89
Tajikistan,2005,78,80,75,77,78
Togo,2014,81,81,80,82,80
Trinidad and Tobago,2006,77,78,77,,
Tunisia,2012,93,94,92,93,94
Ukraine,2012,61,68,55,59,65
Uruguay,2013,55,58,51,56,42
Vanuatu,2013,84,83,84,83,84
Vietnam,2014,68,72,65,67,69
Yemen,2013,79,81,77,76,80
Zimbabwe,2014,63,63,62,68,61
