Entity,Year,Population using informal saving (%) (World Bank World Development Report (2013))
Afghanistan,2011,11.7
Albania,2011,14.2
Algeria,2011,16.5
Angola,2011,20.700001
Argentina,2011,20.6
Armenia,2011,9.6999998
Australia,2011,6.3000002
Austria,2011,26.799999
Azerbaijan,2011,9.1999998
Bangladesh,2011,10.2
Belarus,2011,19.6
Belgium,2011,15.2
Benin,2011,25.299999
Bolivia,2011,27.200001
Bosnia and Herzegovina,2011,7.5
Brazil,2011,10.8
Bulgaria,2011,6.0999999
Burkina Faso,2011,30.1
Burundi,2011,21.9
Cambodia,2011,30.200001
Cameroon,2011,42
Canada,2011,12.3
Central African Republic,2011,22.9
Chad,2011,21.9
Chile,2011,14.6
China,2011,6.3000002
Colombia,2011,23.700001
Congo,2011,25
Costa Rica,2011,21.1
Croatia,2011,9.6999998
Czech Republic,2011,13.5
Democratic Republic of Congo,2011,22.6
Denmark,2011,16.1
Dominican Republic,2011,21.299999
Ecuador,2011,15.7
Egypt,2011,7.4000001
El Salvador,2011,13
Finland,2011,12.5
France,2011,12.3
Georgia,2011,5.9000001
Germany,2011,11.4
Ghana,2011,20.5
Greece,2011,7.9000001
Guatemala,2011,14.6
Guinea,2011,25.1
Haiti,2011,13.6
High income,2011,13.5
Honduras,2011,13.3
Hong Kong,2011,16.299999
Hungary,2011,9.3999996
India,2011,10.8
Indonesia,2011,25.200001
Iran,2011,12.6
Iraq,2011,20.799999
Ireland,2011,13.3
Israel,2011,20.1
Italy,2011,10.9
Japan,2011,12
Jordan,2011,9.8999996
Kazakhstan,2011,15.2
Kenya,2011,16.9
Kyrgyzstan,2011,35.5
Laos,2011,35.099998
Lebanon,2011,13.7
Liberia,2011,20.9
Lithuania,2011,12.2
Low & middle income,2011,13.5
Low income,2011,18.5
Lower middle income,2011,16.4
Madagascar,2011,18.299999
Malawi,2011,24.799999
Malaysia,2011,15.6
Mali,2011,32.900002
Mauritania,2011,16.4
Mexico,2011,20.4
Middle income,2011,12.9
Moldova,2011,18.700001
Morocco,2011,18.200001
Mozambique,2011,25.200001
Nepal,2011,8.5
Netherlands,2011,15.2
New Zealand,2011,12.2
Nicaragua,2011,19.5
Niger,2011,24
Nigeria,2011,40.799999
Pakistan,2011,6
Palestine,2011,10.7
Panama,2011,22.5
Paraguay,2011,8.3999996
Peru,2011,20.6
Philippines,2011,30.799999
Poland,2011,12.8
Portugal,2011,8.1999998
Romania,2011,9.5
Russia,2011,11.8
Rwanda,2011,12.6
Saudi Arabia,2011,16.1
Senegal,2011,11.6
Serbia,2011,11.7
Sierra Leone,2011,18.1
Singapore,2011,2.5
Slovakia,2011,12.4
Somalia,2011,8.1999998
South Africa,2011,9.3999996
South Korea,2011,17.6
Spain,2011,11.2
Sri Lanka,2011,8.1999998
Sudan,2011,19.299999
Sweden,2011,19.299999
Syria,2011,43.200001
Tajikistan,2011,13.5
Tanzania,2011,28.200001
Thailand,2011,17.200001
Togo,2011,16
Tunisia,2011,20.1
Turkey,2011,5.4000001
Turkmenistan,2011,44.400002
Uganda,2011,28.1
Ukraine,2011,19.6
United Arab Emirates,2011,11
United Kingdom,2011,12.9
United States,2011,16.4
Upper middle income,2011,9.6000004
Uruguay,2011,11.2
Uzbekistan,2011,30.6
Venezuela,2011,14.8
Vietnam,2011,27.5
World,2011,13.5
Yemen,2011,10.8
Zambia,2011,20.4
Zimbabwe,2011,22.6
