Entity,Year,Press Freedom Score
Afghanistan,2017,39.46
Afghanistan,2018,37.28
Afghanistan,2019,36.55
Albania,2017,29.92
Albania,2018,29.49
Albania,2019,29.84
Algeria,2017,42.83
Algeria,2018,43.13
Algeria,2019,45.75
Andorra,2017,21.03
Andorra,2018,22.21
Andorra,2019,24.63
Angola,2017,40.42
Angola,2018,38.35
Angola,2019,34.96
Argentina,2017,25.07
Argentina,2018,26.05
Argentina,2019,28.3
Armenia,2017,30.38
Armenia,2018,29.99
Armenia,2019,28.98
Australia,2017,16.02
Australia,2018,15.46
Australia,2019,16.55
Austria,2017,13.47
Austria,2018,14.04
Austria,2019,15.33
Azerbaijan,2017,56.4
Azerbaijan,2018,59.73
Azerbaijan,2019,59.13
Bahrain,2017,58.88
Bahrain,2018,60.85
Bahrain,2019,61.31
Bangladesh,2017,48.36
Bangladesh,2018,48.62
Bangladesh,2019,50.74
Belarus,2017,52.43
Belarus,2018,52.59
Belarus,2019,51.66
Belgium,2017,12.75
Belgium,2018,13.16
Belgium,2019,12.07
Belize,2017,23.43
Belize,2018,24.55
Belize,2019,27.5
Benin,2017,30.32
Benin,2018,30.16
Benin,2019,31.74
Bhutan,2017,30.73
Bhutan,2018,30.73
Bhutan,2019,29.81
Bolivia,2017,33.88
Bolivia,2018,32.45
Bolivia,2019,35.38
Bosnia and Herzegovina,2017,27.83
Bosnia and Herzegovina,2018,27.37
Bosnia and Herzegovina,2019,29.02
Botswana,2017,24.93
Botswana,2018,25.29
Botswana,2019,25.09
Brazil,2017,33.58
Brazil,2018,31.2
Brazil,2019,32.79
Brunei,2017,53.72
Brunei,2018,51.48
Brunei,2019,51.48
Bulgaria,2017,35.01
Bulgaria,2018,35.22
Bulgaria,2019,35.11
Burkina Faso,2017,23.85
Burkina Faso,2018,23.33
Burkina Faso,2019,24.53
Burundi,2017,55.78
Burundi,2018,55.26
Burundi,2019,52.89
Cambodia,2017,42.07
Cambodia,2018,45.9
Cambodia,2019,45.9
Cameroon,2017,41.59
Cameroon,2018,40.92
Cameroon,2019,43.32
Canada,2017,16.53
Canada,2018,15.28
Canada,2019,15.69
Cape Verde,2017,18.02
Cape Verde,2018,20.39
Cape Verde,2019,19.81
Central African Republic,2017,36.12
Central African Republic,2018,35.25
Central African Republic,2019,47.27
Chad,2017,39.66
Chad,2018,38.45
Chad,2019,36.71
Chile,2017,20.53
Chile,2018,22.69
Chile,2019,25.65
China,2017,77.66
China,2018,78.29
China,2019,78.92
Colombia,2017,41.47
Colombia,2018,41.03
Colombia,2019,42.82
Comoros,2017,24.33
Comoros,2018,25.3
Comoros,2019,27.91
Congo,2017,36.73
Congo,2018,35.42
Congo,2019,36.04
Costa Rica,2017,11.93
Costa Rica,2018,14.01
Costa Rica,2019,12.24
Cote d'Ivoire,2017,30.42
Cote d'Ivoire,2018,30.08
Cote d'Ivoire,2019,29.52
Croatia,2017,29.59
Croatia,2018,28.94
Croatia,2019,29.03
Cuba,2017,71.75
Cuba,2018,68.9
Cuba,2019,63.81
Cyprus,2017,19.79
Cyprus,2018,19.85
Cyprus,2019,21.74
Czech Republic,2017,16.91
Czech Republic,2018,21.89
Czech Republic,2019,24.89
Democratic Republic of Congo,2017,52.67
Democratic Republic of Congo,2018,51.6
Democratic Republic of Congo,2019,51.71
Denmark,2017,10.36
Denmark,2018,13.99
Denmark,2019,9.87
Djibouti,2017,70.54
Djibouti,2018,70.77
Djibouti,2019,71.36
Dominican Republic,2017,26.76
Dominican Republic,2018,26.79
Dominican Republic,2019,27.9
Ecuador,2017,33.64
Ecuador,2018,30.56
Ecuador,2019,31.88
Egypt,2017,55.78
Egypt,2018,56.72
Egypt,2019,56.47
El Salvador,2017,27.24
El Salvador,2018,27.78
El Salvador,2019,29.81
Equatorial Guinea,2017,66.47
Equatorial Guinea,2018,66.47
Equatorial Guinea,2019,58.35
Eritrea,2017,84.24
Eritrea,2018,84.24
Eritrea,2019,80.26
Estonia,2017,13.55
Estonia,2018,14.08
Estonia,2019,12.27
Ethiopia,2017,50.34
Ethiopia,2018,50.17
Ethiopia,2019,35.11
Fiji,2017,28.64
Fiji,2018,26.55
