Entity,Year,Net population change (World Bank (2015)),Gain access to electricity (World Bank (2015)),Gain access to improved water source (World Bank (2015)),Gain access to improved sanitation (World Bank (2015)),Gain access to clean fuels and technologies (World Bank (2015)),Gain internet access (World Bank (2015)),Fewer child deaths (World Bank (2015)),Escape extreme poverty (World Bank (2015))
World,1991,238882,-105226,270446,176545,,,-1037,20073
World,1992,230310,304073,277056,198876,,,-5595,20073
World,1993,232697,246238,262239,197624,,38489,-6861,20073
World,1994,229493,254050,299052,263617,,30852,-7706,188123
World,1995,232649,310448,283077,216075,,53037,-1352,188123
World,1996,226879,289721,280498,244395,,89346,1278,188123
World,1997,226931,290907,281881,220007,,118707,5083,-24918
World,1998,224217,272398,285496,227534,,184762,12512,-24918
World,1999,221452,304725,285834,221710,,254723,20199,-24918
World,2000,219200,206488,283784,227907,,364932,23065,98166
World,2001,217980,91207,283224,231053,193683,239823,25905,98166
World,2002,216949,420062,286878,232776,191389,444843,30507,98166
World,2003,217631,268563,287829,236306,205989,318291,33374,262748
World,2004,219418,239322,293098,243561,206127,361553,27423,262748
World,2005,221024,290895,293269,244116,207383,319758,37302,262748
World,2006,223015,301124,297865,248785,210568,363312,31234,93581
World,2007,224662,293769,301621,248450,214325,575720,28594,93581
World,2008,228281,285486,302404,257972,219222,552983,23867,93581
World,2009,228682,393186,305976,257586,220122,520424,30386,183520
World,2010,228609,271438,301197,255892,219992,703402,21948,183520
World,2011,225170,,295105,236286,216013,560712,32549,375809
World,2012,231663,662187,325293,274238,227302,699498,27446,237765
World,2013,234135,146111,321901,266969,224061,565749,24324,180788
World,2014,235962,329838,309935,261088,226595,730141,23096,180788
World,2015,236258,,296831,259561,,754542,17840,180788
