Entity,Year,"CO2 mitigation curves for 1.5C (Andrews & GCP, 2019)"
Historical,1892,5.111044
Historical,1893,5.136584
Historical,1894,5.22787
Historical,1895,5.351065
Historical,1896,5.429017
Historical,1897,5.543612
Historical,1898,5.652376
Historical,1899,5.819317
Historical,1900,6.056737
Historical,1901,6.230751
Historical,1902,6.347917
Historical,1903,6.595517
Historical,1904,6.672369
Historical,1905,6.855108
Historical,1906,7.043236
Historical,1907,7.36466
Historical,1908,7.247909
Historical,1909,7.412944
Historical,1910,7.451339
Historical,1911,7.48937
Historical,1912,7.606259
Historical,1913,7.816688
Historical,1914,7.401985
Historical,1915,7.320023
Historical,1916,7.519393
Historical,1917,7.699044
Historical,1918,7.62526
Historical,1919,7.149887
Historical,1920,7.801949
Historical,1921,7.437493
Historical,1922,7.677516
Historical,1923,8.175316
Historical,1924,8.184663
Historical,1925,8.253459
Historical,1926,8.298616
Historical,1927,8.60791
Historical,1928,8.620914
Historical,1929,8.907968
Historical,1930,8.79894
Historical,1931,8.537335
Historical,1932,8.280586
Historical,1933,8.549788
Historical,1934,8.915188
Historical,1935,9.17752
Historical,1936,9.619883
Historical,1937,9.949008
Historical,1938,9.723009
Historical,1939,9.909232
Historical,1940,10.403578
Historical,1941,10.626051
Historical,1942,10.636619
Historical,1943,10.788394
Historical,1944,10.721013
Historical,1945,9.86243
Historical,1946,10.114735
Historical,1947,10.638962
Historical,1948,10.863323
Historical,1949,10.585903
Historical,1950,11.657012
Historical,1951,12.332944
Historical,1952,12.501518
Historical,1953,12.774388
Historical,1954,12.963686
Historical,1955,13.702498
Historical,1956,14.317252
Historical,1957,14.754808
Historical,1958,15.088685
Historical,1959,15.623169
Historical,1960,15.538909
Historical,1961,15.342277
Historical,1962,15.578825
Historical,1963,15.925664
Historical,1964,16.333088
Historical,1965,16.660546
Historical,1966,17.087363
Historical,1967,17.394907
Historical,1968,18.02343
Historical,1969,18.839355
Historical,1970,19.690548
Historical,1971,20.116523
Historical,1972,20.594256
Historical,1973,21.361049
Historical,1974,21.244373
Historical,1975,21.031451
Historical,1976,21.943064
Historical,1977,22.408518
Historical,1978,22.479369
Historical,1979,23.413987
Historical,1980,23.366405
Historical,1981,22.801812
Historical,1982,22.682142
Historical,1983,22.761663
Historical,1984,23.56244
Historical,1985,24.203773
Historical,1986,24.945641
Historical,1987,25.598992
Historical,1988,26.431735
Historical,1989,27.003333
Historical,1990,27.024354
Historical,1991,27.312798
Historical,1992,27.134295
Historical,1993,27.095385
Historical,1994,27.460364
Historical,1995,27.883869
Historical,1996,28.306643
Historical,1997,30.437517
Historical,1998,28.482587
Historical,1999,28.333047
Historical,2000,29.379836
Historical,2001,29.453605
Historical,2002,30.397202
Historical,2003,31.948771
Historical,2004,33.083227
Historical,2005,33.702877
Historical,2006,34.881629
Historical,2007,34.809941
Historical,2008,36.010373
Historical,2009,37.288306
Historical,2010,38.265679
Historical,2011,39.323299
Historical,2012,40.778535
Historical,2013,40.858162
Historical,2014,41.373736
Historical,2015,41.41012
Historical,2016,40.438809
Historical,2017,41.240425
Historical,2018,42.231942
Start in 2000,2000,29.379836
Start in 2000,2001,29.487287
Start in 2000,2002,29.486288
Start in 2000,2003,29.388895
Start in 2000,2004,29.206143
Start in 2000,2005,28.948115
Start in 2000,2006,28.624023
Start in 2000,2007,28.24227
Start in 2000,2008,27.810514
Start in 2000,2009,27.335727
Start in 2000,2010,26.824244
Start in 2000,2011,26.281818
Start in 2000,2012,25.713664
Start in 2000,2013,25.1245
Start in 2000,2014,24.51859
Start in 2000,2015,23.899779
Start in 2000,2016,23.271524
Start in 2000,2017,22.636933
Start in 2000,2018,21.998787
Start in 2000,2019,21.359568
Start in 2000,2020,20.721488
Start in 2000,2021,20.08651
Start in 2000,2022,19.456366
Start in 2000,2023,18.832582
Start in 2000,2024,18.216491
Start in 2000,2025,17.609257
Start in 2000,2026,17.011881
Start in 2000,2027,16.425222
Start in 2000,2028,15.850011
Start in 2000,2029,15.286857
Start in 2000,2030,14.736263
Start in 2000,2031,14.198635
Start in 2000,2032,13.674291
Start in 2000,2033,13.163472
Start in 2000,2034,12.666346
Start in 2000,2035,12.183018
Start in 2000,2036,11.713536
Start in 2000,2037,11.257897
Start in 2000,2038,10.816056
Start in 2000,2039,10.387923
Start in 2000,2040,9.973377
Start in 2000,2041,9.572264
Start in 2000,2042,9.184405
Start in 2000,2043,8.809595
Start in 2000,2044,8.44761
Start in 2000,2045,8.098211
Start in 2000,2046,7.761141
Start in 2000,2047,7.436134
Start in 2000,2048,7.122912
Start in 2000,2049,6.821191
Start in 2000,2050,6.53068
Start in 2000,2051,6.251084
Start in 2000,2052,5.982105
Start in 2000,2053,5.723442
Start in 2000,2054,5.474797
Start in 2000,2055,5.23587
Start in 2000,2056,5.006361
Start in 2000,2057,4.785976
Start in 2000,2058,4.574423
Start in 2000,2059,4.37141
Start in 2000,2060,4.176655
Start in 2000,2061,3.989876
Start in 2000,2062,3.810798
Start in 2000,2063,3.639152
Start in 2000,2064,3.474673
Start in 2000,2065,3.317103
Start in 2000,2066,3.16619
Start in 2000,2067,3.021687
Start in 2000,2068,2.883356
Start in 2000,2069,2.750962
Start in 2000,2070,2.62428
Start in 2000,2071,2.503089
Start in 2000,2072,2.387176
Start in 2000,2073,2.276333
Start in 2000,2074,2.170359
Start in 2000,2075,2.069061
Start in 2000,2076,1.97225
Start in 2000,2077,1.879744
Start in 2000,2078,1.791367
Start in 2000,2079,1.70695
Start in 2000,2080,1.626329
Start in 2000,2081,1.549346
Start in 2000,2082,1.475848
Start in 2000,2083,1.405689
Start in 2000,2084,1.338727
Start in 2000,2085,1.274827
Start in 2000,2086,1.213856
Start in 2000,2087,1.155689
Start in 2000,2088,1.100204
Start in 2000,2089,1.047286
Start in 2000,2090,0.996821
Start in 2000,2091,0.948703
Start in 2000,2092,0.902829
Start in 2000,2093,0.859098
Start in 2000,2094,0.817415
Start in 2000,2095,0.777691
Start in 2000,2096,0.739836
Start in 2000,2097,0.703767
Start in 2000,2098,0.669404
Start in 2000,2099,0.636669
Start in 2000,2100,0.605489
Start in 2001,2001,29.453605
Start in 2001,2002,29.473156
Start in 2001,2003,29.393106
Start in 2001,2004,29.224841
Start in 2001,2005,28.978771
Start in 2001,2006,28.664397
Start in 2001,2007,28.290387
Start in 2001,2008,27.864637
Start in 2001,2009,27.394333
Start in 2001,2010,26.886004
Start in 2001,2011,26.345577
Start in 2001,2012,25.778424
Start in 2001,2013,25.189404
Start in 2001,2014,24.582906
Start in 2001,2015,23.962886
Start in 2001,2016,23.332904
Start in 2001,2017,22.696154
Start in 2001,2018,22.055498
Start in 2001,2019,21.413489
Start in 2001,2020,20.7724
Start in 2001,2021,20.134247
Start in 2001,2022,19.500812
Start in 2001,2023,18.873662
Start in 2001,2024,18.254167
Start in 2001,2025,17.643521
Start in 2001,2026,17.042753
Start in 2001,2027,16.452746
Start in 2001,2028,15.874249
Start in 2001,2029,15.307888
Start in 2001,2030,14.75418
Start in 2001,2031,14.213541
Start in 2001,2032,13.686301
Start in 2001,2033,13.172704
Start in 2001,2034,12.672924
Start in 2001,2035,12.187072
Start in 2001,2036,11.715196
Start in 2001,2037,11.257296
Start in 2001,2038,10.813325
Start in 2001,2039,10.383194
Start in 2001,2040,9.96678
Start in 2001,2041,9.563927
Start in 2001,2042,9.174452
Start in 2001,2043,8.798149
Start in 2001,2044,8.43479
Start in 2001,2045,8.084131
Start in 2001,2046,7.745912
Start in 2001,2047,7.419862
Start in 2001,2048,7.1057
Start in 2001,2049,6.803136
Start in 2001,2050,6.511876
Start in 2001,2051,6.231619
Start in 2001,2052,5.962064
Start in 2001,2053,5.702905
Start in 2001,2054,5.453839
Start in 2001,2055,5.214562
Start in 2001,2056,4.984771
Start in 2001,2057,4.764166
Start in 2001,2058,4.552451
Start in 2001,2059,4.349333
Start in 2001,2060,4.154523
Start in 2001,2061,3.967737
Start in 2001,2062,3.788696
Start in 2001,2063,3.617128
Start in 2001,2064,3.452764
Start in 2001,2065,3.295343
Start in 2001,2066,3.144611
Start in 2001,2067,3.000319
Start in 2001,2068,2.862224
Start in 2001,2069,2.73009
Start in 2001,2070,2.603689
Start in 2001,2071,2.482799
Start in 2001,2072,2.367202
Start in 2001,2073,2.256691
Start in 2001,2074,2.151063
Start in 2001,2075,2.050121
Start in 2001,2076,1.953676
Start in 2001,2077,1.861544
Start in 2001,2078,1.773549
Start in 2001,2079,1.689518
Start in 2001,2080,1.609288
Start in 2001,2081,1.532698
Start in 2001,2082,1.459595
Start in 2001,2083,1.389833
Start in 2001,2084,1.323267
Start in 2001,2085,1.259761
Start in 2001,2086,1.199184
Start in 2001,2087,1.141408
Start in 2001,2088,1.086312
Start in 2001,2089,1.033778
Start in 2001,2090,0.983695
Start in 2001,2091,0.935953
Start in 2001,2092,0.890449
Start in 2001,2093,0.847084
Start in 2001,2094,0.805761
Start in 2001,2095,0.766391
Start in 2001,2096,0.728884
Start in 2001,2097,0.693156
Start in 2001,2098,0.659128
Start in 2001,2099,0.626721
Start in 2001,2100,0.595861
Start in 2002,2002,30.397202
Start in 2002,2003,30.444587
Start in 2002,2004,30.371069
Start in 2002,2005,30.191345
Start in 2002,2006,29.918764
Start in 2002,2007,29.565432
Start in 2002,2008,29.142319
Start in 2002,2009,28.659347
Start in 2002,2010,28.125486
Start in 2002,2011,27.548825
Start in 2002,2012,26.936653
Start in 2002,2013,26.295522
Start in 2002,2014,25.631313
Start in 2002,2015,24.949294
Start in 2002,2016,24.254169
Start in 2002,2017,23.550135
Start in 2002,2018,22.840918
Start in 2002,2019,22.129821
Start in 2002,2020,21.419762
Start in 2002,2021,20.713303
Start in 2002,2022,20.01269
Start in 2002,2023,19.319879
Start in 2002,2024,18.636561
Start in 2002,2025,17.96419
Start in 2002,2026,17.304007
Start in 2002,2027,16.657057
Start in 2002,2028,16.024211
Start in 2002,2029,15.406182
Start in 2002,2030,14.803543
Start in 2002,2031,14.21674
Start in 2002,2032,13.646105
Start in 2002,2033,13.09187
Start in 2002,2034,12.554177
Start in 2002,2035,12.033089
Start in 2002,2036,11.528599
Start in 2002,2037,11.040635
Start in 2002,2038,10.569075
Start in 2002,2039,10.113747
Start in 2002,2040,9.674438
Start in 2002,2041,9.250902
Start in 2002,2042,8.84286
Start in 2002,2043,8.45001
Start in 2002,2044,8.072025
Start in 2002,2045,7.708565
Start in 2002,2046,7.359273
Start in 2002,2047,7.023781
Start in 2002,2048,6.701714
Start in 2002,2049,6.392689
Start in 2002,2050,6.096321
Start in 2002,2051,5.812222
Start in 2002,2052,5.540005
Start in 2002,2053,5.279282
Start in 2002,2054,5.02967
Start in 2002,2055,4.790789
Start in 2002,2056,4.562263
Start in 2002,2057,4.343722
Start in 2002,2058,4.134802
Start in 2002,2059,3.935148
Start in 2002,2060,3.744408
Start in 2002,2061,3.562244
Start in 2002,2062,3.38832
Start in 2002,2063,3.222314
Start in 2002,2064,3.063908
Start in 2002,2065,2.912797
Start in 2002,2066,2.768682
Start in 2002,2067,2.631274
Start in 2002,2068,2.500293
Start in 2002,2069,2.37547
Start in 2002,2070,2.256541
Start in 2002,2071,2.143255
Start in 2002,2072,2.035366
Start in 2002,2073,1.93264
Start in 2002,2074,1.83485
Start in 2002,2075,1.741777
Start in 2002,2076,1.653212
Start in 2002,2077,1.56895
Start in 2002,2078,1.4888
Start in 2002,2079,1.412572
Start in 2002,2080,1.340089
Start in 2002,2081,1.271178
Start in 2002,2082,1.205674
Start in 2002,2083,1.143418
Start in 2002,2084,1.084258
Start in 2002,2085,1.02805
Start in 2002,2086,0.974654
Start in 2002,2087,0.923937
Start in 2002,2088,0.875771
Start in 2002,2089,0.830035
Start in 2002,2090,0.786611
Start in 2002,2091,0.745389
Start in 2002,2092,0.706261
Start in 2002,2093,0.669127
Start in 2002,2094,0.633888
Start in 2002,2095,0.600453
Start in 2002,2096,0.568732
Start in 2002,2097,0.538642
Start in 2002,2098,0.510101
Start in 2002,2099,0.483033
Start in 2002,2100,0.457365
Start in 2003,2003,31.948771
Start in 2003,2004,32.525002
Start in 2003,2005,32.841272
Start in 2003,2006,32.932878
Start in 2003,2007,32.83132
Start in 2003,2008,32.564669
Start in 2003,2009,32.157897
Start in 2003,2010,31.633188
Start in 2003,2011,31.010211
Start in 2003,2012,30.30637
Start in 2003,2013,29.537032
Start in 2003,2014,28.715734
Start in 2003,2015,27.85437
Start in 2003,2016,26.963357
Start in 2003,2017,26.051791
Start in 2003,2018,25.127586
Start in 2003,2019,24.197597
Start in 2003,2020,23.267732
Start in 2003,2021,22.343062
Start in 2003,2022,21.427902
Start in 2003,2023,20.525903
Start in 2003,2024,19.640124
Start in 2003,2025,18.773099
Start in 2003,2026,17.926898
Start in 2003,2027,17.103184
Start in 2003,2028,16.303258
Start in 2003,2029,15.528107
Start in 2003,2030,14.778441
Start in 2003,2031,14.054731
Start in 2003,2032,13.357238
Start in 2003,2033,12.686041
Start in 2003,2034,12.041067
Start in 2003,2035,11.422107
Start in 2003,2036,10.828842
Start in 2003,2037,10.260855
Start in 2003,2038,9.717653
Start in 2003,2039,9.198677
Start in 2003,2040,8.703314
Start in 2003,2041,8.23091
Start in 2003,2042,7.780778
Start in 2003,2043,7.352207
Start in 2003,2044,6.944471
Start in 2003,2045,6.556832
Start in 2003,2046,6.188548
Start in 2003,2047,5.838875
Start in 2003,2048,5.507075
Start in 2003,2049,5.192417
Start in 2003,2050,4.89418
Start in 2003,2051,4.611657
Start in 2003,2052,4.344153
Start in 2003,2053,4.090994
Start in 2003,2054,3.85152
Start in 2003,2055,3.625092
Start in 2003,2056,3.411089
Start in 2003,2057,3.208913
Start in 2003,2058,3.017985
Start in 2003,2059,2.837746
Start in 2003,2060,2.66766
Start in 2003,2061,2.507211
Start in 2003,2062,2.355904
Start in 2003,2063,2.213263
Start in 2003,2064,2.078836
Start in 2003,2065,1.952187
Start in 2003,2066,1.8329
Start in 2003,2067,1.72058
Start in 2003,2068,1.614849
Start in 2003,2069,1.515346
Start in 2003,2070,1.421729
Start in 2003,2071,1.33367
Start in 2003,2072,1.25086
Start in 2003,2073,1.173005
Start in 2003,2074,1.099823
Start in 2003,2075,1.031051
Start in 2003,2076,0.966435
Start in 2003,2077,0.905738
Start in 2003,2078,0.848732
Start in 2003,2079,0.795205
Start in 2003,2080,0.744952
Start in 2003,2081,0.697783
Start in 2003,2082,0.653517
Start in 2003,2083,0.611982
Start in 2003,2084,0.573016
Start in 2003,2085,0.536466
Start in 2003,2086,0.502188
Start in 2003,2087,0.470046
Start in 2003,2088,0.439912
Start in 2003,2089,0.411664
Start in 2003,2090,0.385188
Start in 2003,2091,0.360377
Start in 2003,2092,0.337129
Start in 2003,2093,0.315348
Start in 2003,2094,0.294945
Start in 2003,2095,0.275835
Start in 2003,2096,0.257939
Start in 2003,2097,0.241181
Start in 2003,2098,0.225491
Start in 2003,2099,0.210802
Start in 2003,2100,0.197053
Start in 2004,2004,33.083227
Start in 2004,2005,33.889832
Start in 2004,2006,34.347123
Start in 2004,2007,34.506527
Start in 2004,2008,34.413418
Start in 2004,2009,34.107767
Start in 2004,2010,33.624717
Start in 2004,2011,32.995104
Start in 2004,2012,32.245923
Start in 2004,2013,31.400754
Start in 2004,2014,30.480133
Start in 2004,2015,29.501894
Start in 2004,2016,28.481472
Start in 2004,2017,27.432172
Start in 2004,2018,26.36542
Start in 2004,2019,25.290974
Start in 2004,2020,24.217121
Start in 2004,2021,23.150854
Start in 2004,2022,22.098027
Start in 2004,2023,21.06349
Start in 2004,2024,20.051219
Start in 2004,2025,19.064422
Start in 2004,2026,18.10564
Start in 2004,2027,17.176832
Start in 2004,2028,16.279455
Start in 2004,2029,15.41453
Start in 2004,2030,14.582707
Start in 2004,2031,13.784315
Start in 2004,2032,13.01941
Start in 2004,2033,12.287821
Start in 2004,2034,11.589182
Start in 2004,2035,10.922966
Start in 2004,2036,10.288517
Start in 2004,2037,9.685068
Start in 2004,2038,9.111771
Start in 2004,2039,8.567707
Start in 2004,2040,8.051911
Start in 2004,2041,7.56338
Start in 2004,2042,7.101087
Start in 2004,2043,6.663994
Start in 2004,2044,6.251057
Start in 2004,2045,5.861235
Start in 2004,2046,5.493498
Start in 2004,2047,5.14683
Start in 2004,2048,4.820234
Start in 2004,2049,4.512737
Start in 2004,2050,4.223392
Start in 2004,2051,3.951277
Start in 2004,2052,3.695503
Start in 2004,2053,3.455211
Start in 2004,2054,3.229573
Start in 2004,2055,3.017794
Start in 2004,2056,2.819111
Start in 2004,2057,2.632795
Start in 2004,2058,2.458146
Start in 2004,2059,2.294498
Start in 2004,2060,2.141218
Start in 2004,2061,1.997699
Start in 2004,2062,1.863369
Start in 2004,2063,1.737681
Start in 2004,2064,1.620117
Start in 2004,2065,1.510186
Start in 2004,2066,1.407426
Start in 2004,2067,1.311395
Start in 2004,2068,1.221678
Start in 2004,2069,1.137885
Start in 2004,2070,1.059643
Start in 2004,2071,0.986605
Start in 2004,2072,0.91844
Start in 2004,2073,0.85484
Start in 2004,2074,0.795512
Start in 2004,2075,0.740182
Start in 2004,2076,0.688592
Start in 2004,2077,0.640499
Start in 2004,2078,0.595676
Start in 2004,2079,0.553909
Start in 2004,2080,0.514997
Start in 2004,2081,0.478752
Start in 2004,2082,0.444997
Start in 2004,2083,0.413567
Start in 2004,2084,0.384307
Start in 2004,2085,0.357071
Start in 2004,2086,0.331725
Start in 2004,2087,0.30814
Start in 2004,2088,0.286198
Start in 2004,2089,0.265788
Start in 2004,2090,0.246805
Start in 2004,2091,0.229152
Start in 2004,2092,0.212739
Start in 2004,2093,0.19748
Start in 2004,2094,0.183296
Start in 2004,2095,0.170114
Start in 2004,2096,0.157864
Start in 2004,2097,0.146481
Start in 2004,2098,0.135906
Start in 2004,2099,0.126083
Start in 2004,2100,0.116959
Start in 2005,2005,33.702877
Start in 2005,2006,34.531861
Start in 2005,2007,34.973755
Start in 2005,2008,35.088601
Start in 2005,2009,34.929015
Start in 2005,2010,34.541009
Start in 2005,2011,33.964742
Start in 2005,2012,33.23518
Start in 2005,2013,32.382694
Start in 2005,2014,31.433584
Start in 2005,2015,30.410556
Start in 2005,2016,29.333147
Start in 2005,2017,28.218093
Start in 2005,2018,27.079672
Start in 2005,2019,25.929997
Start in 2005,2020,24.779284
Start in 2005,2021,23.636088
Start in 2005,2022,22.507509
Start in 2005,2023,21.399382
Start in 2005,2024,20.316438
Start in 2005,2025,19.262452
Start in 2005,2026,18.240371
Start in 2005,2027,17.252428
Start in 2005,2028,16.300242
Start in 2005,2029,15.384907
Start in 2005,2030,14.507069
Start in 2005,2031,13.666997
Start in 2005,2032,12.864639
Start in 2005,2033,12.099678
Start in 2005,2034,11.371575
Start in 2005,2035,10.679612
Start in 2005,2036,10.022924
Start in 2005,2037,9.400531
Start in 2005,2038,8.811363
Start in 2005,2039,8.254283
Start in 2005,2040,7.728105
Start in 2005,2041,7.231613
Start in 2005,2042,6.763573
Start in 2005,2043,6.322744
Start in 2005,2044,5.907893
Start in 2005,2045,5.517795
Start in 2005,2046,5.151249
Start in 2005,2047,4.807074
Start in 2005,2048,4.484124
Start in 2005,2049,4.181282
Start in 2005,2050,3.897468
Start in 2005,2051,3.631641
Start in 2005,2052,3.382798
Start in 2005,2053,3.149976
Start in 2005,2054,2.932253
Start in 2005,2055,2.728748
Start in 2005,2056,2.53862
Start in 2005,2057,2.361069
Start in 2005,2058,2.195331
Start in 2005,2059,2.040685
Start in 2005,2060,1.896445
Start in 2005,2061,1.76196
Start in 2005,2062,1.636616
Start in 2005,2063,1.519832
Start in 2005,2064,1.411061
Start in 2005,2065,1.309786
Start in 2005,2066,1.215519
Start in 2005,2067,1.127801
Start in 2005,2068,1.046202
Start in 2005,2069,0.970316
Start in 2005,2070,0.899763
Start in 2005,2071,0.834184
Start in 2005,2072,0.773245
Start in 2005,2073,0.716631
Start in 2005,2074,0.664048
Start in 2005,2075,0.615221
Start in 2005,2076,0.569891
Start in 2005,2077,0.527817
Start in 2005,2078,0.488773
Start in 2005,2079,0.452549
Start in 2005,2080,0.418948
Start in 2005,2081,0.387786
Start in 2005,2082,0.358892
Start in 2005,2083,0.332104
Start in 2005,2084,0.307275
Start in 2005,2085,0.284265
Start in 2005,2086,0.262944
Start in 2005,2087,0.243192
Start in 2005,2088,0.224896
Start in 2005,2089,0.207951
Start in 2005,2090,0.192261
Start in 2005,2091,0.177734
Start in 2005,2092,0.164286
Start in 2005,2093,0.15184
Start in 2005,2094,0.14032
Start in 2005,2095,0.129662
Start in 2005,2096,0.1198
Start in 2005,2097,0.110677
Start in 2005,2098,0.102239
Start in 2005,2099,0.094435
Start in 2005,2100,0.087218
Start in 2006,2006,34.881629
Start in 2006,2007,35.807053
Start in 2006,2008,36.268132
Start in 2006,2009,36.342365
Start in 2006,2010,36.096931
Start in 2006,2011,35.589931
Start in 2006,2012,34.871492
Start in 2006,2013,33.984735
Start in 2006,2014,32.966647
Start in 2006,2015,31.848836
Start in 2006,2016,30.658215
Start in 2006,2017,29.417591
Start in 2006,2018,28.146198
Start in 2006,2019,26.860157
Start in 2006,2020,25.572887
Start in 2006,2021,24.295465
Start in 2006,2022,23.036943
Start in 2006,2023,21.804629
Start in 2006,2024,20.604327
Start in 2006,2025,19.440554
Start in 2006,2026,18.316727
Start in 2006,2027,17.235327
Start in 2006,2028,16.198043
Start in 2006,2029,15.205894
Start in 2006,2030,14.259341
Start in 2006,2031,13.358379
Start in 2006,2032,12.502619
Start in 2006,2033,11.691359
Start in 2006,2034,10.923645
Start in 2006,2035,10.198321
Start in 2006,2036,9.514078
Start in 2006,2037,8.869489
Start in 2006,2038,8.263042
Start in 2006,2039,7.693169
Start in 2006,2040,7.158269
Start in 2006,2041,6.656724
Start in 2006,2042,6.186919
Start in 2006,2043,5.747257
Start in 2006,2044,5.336163
Start in 2006,2045,4.952099
Start in 2006,2046,4.593567
Start in 2006,2047,4.259118
Start in 2006,2048,3.947353
Start in 2006,2049,3.656926
Start in 2006,2050,3.386547
Start in 2006,2051,3.134985
Start in 2006,2052,2.901063
Start in 2006,2053,2.683664
Start in 2006,2054,2.481725
Start in 2006,2055,2.294242
Start in 2006,2056,2.120261
Start in 2006,2057,1.958885
Start in 2006,2058,1.809266
Start in 2006,2059,1.670606
Start in 2006,2060,1.542153
Start in 2006,2061,1.423202
Start in 2006,2062,1.313092
Start in 2006,2063,1.211202
Start in 2006,2064,1.116952
Start in 2006,2065,1.029796
Start in 2006,2066,0.949228
Start in 2006,2067,0.874772
Start in 2006,2068,0.805986
Start in 2006,2069,0.742455
Start in 2006,2070,0.683795
Start in 2006,2071,0.629647
Start in 2006,2072,0.579677
Start in 2006,2073,0.533575
Start in 2006,2074,0.491051
Start in 2006,2075,0.451837
Start in 2006,2076,0.415684
Start in 2006,2077,0.38236
Start in 2006,2078,0.351651
Start in 2006,2079,0.323357
Start in 2006,2080,0.297294
Start in 2006,2081,0.273291
Start in 2006,2082,0.251189
Start in 2006,2083,0.230841
Start in 2006,2084,0.212113
Start in 2006,2085,0.194877
Start in 2006,2086,0.179018
Start in 2006,2087,0.164428
Start in 2006,2088,0.151008
Start in 2006,2089,0.138666
Start in 2006,2090,0.127317
Start in 2006,2091,0.116883
Start in 2006,2092,0.107292
Start in 2006,2093,0.098476
Start in 2006,2094,0.090375
Start in 2006,2095,0.082931
Start in 2006,2096,0.076092
Start in 2006,2097,0.06981
Start in 2006,2098,0.06404
Start in 2006,2099,0.058741
Start in 2006,2100,0.053875
Start in 2007,2007,34.809941
Start in 2007,2008,35.521819
Start in 2007,2009,35.802941
Start in 2007,2010,35.727017
Start in 2007,2011,35.357798
Start in 2007,2012,34.750286
Start in 2007,2013,33.951808
Start in 2007,2014,33.002969
Start in 2007,2015,31.938486
Start in 2007,2016,30.787935
Start in 2007,2017,29.576403
Start in 2007,2018,28.325068
Start in 2007,2019,27.051707
Start in 2007,2020,25.771144
Start in 2007,2021,24.495646
Start in 2007,2022,23.235266
Start in 2007,2023,21.998155
Start in 2007,2024,20.790819
Start in 2007,2025,19.618363
Start in 2007,2026,18.484686
Start in 2007,2027,17.392669
Start in 2007,2028,16.344324
Start in 2007,2029,15.340933
Start in 2007,2030,14.383165
Start in 2007,2031,13.471181
Start in 2007,2032,12.604718
Start in 2007,2033,11.78317
