Entity,Year,Total wealth,Produced capital (including urban land),"Natural capital (timber, non-timber, protected areas, land, sub-soil assets)","Forest, timber","Forest, non-timber",Protected areas,"Land (crop, pasture)",Cropland,Pastureland,"Sub-soil assets (fossil energy resources, metals and minerals)","Fossil energy resources (oil, natural gas, coal)",Oil,Natural gas,Coal,Metals and minerals,Human capital,"Human capital, male","Human capital, female",Net foreign assets,Adjusted net national income,Adjusted net saving,Gross domestic product,Gross national income,"Natural capital, renewable (excluding sub-soil assets)"
East Asia & Pacific,1995,143438546.00,27671821.53,11782183.80,894950.59,2025707.02,712602.20,7010578.52,5674107.97,1336470.54,1138345.47,853602.82,637787.52,57148.68,158666.62,284742.65,104490678.96,71045626.47,33445052.47,-506138.29,7071685.45,829777.09,8509225.76,8466044.01,10643838.33
East Asia & Pacific,2000,164983032.31,36198802.17,13474654.84,725426.89,2039252.15,897510.06,8671737.88,7075049.95,1596687.93,1140727.87,801975.76,671409.97,48692.79,81873.00,338752.11,115115257.58,77162859.06,37952398.53,194317.71,8340033.56,1472938.69,10203031.86,10172303.41,12333926.97
East Asia & Pacific,2010,183353590.90,48097551.23,17742046.49,586336.65,2054180.22,1227926.64,10649745.25,8411823.10,2237922.15,3223857.73,2372977.82,1072094.60,133950.03,1166933.18,850879.91,116085831.53,78498682.98,37587148.55,1428161.65,10465221.03,2202188.91,12863452.64,12863535.43,14518188.76
East Asia & Pacific,2014,302081782.60,84077115.89,31625575.01,805288.52,2051668.66,1931996.63,16392494.74,12835116.53,3557378.21,10444126.47,5800511.08,1586705.40,331229.97,3882575.70,4643615.39,182551351.04,118894237.58,63657113.47,3827740.66,16187113.54,3539673.05,20666227.61,20792167.38,21181448.55
East Asia & Pacific (developing countries),1995,51473216.53,8564724.77,9421242.78,832921.44,545892.99,646397.89,6504261.56,5420904.39,1083357.18,891768.91,778823.42,605153.66,49227.59,124442.16,112945.50,34200498.21,20795019.05,13405479.16,-713249.24,2431005.68,591670.55,2830147.36,2779615.34,8529473.87
East Asia & Pacific (developing countries),2000,65322310.81,12703699.77,11024255.41,667616.08,558630.31,825834.96,8140991.38,6772129.08,1368862.30,831182.68,707779.21,615290.34,40090.72,52398.15,123403.47,42134843.71,25107959.12,17026884.59,-540488.08,3221567.58,660734.66,3892098.20,3833409.04,10193072.73
East Asia & Pacific (developing countries),2010,80181958.18,19481009.54,14848158.52,528348.69,584629.86,1140401.27,10080937.72,8094712.65,1986225.07,2513840.98,2103676.21,1004983.90,114611.74,984080.57,410164.77,45613867.75,28980914.47,16632953.28,238922.36,4778886.44,1384178.97,5869631.85,5831372.82,12334317.54
East Asia & Pacific (developing countries),2014,1148466084.23,303548363.09,107427308.06,2397283.56,8101751.81,7790524.47,39889742.45,25899884.12,13989858.32,49248005.77,39094160.84,28848795.40,3310295.96,6935069.49,10153844.93,742071731.94,454427905.18,287643826.84,-4581318.86,61654390.19,8072291.73,75079590.99,75442192.22,18970061.20
Europe & Central Asia,1995,227529259.34,73503091.93,11271446.88,474314.29,1154012.20,1020862.61,5564050.47,3043703.03,2520347.43,3058207.31,2933551.00,1424465.87,1260295.17,248789.95,124656.32,143287989.51,88186266.32,55101723.18,-533268.98,13010604.07,1244327.86,15943407.47,15798084.35,8213239.57
Europe & Central Asia,2000,245870484.48,77707810.71,11046448.27,452821.01,1179372.38,1191261.15,4874640.03,2526287.76,2348352.28,3348353.71,3263429.37,2051845.70,1102493.45,109090.23,84924.34,158252264.91,97631315.40,60620949.51,-1136039.42,15329598.58,1761909.06,18359018.95,18314090.81,7698094.56
Europe & Central Asia,2010,271792543.29,87476040.69,14047274.82,449475.90,1197068.40,1255278.57,4536135.30,2421756.60,2114378.70,6609316.66,6356589.23,3786302.71,2191034.63,379251.89,252727.43,171859039.95,104893997.42,66965042.54,-1589812.17,17292458.60,2126506.52,20637397.61,20707099.28,7437958.16
