Entity,Year,Urban population (US Census Bureau (2010)),Rural population (US Census Bureau (2010)),Total population (US Census Bureau (2010)),Percentage of the population in urban areas (US Census Bureau (2010)),Percentage of the population in rural areas (US Census Bureau (2010))
United States,1790,201655,3727559,3929214,5.1321969,94.8678031
United States,1800,322371,4986112,5308483,6.0727519,93.9272481
United States,1810,525459,6714422,7239881,7.2578403,92.7421597
United States,1820,693255,8945198,9638453,7.1925962,92.8074038
United States,1830,1127247,11733455,12860702,8.7650503,91.2349497
United States,1840,1845055,15218298,17063353,10.8129686,89.1870314
United States,1850,3574496,19617380,23191876,15.4127074,84.5872926
United States,1860,6216518,25226803,31443321,19.7705516,80.2294484
United States,1870,9902361,28656010,38558371,25.6814817,74.3185183
United States,1880,14358167,35797616,50155783,28.6271416,71.3728584
United States,1890,22298359,40649355,62947714,35.42362,64.57638
United States,1900,30380433,45614142,75994575,39.9771076,60.0228924
United States,1910,42166120,49806146,91972266,45.8465599,54.1534401
United States,1920,54304603,51406017,105710620,51.3710004,48.6289996
United States,1930,68954823,53820223,122775046,56.1635489,43.8364511
United States,1940,74423702,57245573,131669275,56.5232109,43.4767891
United States,1950,96467686,54299675,150767361,63.9844628,36.0155372
United States,1960,125268750,54054425,179323175,69.8564198,30.1435802
United States,1970,149639720,53572206,203211926,73.6372726,26.3627274
United States,1980,167054638,59491167,226545805,73.7398947,26.2601053
United States,1990,187053487,61656386,248709873,75.2095141,24.7904859
United States,2000,222360539,59061367,281421906,79.0132304,20.9867696
United States,2010,249253271,59492267,308745538,80.7309711,19.2690289
