Entity,Year,NHS Expenditure %GDP 1950-2012 (Office of Health Economics (2012)),NHS Expenditure per capita (Office of Health Economics (2012))
United Kingdom,1950,3.5,9
United Kingdom,1951,3.56,10
United Kingdom,1961,3.36,17
United Kingdom,1971,3.86,37
United Kingdom,1981,4.88,207
United Kingdom,1991,5.02,509
United Kingdom,1992,5.4,575
United Kingdom,1993,5.72,629
United Kingdom,1994,5.59,650
United Kingdom,1995,5.69,698
United Kingdom,1996,5.63,729
United Kingdom,1997,5.49,755
United Kingdom,1998,5.45,792
United Kingdom,1999,5.46,833
United Kingdom,2000,5.66,910
United Kingdom,2001,5.91,989
United Kingdom,2002,6.26,1089
United Kingdom,2003,6.88,1259
United Kingdom,2004,7.12,1379
United Kingdom,2005,7.37,1494
United Kingdom,2006,7.7,1640
United Kingdom,2007,7.75,1724
United Kingdom,2008,8,1877
United Kingdom,2009,8.47,1959
United Kingdom,2010,9.1,2080
United Kingdom,2011,8.86,2099
United Kingdom,2012,8.76,2113
