Entity,Year,Gini coefficient (income after taxes and transfers) (OECD Income Distribution Database (2016)),Gini  coefficient (before taxes and transfers) (OECD Income Distribution Database (2016))
Australia,2012,0.326,0.463
Australia,2014,0.337,0.483
Austria,2004,0.269,0.462
Austria,2005,0.261,0.468
Austria,2006,0.268,0.481
Austria,2007,0.285,0.487
Austria,2008,0.281,0.492
Austria,2009,0.289,0.506
Austria,2010,0.28,0.497
Austria,2011,0.282,0.497
Austria,2012,0.276,0.495
Austria,2013,0.28,0.497
Belgium,2004,0.288,0.504
Belgium,2005,0.278,0.491
Belgium,2006,0.27,0.482
Belgium,2007,0.28,0.477
Belgium,2008,0.269,0.477
Belgium,2009,0.275,0.481
Belgium,2010,0.27,0.486
Belgium,2011,0.272,0.488
Belgium,2012,0.268,0.488
Belgium,2013,0.268,0.494
Canada,2006,0.316,0.434
Canada,2007,0.318,0.435
Canada,2008,0.316,0.432
Canada,2009,0.318,0.441
Canada,2010,0.316,0.443
Canada,2011,0.314,0.436
Canada,2012,0.321,0.438
Canada,2013,0.322,0.44
Chile,2009,0.48,0.513
Chile,2011,0.471,0.502
Chile,2013,0.465,0.498
Czech Republic,2004,0.268,0.468
Czech Republic,2005,0.261,0.462
Czech Republic,2006,0.261,0.461
Czech Republic,2007,0.257,0.451
Czech Republic,2008,0.26,0.445
Czech Republic,2009,0.258,0.447
Czech Republic,2010,0.262,0.452
Czech Republic,2011,0.259,0.458
Czech Republic,2012,0.256,0.455
Czech Republic,2013,0.262,0.463
Denmark,2011,0.251,0.433
Denmark,2012,0.249,0.436
Denmark,2013,0.254,0.442
Estonia,2004,0.349,0.508
Estonia,2005,0.338,0.487
Estonia,2006,0.342,0.481
Estonia,2007,0.316,0.451
Estonia,2008,0.32,0.46
Estonia,2009,0.321,0.483
Estonia,2010,0.326,0.492
Estonia,2011,0.332,0.487
Estonia,2012,0.338,0.489
Estonia,2013,0.361,0.513
Finland,1987,0.209,0.393
Finland,1988,0.213,0.4
Finland,1989,0.217,0.407
Finland,1990,0.215,0.404
Finland,1991,0.212,0.413
Finland,1992,0.211,0.444
Finland,1993,0.214,0.474
Finland,1994,0.215,0.486
Finland,1995,0.22,0.483
Finland,1996,0.224,0.485
Finland,1997,0.235,0.487
Finland,1998,0.243,0.483
Finland,1999,0.25,0.483
Finland,2000,0.254,0.478
Finland,2001,0.262,0.484
Finland,2002,0.258,0.479
Finland,2003,0.261,0.479
Finland,2004,0.266,0.48
Finland,2005,0.265,0.483
Finland,2006,0.268,0.488
Finland,2007,0.269,0.476
Finland,2008,0.264,0.472
Finland,2009,0.259,0.479
Finland,2010,0.264,0.487
Finland,2011,0.264,0.485
Finland,2012,0.26,0.488
Finland,2013,0.262,0.495
Finland,2014,0.257,0.495
France,2012,0.308,0.518
France,2013,0.294,0.504
Germany,2008,0.285,0.494
Germany,2011,0.291,0.505
Germany,2012,0.289,0.501
