Entity,Year,Births outside of marriage (% of all births)
Bulgaria,1970,8.5
Bulgaria,1971,9.6
Bulgaria,1972,9.9
Bulgaria,1973,10.7
Bulgaria,1974,9.6
Bulgaria,1975,9.3
Bulgaria,1976,9.5
Bulgaria,1977,9.8
Bulgaria,1978,9.9
Bulgaria,1979,10.6
Bulgaria,1980,10.9
Bulgaria,1981,10.3
Bulgaria,1982,11.4
Bulgaria,1983,11.3
Bulgaria,1984,11.4
Bulgaria,1985,11.7
Bulgaria,1986,10.9
Bulgaria,1987,10.8
Bulgaria,1988,11
Bulgaria,1989,11.4
Bulgaria,1990,12.4
Bulgaria,1991,15.5
Bulgaria,1992,18.5
Bulgaria,1993,22.1
Bulgaria,1994,24.5
Bulgaria,1995,25.7
Bulgaria,1996,28.1
Bulgaria,1997,30
Bulgaria,1998,31.5
Bulgaria,1999,35.1
Bulgaria,2000,38.4
Bulgaria,2001,42
Bulgaria,2002,42.8
Bulgaria,2003,46.1
Bulgaria,2004,48.7
Bulgaria,2005,49
Bulgaria,2006,50.8
Bulgaria,2007,50.2
Bulgaria,2008,51.1
Bulgaria,2009,53.4
Bulgaria,2010,54.1
Bulgaria,2011,56.1
Bulgaria,2012,57.4
Bulgaria,2013,59.1
Bulgaria,2014,58.8
Canada,1960,4.3
Canada,1961,4.5
Canada,1962,4.8
Canada,1963,5.3
Canada,1964,5.9
Canada,1965,6.7
Canada,1966,7.6
Canada,1967,8.3
Canada,1968,9
Canada,1969,9.2
Canada,1970,9.6
Canada,1971,9
Canada,1972,9
Canada,1973,9
Canada,1991,27
Canada,1992,28.2
Canada,1993,29.2
Canada,1994,29.6
Canada,1995,30.5
Canada,1996,30.9
Canada,1997,31.4
Canada,1998,31.3
Canada,1999,31.2
Canada,2000,31.7
Canada,2001,31.4
Canada,2002,31.6
Canada,2003,29.2
Canada,2004,28.8
Canada,2005,29.1
Canada,2006,30.6
Canada,2007,31
Canada,2008,32.1
Canada,2009,32.2
Canada,2010,32.3
Canada,2011,33.4
Canada,2012,33
Chile,2002,52.2
Chile,2006,61.2
Chile,2007,63.1
Chile,2008,65.1
Chile,2009,67.4
Chile,2010,68.5
Chile,2011,69.3
Chile,2012,70.3
Chile,2013,71.1
Costa Rica,1983,38.1
Costa Rica,1984,37.2
Costa Rica,1985,37.6
Costa Rica,1986,38.4
Costa Rica,1987,38.8
Costa Rica,1988,38.7
Costa Rica,1989,38.3
Costa Rica,1990,38.5
Costa Rica,1991,40.3
Costa Rica,1992,40.6
Costa Rica,1993,42.1
Costa Rica,1994,44.7
Costa Rica,1995,45.9
Costa Rica,1996,47.1
Costa Rica,1997,47.9
Costa Rica,1998,49.3
Costa Rica,1999,51.1
Costa Rica,2000,52.7
Costa Rica,2001,53.5
Costa Rica,2002,55.3
Costa Rica,2003,57
Costa Rica,2004,58.9
Costa Rica,2005,60.2
Costa Rica,2006,61.4
Costa Rica,2007,63.1
Costa Rica,2008,64.6
Costa Rica,2009,66.6
Costa Rica,2010,67.4
Costa Rica,2011,68.2
Costa Rica,2012,69.4
Costa Rica,2013,69.3
Costa Rica,2014,69.4
Croatia,1960,7.4
Croatia,1961,7.1
Croatia,1962,6.5
Croatia,1963,6.9
Croatia,1964,6.8
Croatia,1965,6
Croatia,1966,5.7
Croatia,1967,5.4
Croatia,1968,5.5
Croatia,1969,5.6
Croatia,1970,5.4
Croatia,1971,5.2
Croatia,1972,5.2
Croatia,1973,5
Croatia,1974,5
Croatia,1975,4.9
Croatia,1976,4.9
Croatia,1977,4.8
Croatia,1978,4.7
Croatia,1979,5.1
Croatia,1980,5.1
Croatia,1981,5.2
Croatia,1982,5.4
Croatia,1983,5.5
Croatia,1984,5.5
Croatia,1985,5.9
Croatia,1986,6.2
Croatia,1987,6.4
Croatia,1988,6.3
Croatia,1989,6.6
Croatia,1990,7
Croatia,1991,7.5
Croatia,1992,7.7
Croatia,1993,7.7
Croatia,1994,7.6
Croatia,1995,7.5
Croatia,1996,7.1
Croatia,1997,7.3
Croatia,1998,8.1
Croatia,1999,8.2
Croatia,2000,9
Croatia,2001,9.4
Croatia,2002,9.6
Croatia,2003,10.1
Croatia,2004,10.4
Croatia,2005,10.5
Croatia,2006,11
Croatia,2007,11.5
Croatia,2008,12
Croatia,2009,12.9
Croatia,2010,13.3
Croatia,2011,14
Croatia,2012,15.4
Croatia,2013,16.1
Croatia,2014,17.4
Cyprus,1961,0.3
Cyprus,1962,0.2
Cyprus,1963,0.1
Cyprus,1964,0
Cyprus,1965,0.1
Cyprus,1966,0.1
Cyprus,1967,0.2
Cyprus,1968,0.3
Cyprus,1969,0.3
Cyprus,1970,0.2
Cyprus,1971,0.4
Cyprus,1972,0.4
Cyprus,1973,0.4
Cyprus,1974,0.5
Cyprus,1975,0.7
Cyprus,1976,0.3
Cyprus,1977,0.1
Cyprus,1978,0.3
Cyprus,1979,0.4
Cyprus,1980,0.6
Cyprus,1981,0.5
Cyprus,1982,0.2
Cyprus,1983,0.3
Cyprus,1984,0.4
Cyprus,1985,0.4
Cyprus,1986,0.5
Cyprus,1987,0.6
Cyprus,1988,0.7
Cyprus,1989,0.7
Cyprus,1990,0.7
Cyprus,1991,0.8
Cyprus,1992,1.1
Cyprus,1993,0.8
Cyprus,1994,1
Cyprus,1995,1.4
Cyprus,1996,1.5
Cyprus,1997,1.6
Cyprus,1998,2.1
Cyprus,1999,2.2
Cyprus,2000,2.3
Cyprus,2001,2.5
Cyprus,2002,3.5
Cyprus,2003,3.5
Cyprus,2004,3.3
Cyprus,2005,4.4
Cyprus,2006,5.6
Cyprus,2007,8.7
Cyprus,2008,8.9
Cyprus,2009,11.7
Cyprus,2010,15.2
Cyprus,2011,16.9
Cyprus,2012,18.6
Czech Republic,1960,4.9
Czech Republic,1961,4.6
Czech Republic,1962,4.5
Czech Republic,1963,4.7
Czech Republic,1964,4.8
Czech Republic,1965,5
Czech Republic,1966,5.3
Czech Republic,1967,5.3
Czech Republic,1968,5.4
Czech Republic,1969,5.5
Czech Republic,1970,5.4
Czech Republic,1971,5.3
Czech Republic,1972,5
Czech Republic,1973,4.4
Czech Republic,1974,4.3
Czech Republic,1975,4.5
Czech Republic,1976,4.5
Czech Republic,1977,4.6
Czech Republic,1978,4.7
Czech Republic,1979,5
Czech Republic,1980,5.6
Czech Republic,1981,5.8
Czech Republic,1982,6.4
Czech Republic,1983,6.8
Czech Republic,1984,7.2
Czech Republic,1985,7.3
Czech Republic,1986,7.4
Czech Republic,1987,7.2
Czech Republic,1988,7.5
Czech Republic,1989,7.9
Czech Republic,1990,8.6
Czech Republic,1991,9.8
Czech Republic,1992,10.7
Czech Republic,1993,12.7
Czech Republic,1994,14.5
Czech Republic,1995,15.6
Czech Republic,1996,16.9
Czech Republic,1997,17.8
Czech Republic,1998,19
Czech Republic,1999,20.6
Czech Republic,2000,21.8
Czech Republic,2001,23.5
Czech Republic,2002,25.3
Czech Republic,2003,28.5
Czech Republic,2004,30.6
Czech Republic,2005,31.7
Czech Republic,2006,33.3
Czech Republic,2007,34.5
Czech Republic,2008,36.3
Czech Republic,2009,38.8
Czech Republic,2010,40.3
Czech Republic,2011,41.8
Czech Republic,2012,43.4
Czech Republic,2013,45
Czech Republic,2014,46.7
Denmark,1960,7.8
Denmark,1961,8
Denmark,1962,8.3
Denmark,1963,8.9
Denmark,1964,9.3
Denmark,1965,9.5
Denmark,1966,10.2
Denmark,1967,11.1
Denmark,1968,11.1
Denmark,1969,11.3
Denmark,1970,11
Denmark,1971,12.3
Denmark,1972,14.4
Denmark,1973,17.1
Denmark,1974,18.8
Denmark,1975,21.7
Denmark,1976,24
Denmark,1977,25.9
Denmark,1978,27.9
Denmark,1979,30.7
Denmark,1980,33.2
Denmark,1981,35.7
Denmark,1982,38.3
Denmark,1983,40.6
Denmark,1984,41.9
Denmark,1985,43
Denmark,1986,43.9
Denmark,1987,44.5
Denmark,1988,44.7
Denmark,1989,46.1
Denmark,1990,46.4
Denmark,1991,46.5
Denmark,1992,46.4
Denmark,1993,46.8
Denmark,1994,46.9
Denmark,1995,46.5
Denmark,1996,46.3
Denmark,1997,45.1
Denmark,1998,44.8
Denmark,1999,44.9
Denmark,2000,44.6
Denmark,2001,44.6
Denmark,2002,44.6
Denmark,2003,44.9
Denmark,2004,45.4
Denmark,2005,45.7
Denmark,2006,46.4
Denmark,2007,46.1
Denmark,2008,46.2
Denmark,2009,46.8
Denmark,2010,47.3
Denmark,2011,49
Denmark,2012,50.6
Denmark,2013,51.5
Denmark,2014,52.5
Estonia,1989,25.3
Estonia,1990,27.2
Estonia,1991,31.2
Estonia,1992,33.9
Estonia,1993,38.2
Estonia,1994,41
Estonia,1995,44.2
Estonia,1996,48.1
Estonia,1997,51.6
Estonia,1998,52.5
Estonia,1999,54.2
Estonia,2000,54.5
Estonia,2001,56.2
Estonia,2002,56.3
Estonia,2003,57.8
Estonia,2004,58
Estonia,2005,58.5
Estonia,2006,58.2
Estonia,2007,57.8
Estonia,2008,59
Estonia,2009,59.2
Estonia,2010,59.1
Estonia,2011,59.7
Estonia,2012,58.4
Finland,1960,4
Finland,1961,4.1
Finland,1962,4
Finland,1963,4.2
Finland,1964,4.4
Finland,1965,4.6
Finland,1966,4.8
Finland,1967,5.1
Finland,1968,5.3
Finland,1969,5.6
Finland,1970,5.8
Finland,1971,5.5
Finland,1972,6.7
Finland,1973,7.9
Finland,1974,9
Finland,1975,10.1
Finland,1976,10.9
Finland,1977,11.1
Finland,1978,11.4
Finland,1979,12
Finland,1980,13.1
Finland,1981,13.3
Finland,1982,13.6
Finland,1983,14
Finland,1984,15.1
Finland,1985,16.4
Finland,1986,18
Finland,1987,19.2
Finland,1988,20.6
Finland,1989,22.9
Finland,1990,25.2
Finland,1991,27.4
Finland,1992,28.9
Finland,1993,30.3
Finland,1994,31.3
Finland,1995,33.1
Finland,1996,35.4
Finland,1997,36.5
Finland,1998,37.2
Finland,1999,38.7
Finland,2000,39.2
Finland,2001,39.5
Finland,2002,39.9
Finland,2003,40
Finland,2004,40.8
Finland,2005,40.4
Finland,2006,40.5
Finland,2007,40.6
Finland,2008,40.7
Finland,2009,40.9
Finland,2010,41.1
Finland,2011,40.9
Finland,2012,41.5
Finland,2013,42.1
Finland,2014,42.8
France,1998,41.7
France,1999,42.7
France,2000,43.6
France,2001,44.7
France,2002,45.2
France,2003,46.2
France,2004,47.4
France,2005,48.4
France,2006,50.5
France,2007,51.7
France,2008,52.6
France,2009,53.7
France,2010,55
France,2011,55.8
France,2012,56.7
Germany,1960,7.6
Germany,1961,7.1
Germany,1962,6.6
Germany,1963,6.1
Germany,1964,5.9
Germany,1965,5.8
Germany,1966,5.7
Germany,1967,5.8
Germany,1968,6.1
Germany,1969,6.6
Germany,1970,7.2
Germany,1971,8
Germany,1972,8.3
Germany,1973,8.3
Germany,1974,8.5
Germany,1975,8.5
Germany,1976,8.8
Germany,1977,9
Germany,1978,9.9
Germany,1979,10.7
Germany,1980,11.9
Germany,1981,12.8
Germany,1982,14.3
Germany,1983,15.4
Germany,1984,15.9
Germany,1985,16.2
Germany,1986,16.1
Germany,1987,15.7
Germany,1988,15.7
Germany,1989,15.5
Germany,1990,15.3
Germany,1991,15.1
Germany,1992,14.9
Germany,1993,14.8
Germany,1994,15.4
Germany,1995,16.1
Germany,1996,17
Germany,1997,18
Germany,1998,20
Germany,1999,22.1
Germany,2000,23.4
Germany,2001,25
Germany,2002,26.1
Germany,2003,27
Germany,2004,27.9
Germany,2005,29.2
Germany,2006,30
Germany,2007,30.8
Germany,2008,32.1
Germany,2009,32.7
Germany,2010,33.3
Germany,2011,33.9
Germany,2012,34.5
Germany,2013,34.8
Germany,2014,35
Greece,1960,1.2
Greece,1961,1.2
Greece,1962,1.2
Greece,1963,1.2
Greece,1964,1.1
Greece,1965,1.1
Greece,1966,1
Greece,1967,1
Greece,1968,1.1
Greece,1969,1.1
Greece,1970,1.1
Greece,1971,1.2
Greece,1972,1.2
Greece,1973,1.3
Greece,1974,1.2
Greece,1975,1.3
Greece,1976,1.3
Greece,1977,1.3
Greece,1978,1.4
Greece,1979,1.4
Greece,1980,1.5
Greece,1981,1.6
Greece,1982,1.5
Greece,1983,1.6
Greece,1984,1.7
Greece,1985,1.8
Greece,1986,1.8
Greece,1987,2.1
Greece,1988,2.1
Greece,1989,2.1
Greece,1990,2.2
Greece,1991,2.4
Greece,1992,2.6
Greece,1993,2.8
Greece,1994,2.9
Greece,1995,3
Greece,1996,3.3
Greece,1997,3.5
Greece,1998,3.8
Greece,1999,3.9
Greece,2000,4
Greece,2001,4.3
Greece,2002,4.4
Greece,2003,4.8
Greece,2004,5.1
Greece,2005,5.1
Greece,2006,5.3
Greece,2007,5.8
Greece,2008,5.9
Greece,2009,6.6
Greece,2010,7.3
Greece,2011,7.4
Greece,2012,7.6
Greece,2013,7
Greece,2014,8.2
Hungary,1960,5.5
Hungary,1961,5.5
Hungary,1962,5.4
Hungary,1963,5.3
Hungary,1964,5.2
Hungary,1965,5.2
Hungary,1966,5.1
Hungary,1967,5
Hungary,1968,5
Hungary,1969,5.2
Hungary,1970,5.4
Hungary,1971,5.8
Hungary,1972,6
Hungary,1973,5.9
Hungary,1974,5.7
Hungary,1975,5.6
Hungary,1976,5.7
Hungary,1977,5.9
Hungary,1978,6.3
Hungary,1979,6.6
Hungary,1980,7.1
Hungary,1981,7.4
Hungary,1982,7.7
Hungary,1983,8.3
Hungary,1984,8.8
Hungary,1985,9.2
Hungary,1986,9.5
Hungary,1987,10.4
Hungary,1988,11.9
Hungary,1989,12.4
Hungary,1990,13.1
Hungary,1991,14.1
Hungary,1992,15.6
Hungary,1993,17.6
Hungary,1994,19.4
Hungary,1995,20.7
Hungary,1996,22.6
Hungary,1997,25
Hungary,1998,26.6
Hungary,1999,28
Hungary,2000,29
Hungary,2001,30.3
Hungary,2002,31.4
Hungary,2003,32.3
Hungary,2004,34
Hungary,2005,35
Hungary,2006,35.6
Hungary,2007,37.5
Hungary,2008,39.5
Hungary,2009,40.8
Hungary,2010,40.8
Hungary,2011,42.3
Hungary,2012,44.5
Hungary,2013,45.6
Hungary,2014,47.3
Iceland,1960,25.3
Iceland,1961,25.3
Iceland,1962,24.5
Iceland,1963,25.1
Iceland,1964,26.7
Iceland,1965,26.9
Iceland,1966,28.4
Iceland,1967,30
Iceland,1968,30.5
Iceland,1969,29.6
Iceland,1970,29.9
Iceland,1971,31.1
Iceland,1972,32.3
Iceland,1973,33.9
Iceland,1974,33.7
Iceland,1975,33
Iceland,1976,34.2
Iceland,1977,36
Iceland,1978,36.7
Iceland,1979,36.6
Iceland,1980,39.7
Iceland,1981,41.2
Iceland,1982,44.6
Iceland,1983,45
Iceland,1984,47.1
Iceland,1985,48
Iceland,1986,50.8
Iceland,1987,50.1
Iceland,1988,52
Iceland,1989,52.9
Iceland,1990,55.2
Iceland,1991,56.4
Iceland,1992,57.3
Iceland,1993,58.3
Iceland,1994,59.6
Iceland,1995,60.9
Iceland,1996,60.7
Iceland,1997,65.2
Iceland,1998,64
Iceland,1999,62.4
Iceland,2000,65.2
Iceland,2001,63
Iceland,2002,62.3
Iceland,2003,63.6
Iceland,2004,63.7
Iceland,2005,65.7
Iceland,2006,65.6
Iceland,2007,63.8
Iceland,2008,64.1
Iceland,2009,64.4
Iceland,2010,64.3
Iceland,2011,65
Iceland,2012,66.9
Ireland,1960,1.6
Ireland,1961,1.6
Ireland,1962,1.8
Ireland,1963,1.8
Ireland,1964,2
Ireland,1965,2.2
Ireland,1966,2.3
Ireland,1967,2.5
Ireland,1968,2.6
Ireland,1969,2.6
Ireland,1970,2.7
Ireland,1971,2.7
Ireland,1972,2.9
Ireland,1973,3.2
Ireland,1974,3.4
Ireland,1975,3.7
Ireland,1976,3.8
Ireland,1977,4.2
Ireland,1978,4.3
Ireland,1979,4.6
Ireland,1980,5.9
Ireland,1981,6.2
Ireland,1982,7.2
Ireland,1983,7.9
Ireland,1984,8
Ireland,1985,8.5
Ireland,1986,9.6
Ireland,1987,10.9
Ireland,1988,11.9
Ireland,1989,12.8
Ireland,1990,14.6
Ireland,1991,16.9
Ireland,1992,18
Ireland,1993,19.9
Ireland,1994,20.8
Ireland,1995,22.3
Ireland,1996,25.3
Ireland,1997,26.8
Ireland,1998,28.7
Ireland,1999,31.1
Ireland,2000,31.5
Ireland,2001,31.3
Ireland,2002,31.2
Ireland,2003,31.2
Ireland,2004,31.9
Ireland,2005,31.8
Ireland,2006,32.7
Ireland,2007,33.1
Ireland,2008,33.4
Ireland,2009,33.4
Ireland,2010,33.8
Ireland,2011,33.9
Ireland,2012,35.1
Israel,2002,5.3
Israel,2003,5.8
Israel,2004,5.6
Israel,2005,5.5
Israel,2006,5.6
Israel,2007,5.6
Israel,2008,5.7
Israel,2009,5.8
Israel,2010,5.8
Israel,2011,6
Israel,2012,5.8
Israel,2013,6.1
Israel,2014,6.3
Italy,1960,2.4
Italy,1961,2.4
Italy,1962,2.2
Italy,1963,2.2
Italy,1964,2
Italy,1965,2
Italy,1966,2
Italy,1967,2
Italy,1968,2
Italy,1969,2
Italy,1970,2.2
Italy,1971,2.3
Italy,1972,2.5
Italy,1973,2.5
Italy,1974,2.6
Italy,1975,2.6
Italy,1976,3.1
Italy,1977,3.5
Italy,1978,3.9
Italy,1979,3.9
Italy,1980,4.3
Italy,1981,4.4
Italy,1982,4.7
Italy,1983,4.9
Italy,1984,5.1
Italy,1985,5.4
Italy,1986,5.6
Italy,1987,5.8
Italy,1988,5.8
Italy,1989,6.1
Italy,1990,6.5
Italy,1991,6.7
Italy,1992,6.7
Italy,1993,7.4
Italy,1994,7.8
Italy,1995,8.1
Italy,1996,8.3
Italy,1997,7
Italy,1998,8.7
Italy,1999,9.2
Italy,2000,9.7
Italy,2001,9.9
Italy,2002,10.9
Italy,2003,13
Italy,2005,15.2
Italy,2006,16.2
Italy,2007,17.7
Italy,2008,18.9
Italy,2009,19.8
Italy,2010,21.5
Italy,2011,23.4
Italy,2012,24.5
Italy,2013,26.9
Italy,2014,28.8
Japan,1960,1.2
Japan,1965,1
Japan,1970,0.9
Japan,1975,0.8
Japan,1980,0.8
Japan,1985,1
Japan,1990,1.1
Japan,1995,1.2
Japan,2000,1.6
Japan,2001,1.7
Japan,2002,1.9
Japan,2003,1.9
Japan,2004,2
Japan,2005,2
Japan,2006,2.1
Japan,2007,2
Japan,2008,2.1
Japan,2009,2.1
Japan,2010,2.1
Japan,2011,2.2
Japan,2012,2.2
Japan,2013,2.2
Japan,2014,2.3
Korea,1981,1.1
Korea,1982,1.1
Korea,1983,1
Korea,1984,1
Korea,1985,1
Korea,1986,1
Korea,1987,0.9
Korea,1988,0.8
Korea,1989,0.8
Korea,1990,0.9
Korea,1991,1
Korea,1992,1.1
Korea,1993,1.2
Korea,1994,1.3
Korea,1995,1.2
Korea,1996,0.9
Korea,1997,0.6
Korea,1998,0.7
Korea,1999,0.8
Korea,2000,0.9
Korea,2001,1
Korea,2002,1.1
Korea,2003,1.3
Korea,2004,1.3
Korea,2005,1.5
Korea,2006,1.5
Korea,2007,1.6
Korea,2008,1.8
Korea,2009,2
Korea,2010,2.1
Korea,2011,2.1
Korea,2012,2.1
Korea,2013,2.1
Korea,2014,1.9
Latvia,1960,11.9
Latvia,1961,12.3
Latvia,1962,12.4
Latvia,1963,12.3
Latvia,1964,12.8
Latvia,1965,13.3
Latvia,1966,12.6
Latvia,1967,12.3
Latvia,1968,12.1
Latvia,1969,8.3
Latvia,1970,11.4
Latvia,1971,11.1
Latvia,1972,11.7
Latvia,1973,11.7
Latvia,1974,11.6
Latvia,1975,11.7
Latvia,1976,12.2
Latvia,1977,12.1
Latvia,1978,12
Latvia,1979,12.3
Latvia,1980,12.5
Latvia,1981,12.9
Latvia,1982,13.2
Latvia,1983,13.5
Latvia,1984,14.3
Latvia,1985,14.4
Latvia,1986,15
Latvia,1987,15.5
Latvia,1988,15.5
Latvia,1989,15.9
Latvia,1990,16.9
Latvia,1991,18.4
Latvia,1992,19.6
Latvia,1993,23
Latvia,1994,26.4
Latvia,1995,29.9
Latvia,1996,33.1
Latvia,1997,34.8
Latvia,1998,37.1
Latvia,1999,39.1
Latvia,2000,40.4
Latvia,2001,42.1
Latvia,2002,43.1
Latvia,2003,44.3
Latvia,2004,45.3
Latvia,2005,44.7
Latvia,2006,43.8
Latvia,2007,43.2
Latvia,2008,43.2
Latvia,2009,43.5
Latvia,2010,44.4
Latvia,2011,44.6
Latvia,2012,45
Latvia,2013,44.6
Latvia,2014,44
Lithuania,1970,3.7
Lithuania,1971,5
Lithuania,1972,6
Lithuania,1973,5.9
Lithuania,1974,6.1
Lithuania,1975,6.2
Lithuania,1976,6.1
Lithuania,1977,6.6
Lithuania,1978,8.4
Lithuania,1979,6.6
Lithuania,1980,6.3
Lithuania,1981,6.9
Lithuania,1982,7.3
Lithuania,1983,7.5
Lithuania,1984,7.2
Lithuania,1985,7
Lithuania,1986,7
Lithuania,1987,7.1
Lithuania,1988,6.5
Lithuania,1989,6.7
Lithuania,1990,7
Lithuania,1991,7
Lithuania,1992,7.9
Lithuania,1993,9.1
Lithuania,1994,10.9
Lithuania,1995,12.8
Lithuania,1996,14.3
Lithuania,1997,16.5
Lithuania,1998,18
Lithuania,1999,19.8
Lithuania,2000,22.6
Lithuania,2001,25.4
Lithuania,2002,28
Lithuania,2003,29.5
Lithuania,2004,28.5
Lithuania,2005,28
Lithuania,2006,28.8
Lithuania,2007,27.8
Lithuania,2008,26.6
Lithuania,2009,25.4
Lithuania,2010,25.7
Lithuania,2011,27.7
Lithuania,2012,28.8
Lithuania,2013,29.5
Lithuania,2014,29
Luxembourg,1960,3.2
Luxembourg,1961,3.4
Luxembourg,1962,3.1
Luxembourg,1963,3.1
Luxembourg,1964,3.2
Luxembourg,1965,3.7
Luxembourg,1966,3.2
Luxembourg,1967,3.5
Luxembourg,1968,3.2
Luxembourg,1969,3
Luxembourg,1970,4
Luxembourg,1971,3.9
Luxembourg,1972,4.2
Luxembourg,1973,4.1
Luxembourg,1974,4.4
Luxembourg,1975,4.2
Luxembourg,1976,4.6
Luxembourg,1977,4.6
Luxembourg,1978,4.2
Luxembourg,1979,5.6
Luxembourg,1980,6
Luxembourg,1981,7.1
Luxembourg,1982,6.2
Luxembourg,1983,8.1
Luxembourg,1984,8.2
Luxembourg,1985,8.7
Luxembourg,1986,10.2
Luxembourg,1987,11
Luxembourg,1988,12.1
Luxembourg,1989,11.6
Luxembourg,1990,12.8
Luxembourg,1991,12.2
Luxembourg,1992,12.7
Luxembourg,1993,12.9
Luxembourg,1994,12.7
Luxembourg,1995,13.1
Luxembourg,1996,15
Luxembourg,1997,16.8
Luxembourg,1998,17.5
Luxembourg,1999,18.6
Luxembourg,2000,21.9
Luxembourg,2001,22.3
Luxembourg,2002,23.2
Luxembourg,2003,25
Luxembourg,2004,26.1
Luxembourg,2005,27.2
Luxembourg,2006,28.8
Luxembourg,2007,29.2
Luxembourg,2008,30.2
Luxembourg,2009,32.1
Luxembourg,2010,34
Luxembourg,2011,34.1
Luxembourg,2012,37.1
Luxembourg,2013,37.8
Luxembourg,2014,39.1
Malta,1960,0.7
Malta,1961,0.7
Malta,1962,0.9
Malta,1963,1
Malta,1964,1.2
Malta,1965,1
Malta,1966,1.1
Malta,1967,1.3
Malta,1968,1.6
Malta,1969,1.4
Malta,1970,1.5
Malta,1971,1.1
Malta,1972,1.3
Malta,1973,1.2
Malta,1974,1.1
Malta,1975,1.2
Malta,1976,1.1
Malta,1977,1
Malta,1978,1
Malta,1979,0.9
Malta,1980,1.1
Malta,1981,0.9
Malta,1982,0.9
Malta,1983,0.7
Malta,1984,0.7
Malta,1985,1.2
Malta,1986,1.5
Malta,1987,1.2
Malta,1988,1.7
Malta,1989,1.7
Malta,1990,1.8
Malta,1991,2
Malta,1992,2.3
Malta,1993,2.2
Malta,1994,2.9
Malta,1995,4.6
Malta,1996,2.7
Malta,1997,5.8
Malta,1998,7.6
Malta,1999,9.6
Malta,2000,10.6
Malta,2001,13.2
Malta,2002,14.3
Malta,2003,16.3
Malta,2004,19.1
Malta,2005,20
Malta,2006,22.4
Malta,2007,24.9
Malta,2008,25.4
Malta,2009,27.4
Malta,2010,25.3
Malta,2011,23
Malta,2012,25.7
Malta,2013,25.9
Malta,2014,25.9
Mexico,1985,28.7
