Entity,Year,"Literacy rate, adult total (% of total respondents) (DHS Surveys)","Literacy rate, adult male (% of total respondents) (DHS Surveys)","Literacy rate, adult female (% of total respondents) (DHS Surveys)"
Afghanistan,2015,23.258827,50.414841,13.351925
Albania,2005,98.423485,98.439575,98.417099
Angola,2005,58.703579,,58.703579
Angola,2015,61.038441,81.85022,52.766495
Bangladesh,2005,57.678234,58.647217,57.345711
Bangladesh,2010,65.925529,63.023315,66.25
Benin,2000,31.391148,47.686569,24.319948
Benin,2005,33.759274,53.431747,27.781662
Benin,2010,37.422947,54.069202,32.224567
Bolivia,2000,92.443008,96.604988,90.97364
Bolivia,2005,94.245949,97.03495,93.24884
Burkina Faso,2000,19.764471,31.053656,16.503372
Burkina Faso,2010,27.54994,37.774052,24.618649
Burundi,2010,68.842316,79.330521,65.748222
Burundi,2015,72.421028,77.56292,70.168823
Cambodia,2000,63.935822,,63.935822
Cambodia,2005,73.090027,84.908875,70.350128
Cambodia,2010,79.025093,85.672966,77.06234
Cameroon,2000,71.847549,81.168831,67.236656
Cameroon,2010,75.50103,83.429787,71.797745
Chad,2000,23.125237,43.304996,16.877777
Chad,2010,25.723574,46.6744,19.45505
Comoros,2010,69.295052,77.897697,65.828285
Congo,2005,83.573975,90.585976,80.440697
Congo,2010,78.652039,88.232994,74.090271
Cote d'Ivoire,2010,41.796566,55.742516,34.6894
Democratic Republic of Congo,2005,68.752983,85.235184,60.880516
Democratic Republic of Congo,2010,68.281517,87.337204,59.52216
Dominican Republic,2000,87.038612,83.910095,87.419167
Dominican Republic,2005,87.102821,84.842987,89.426971
Dominican Republic,2010,88.912109,85.991837,92.764076
Egypt,2000,54.946201,,54.946201
Egypt,2005,63.392479,,63.392479
Egypt,2010,75.341522,,75.341522
Ethiopia,2000,39.132164,60.166317,32.969597
Ethiopia,2010,52.277405,66.96859,39.684425
Ethiopia,2015,56.716846,70.678963,45.305088
Gabon,2010,86.402878,89.63916,84.220673
Gambia,2010,47.741749,64.332893,41.576675
Ghana,2000,50.004696,62.510056,39.036865
Ghana,2005,56.576157,66.225746,47.62878
Ghana,2010,57.221775,70.753426,50.901138
Ghana,2015,50.982296,,50.982296
Guatemala,2010,86.427933,90.564339,84.646935
Guinea,2000,23.584736,43.126598,15.876418
Guinea,2010,31.978277,52.201591,23.618422
Guyana,2005,93.615517,92.51506,94.387451
Haiti,2000,59.21616,66.845764,56.838997
Haiti,2005,66.745529,70.561981,64.989265
Haiti,2010,72.213737,72.840294,71.797585
Honduras,2005,87.356094,,87.356094
Honduras,2010,90.313492,87.152733,91.300705
India,2005,71.172676,82.342529,64.484558
India,2010,70.588127,84.4897,68.356697
