Entity,Year,Year of last polio case (WHO (GPEI) (2017))
Afghanistan,0,2025
Albania,0,1978
Algeria,0,1996
American Samoa,0,1950
Andorra,0,1959
Angola,0,2001
Anguilla,0,1962
Antigua and Barbuda,0,1965
Argentina,0,1984
Armenia,0,1995
Australia,0,1972
Austria,0,1980
Azerbaijan,0,1995
Bahamas,0,1967
Bahrain,0,1993
Bangladesh,0,2000
Barbados,0,1967
Belarus,0,1994
Belgium,0,1979
Belize,0,1981
Benin,0,2000
Bhutan,0,1986
Bolivia,0,1989
Bosnia and Herzegovina,0,1993
Botswana,0,1989
Brazil,0,1989
Brunei,0,1978
Bulgaria,0,1982
Burkina Faso,0,2000
Burundi,0,1999
Cambodia,0,1997
Cameroon,0,1999
Canada,0,1979
Cape Verde,0,1988
Cayman Islands,0,1958
Central African Republic,0,2000
Chad,0,2000
Chile,0,1975
China,0,1994
Colombia,0,1991
Comoros,0,1983
Congo,0,2000
Cook Islands,0,1959
Costa Rica,0,1972
Cote d'Ivoire,0,2000
Croatia,0,1990
Cuba,0,1962
Cyprus,0,1995
Czech Republic,0,1960
Democratic Republic of Congo,0,2000
Denmark,0,1976
Djibouti,0,1999
Dominica,0,1980
Dominican Republic,0,1985
Ecuador,0,1990
Egypt,0,2004
El Salvador,0,1987
Equatorial Guinea,0,1992
Eritrea,0,1992
Estonia,0,1961
Ethiopia,0,2001
Fiji,0,1962
Finland,0,1963
France,0,1989
French Guiana,0,1983
French Polynesia,0,1982
Gabon,0,1996
Gambia,0,1997
Georgia,0,1991
Germany,0,1990
Ghana,0,2000
Greece,0,1982
Grenada,0,1970
Guam,0,1964
Guatemala,0,1990
Guinea,0,1999
Guinea-Bissau,0,1999
Guyana,0,1962
Haiti,0,1989
Honduras,0,1989
Hong Kong,0,1983
Hungary,0,1969
Iceland,0,1960
India,0,2011
Indonesia,0,1995
Iran,0,1997
Iraq,0,2000
Ireland,0,1965
Israel,0,1988
Italy,0,1982
Jamaica,0,1982
Japan,0,1980
Jordan,0,1988
Kazakhstan,0,1995
Kenya,0,1988
Kuwait,0,1985
Kyrgyzstan,0,1992
Laos,0,1996
Latvia,0,1992
Lebanon,0,1994
Lesotho,0,1987
Liberia,0,1999
Libya,0,1991
Lithuania,0,1971
Luxembourg,0,1963
Macao,0,1975
Macedonia,0,1993
Madagascar,0,1997
Malawi,0,1991
Malaysia,0,1986
Maldives,0,1980
Mali,0,1999
Malta,0,1964
Marshall Islands,0,1976
Mauritania,0,1999
Mauritius,0,1980
Mexico,0,1990
Micronesia (country),0,1970
Moldova,0,1996
Monaco,0,1964
Mongolia,0,1993
Montserrat,0,1976
Morocco,0,1989
Mozambique,0,1993
Myanmar,0,1996
Namibia,0,1995
Nauru,0,1910
Nepal,0,2000
Netherlands,0,1960
New Caledonia,0,1982
New Zealand,0,1962
Nicaragua,0,1981
Niger,0,2006
Nigeria,0,2025
Niue,0,1950
North Korea,0,1996
Northern Mariana Islands,0,1960
Norway,0,1969
Oman,0,1993
Pakistan,0,2025
Palau,0,1940
Palestine,0,1988
Panama,0,1972
Papua New Guinea,0,1996
Paraguay,0,1985
Peru,0,1991
Philippines,0,1993
Poland,0,1984
Portugal,0,1986
Puerto Rico,0,1974
Qatar,0,1990
Reunion,0,1979
Romania,0,1992
Russia,0,1996
Rwanda,0,1999
Saint Kitts and Nevis,0,1969
Saint Lucia,0,1970
Saint Vincent and the Grenadines,0,1977
Samoa,0,1950
San Marino,0,1982
Sao Tome and Principe,0,1983
Saudi Arabia,0,1995
Senegal,0,1998
Seychelles,0,1980
Sierra Leone,0,1999
Singapore,0,1978
Slovakia,0,1960
Slovenia,0,1978
Solomon Islands,0,1972
Somalia,0,2013
South Africa,0,1989
South Korea,0,1983
South Sudan,0,2004
Spain,0,1988
Sri Lanka,0,1993
Sudan,0,2004
Suriname,0,1982
Swaziland,0,1989
Sweden,0,1977
Switzerland,0,1984
Syria,0,1998
Tajikistan,0,1997
Tanzania,0,1996
Thailand,0,1997
Timor,0,1985
Togo,0,1999
Tokelau,0,1950
Tonga,0,1982
Trinidad and Tobago,0,1972
Tunisia,0,1994
Turkey,0,1998
Turkmenistan,0,1996
Turks and Caicos Islands,0,1977
Tuvalu,0,1936
Uganda,0,1996
Ukraine,0,1996
United Arab Emirates,0,1992
United Kingdom,0,1982
United States,0,1979
Uruguay,0,1978
Uzbekistan,0,1995
Vanuatu,0,1989
Venezuela,0,1989
Vietnam,0,1997
Wallis and Futuna,0,1972
Yemen,0,1999
Zambia,0,1995
Zimbabwe,0,1991
