Entity,Year,Total water withdrawal per capita,Total water withdrawal,Municipal water as share of total withdrawal,Municipal water withdrawal,Irrigation water withdrawal,Irrigation water requirement,Industrial water as share of total withdrawal,Industrial water withdrawal,Agricultural water withdrawal,Agricultural water as share of total withdrawal
Afghanistan,1975,819.5,10.7,,,,,,,,
Afghanistan,1985,2303,26.11,1,0.2611,,,0,0,25.85,99
Afghanistan,2000,943.8,20.28,0.7604,0.1542,,,0.6336,0.1285,20,98.62
Afghanistan,2005,,,,0.2034,,,,0.1695,,
Afghanistan,2010,,,,,,10.9,,,,
Albania,1990,370.3,1.2,8.333,0.1,,,8.333,0.1,1,83.33
Albania,1995,,,,,,,,,0.67,
Albania,2000,588.5,1.838,29.95,0.5504,,,12.37,0.2274,1.06,57.67
Albania,2005,435.4,1.311,42.81,0.5613,0.5176,0.322,17.68,0.2318,0.5176,39.48
Algeria,1970,130.1,2,,,,,,,,
Algeria,1975,141.3,2.5,,,,,,,,
Algeria,1980,145.8,3,22,0.66,,,4,0.12,2.22,74
Algeria,1985,146.3,3.5,,,,,,,,
Algeria,1990,165.6,4.5,24.89,1.12,,,15.11,0.68,2.7,60
Algeria,2000,178.9,5.723,30.07,1.721,3.502,2.511,8.737,0.5,3.502,61.19
Algeria,2010,225,8.425,35.85,3.02,,,4.926,0.415,4.99,59.23
Angola,1985,46.67,0.48,13.96,0.067,,,10,0.048,0.365,76.04
Angola,2000,39.76,0.6405,38.41,0.246,,,28.81,0.1845,0.21,32.79
Angola,2005,36.79,0.7058,45.27,0.3195,0.1467,0.04,33.95,0.2396,0.1467,20.78
Antigua and Barbuda,1990,78.83,0.005,60,0.003,,,20,0.001,0.001,20
Antigua and Barbuda,1995,,,,,0.0013,0.0003,,,0.0013,
Antigua and Barbuda,2005,99.53,0.0084,63.1,0.0053,0.0013,,21.43,0.0018,0.0013,15.48
Antigua and Barbuda,2010,129.1,0.0115,62.61,0.0072,,,21.74,0.0025,0.0018,15.65
Argentina,1975,1027,27.6,,,,,,,,
Argentina,1995,797.6,28.58,15.96,4.56,,,8.747,2.5,21.52,75.3
Argentina,2000,,,,,,,,3.975,21.52,
Argentina,2010,897.5,37.78,15.48,5.85,,12.23,10.59,4,27.93,73.93
Armenia,1995,932.1,2.925,29.57,0.865,,,4.103,0.12,1.94,66.32
Armenia,2000,568.8,1.733,29.82,0.5168,,,4.42,0.0766,1.14,65.78
Armenia,2005,956.5,2.858,29.5,0.843,,0.624,4.374,0.125,1.89,66.13
Armenia,2010,987.6,2.941,8.262,0.243,,,3.434,0.101,2.597,88.3
Armenia,2015,1084,3.272,6.051,0.198,,,3.82,0.125,2.949,90.13
Australia,1995,1199,22.19,,,,,,,15.5,69.85
Australia,2000,1112,21.7,20.47,4.443,,,10.26,2.227,15.03,69.26
Australia,2005,894.4,18.76,22.34,4.191,7.636,,12.43,2.332,12.24,65.25
Australia,2010,699.2,16.02,23.37,3.744,6.596,3.892,16.78,2.688,9.587,59.84
Australia,2015,724.7,17.37,23.11,4.015,8.408,,15.94,2.768,10.59,60.97
Austria,1980,440.4,3.342,16.7,0.5582,0.05,,80.61,2.694,0.09,2.693
Austria,1985,469.6,3.58,19.8,0.7088,0.055,,74.61,2.671,0.2,5.587
Austria,1990,487.3,3.807,18,0.6851,0.05,,79.38,3.022,0.1,2.627
Austria,1995,454.6,3.644,18.86,0.6871,0.0675,,78.4,2.857,0.1,2.744
Austria,2000,452,3.668,18.23,0.6687,0.0675,,79.03,2.899,0.1,2.726
Austria,2005,,,,,,0.0599,,,,
Austria,2010,413,3.492,20.62,0.72,0.018,,77.18,2.695,0.0771,2.208
Azerbaijan,1995,1579,12.51,1.775,0.222,,,17.04,2.132,10.16,81.22
Azerbaijan,2000,1216,10.07,4.995,0.503,,,19.63,1.977,7.595,75.42
Azerbaijan,2005,1393,12.21,4.267,0.521,,3.62,19.33,2.36,9.33,76.41
Azerbaijan,2010,1279,11.97,,,,,,,10.1,84.38
Bahamas,2000,,,,0.025,,,,,,
Bahamas,2015,,,,0.031,,,,,,
Bahrain,1990,457.2,0.239,39.33,0.094,,,4.184,0.01,0.135,56.49
Bahrain,2000,,,,,,0.04,,,0.17,
Bahrain,2005,348,0.3574,49.78,0.1779,,,5.68,0.0203,0.1592,44.54
Bangladesh,1985,,,,0.675,,,,0.225,,
Bangladesh,1990,,,,1.7,,,,0.33,,
Bangladesh,2010,231,35.87,10.04,3.6,,24.56,2.147,0.77,31.5,87.82
Barbados,1960,129,0.03,,,,,,,,
Barbados,1990,,,,,0.0548,0.0137,,,0.0548,
Barbados,1995,303.5,0.081,24.69,0.02,,,7.654,0.0062,0.0548,67.65
Barbados,2005,293.3,0.081,24.69,0.02,0.0548,,7.654,0.0062,0.0548,67.65
Belarus,1995,196.2,1.98,37.98,0.752,,,33.33,0.66,0.568,28.69
Belarus,2000,187,1.837,46.3,0.8505,,,29.64,0.5445,0.442,24.06
Belarus,2005,178.5,1.706,47.07,0.803,,,28.96,0.494,0.409,23.97
Belarus,2010,163.1,1.548,38.08,0.5895,,0.043,31.49,0.4875,0.471,30.43
Belarus,2015,159.4,1.514,36.13,0.547,,,31.57,0.478,0.489,32.3
Belgium,1980,919.5,9.03,11,0.9933,,,85.01,7.676,0.3612,4
Belgium,1995,754.4,7.69,11.37,0.874,,,88.43,6.8,0.016,0.2081
Belgium,2000,650.1,6.738,10.92,0.7358,,,88.51,5.964,0.0382,0.5669
Belgium,2005,580.8,6.217,11.75,0.7304,,0.0222,87.66,5.45,0.0369,0.5935
