Entity,Year,Total government spending (%GDP) (IFPRI (2015) and SPEED),Total government spending (per capita) (IFPRI (2015) and SPEED),Total government spending (regional averages) (IFPRI (2015) and SPEED)
Afghanistan,2003,12.69,130.44,
Afghanistan,2004,16.92,171.3,
Afghanistan,2005,15.87,170.53,
Afghanistan,2006,20.76,236.26,
Afghanistan,2007,19.01,244.3,
Afghanistan,2008,20.18,258.7,
Afghanistan,2009,20.66,302.88,
Afghanistan,2010,20.57,303.71,
Afghanistan,2011,21.69,342.22,
Albania,1995,30.33,988.24,
Albania,1996,19.35,664.61,
Albania,1997,23.38,713.9,
Albania,1998,29.39,963.07,
Albania,1999,27.89,1,
Albania,2000,28.34,1,
Albania,2001,27.78,1,
Albania,2002,28.83,1,
Albania,2003,24.68,1,
Albania,2004,25.32,1,
Albania,2005,31.46,1,
Albania,2006,32.53,1,
Albania,2007,32.73,1,
Albania,2008,36.09,2,
Albania,2009,36.84,2,
Albania,2010,33.65,2,
Algeria,1994,34.75,2,
Algeria,1995,32.86,2,
Algeria,1996,30.38,2,
Algeria,1997,32.86,2,
Algeria,1998,32.73,2,
Algeria,1999,31.11,2,
Algeria,2000,29.8,2,
Algeria,2001,32.68,2,
Algeria,2002,36.3,3,
Algeria,2003,34.27,3,
Algeria,2004,32.86,3,
Algeria,2005,28.93,2,
Algeria,2006,30.52,3,
Algeria,2007,35.24,3,
Algeria,2008,38.33,4,
Algeria,2009,42.7,4,
Algeria,2010,37.18,4,
Algeria,2011,41.76,4,
Angola,1991,44.75,1,
Angola,1992,39.85,1,
Angola,1993,56.05,1,
Angola,1994,37.07,997.29,
Angola,1995,29.63,889.43,
Angola,1996,43.33,1,
Angola,1997,49.95,1,
Angola,1998,36.4,1,
Angola,1999,40.47,1,
Angola,2000,48.43,1,
Angola,2001,44.15,1,
Angola,2002,45.96,1,
Angola,2003,61.72,2,
Angola,2004,21.4,889.1,
Angola,2005,26.77,1,
Angola,2006,33.49,1,
Angola,2007,33.94,2,
Angola,2008,37.68,2,
Angola,2009,31.72,2,
Angola,2010,34.69,2,
Angola,2011,36.44,2,
Angola,2012,33.28,2,
Argentina,1980,21.22,1,
Argentina,1981,25.16,2,
Argentina,1982,24.53,1,
Argentina,1983,20.9,1,
Argentina,1984,19.31,1,
Argentina,1985,22.56,1,
Argentina,1986,20.66,1,
Argentina,1987,22.6,1,
Argentina,1988,20.62,1,
Argentina,1989,22.61,1,
Argentina,1990,17.94,1,
Argentina,1991,16.8,1,
Argentina,1992,16.15,1,
Argentina,1993,16.35,1,
Argentina,1994,16.53,1,
Argentina,1995,17.08,1,
Argentina,1996,16.16,1,
Argentina,1997,15.97,1,
Argentina,1998,15.84,1,
Argentina,1999,17.6,1,
Argentina,2000,17.46,1,
Argentina,2001,18.16,1,
Argentina,2002,15.02,1,
Argentina,2003,15.54,1,
Argentina,2004,14.34,1,
Argentina,2005,15.9,1,
Argentina,2006,15.85,1,
Argentina,2007,18.67,2,
Argentina,2008,20.31,2,
Argentina,2009,23.43,2,
Australia,1980,22.56,4,
Australia,1981,22.34,4,
Australia,1982,23.62,4,
Australia,1983,24.8,5,
Australia,1984,26.24,5,
Australia,1985,26.98,6,
Australia,1986,27.03,6,
Australia,1987,25.72,6,
Australia,1988,23.88,5,
Australia,1989,24.47,6,
Australia,1990,25.31,6,
Australia,1991,26.33,6,
Australia,1992,27.52,6,
Australia,1993,26.89,7,
Australia,1994,26.81,7,
Australia,1995,26.84,7,
Australia,1996,25.24,7,
Australia,1997,23.87,6,
Australia,1998,23.91,7,
Australia,1999,23.53,7,
Australia,2000,25.45,7,
Australia,2001,25.64,8,
Australia,2002,24.94,8,
Australia,2003,24.9,8,
Australia,2004,24.82,8,
Australia,2005,24.25,8,
Australia,2006,23.77,8,
Australia,2007,23.68,8,
Australia,2008,25.7,9,
Australia,2009,26.13,9,
Australia,2010,25.23,9,
Australia,2011,25.67,9,
Australia,2012,25.35,9,
Austria,1980,88.5,18,
Austria,1981,91.26,18,
Austria,1982,92.23,19,
Austria,1983,93.19,20,
Austria,1984,93.84,20,
Austria,1985,93.34,20,
Austria,1986,95.18,21,
Austria,1987,95.85,22,
Austria,1988,96.59,22,
Austria,1989,93.09,22,
Austria,1990,64.77,16,
Austria,1991,59.62,15,
Austria,1992,55.45,14,
Austria,1993,56.16,14,
Austria,1994,55.26,14,
Austria,1995,56.31,15,
Austria,1996,55.86,15,
Austria,1997,53.47,15,
Austria,1998,53.71,15,
Austria,1999,53.42,16,
Austria,2000,51.94,16,
Austria,2001,51.29,16,
Austria,2002,50.67,16,
Austria,2003,51.32,16,
Austria,2004,53.76,17,
Austria,2005,49.99,16,
Austria,2006,49.14,17,
Austria,2007,48.6,17,
Austria,2008,49.34,17,
Austria,2009,52.61,18,
Austria,2010,52.81,18,
Austria,2011,50.76,18,
Austria,2012,51.7,18,
Azerbaijan,1994,35.73,1,
Azerbaijan,1995,22.41,628.75,
Azerbaijan,1996,18.37,498.39,
Azerbaijan,1997,20.64,599.74,
Azerbaijan,1998,24.07,791.1,
Azerbaijan,1999,23.38,820.63,
Azerbaijan,2000,17.07,645.1,
Azerbaijan,2001,16.35,661.1,
Azerbaijan,2002,16.6,725.48,
Azerbaijan,2003,17.7,846.29,
Azerbaijan,2004,19.64,1,
Azerbaijan,2005,17.8,1,
Azerbaijan,2006,20.79,1,
Azerbaijan,2007,22.31,2,
Azerbaijan,2008,27.57,3,
Azerbaijan,2009,31.07,3,
