Entity,Year,Multidimensional Poverty (headcount ratio) (Alkire and Robles (2016)),Percentage contribution of deprivations in education to overall poverty (Alkire and Robles (2016)),Percentage contribution of deprivations in health to overall poverty (Alkire and Robles (2016)),Percentage contribution of deprivations in living standards to overall poverty (Alkire and Robles (2016))
Afghanistan,2011,66.2,39.7,28.6,31.7
Albania,2009,1.4,32,44.9,23
Algeria,2013,1.5,46,32.7,21.3
Argentina,2005,2.9,41.9,12.9,45.2
Armenia,2010,0.3,25.8,64.8,9.4
Azerbaijan,2006,5.3,24.4,49.4,26.2
Bangladesh,2014,41.3,21.1,32.5,46.4
Barbados,2012,0.9,0,97.4,2.6
Belarus,2005,0,16.6,61.8,21.7
Belize,2011,4.6,41,31.2,27.8
Benin,2012,62.2,41.7,13.4,45
Bhutan,2010,27.2,40.4,21.2,38.4
Bolivia,2008,20.5,19.8,27.5,52.6
Bosnia and Herzegovina,2012,0.5,26.7,55.8,17.5
Brazil,2014,5.3,10.9,68.5,20.6
Burkina Faso,2010,84,36.2,27.9,35.9
Burundi,2010,80.8,23.1,28.9,48
Cambodia,2014,33,27.3,29.8,42.9
Cameroon,2011,46,23.6,30.7,45.7
Central African Republic,2010,77.6,24.1,24.1,51.8
Chad,2015,87.1,31.4,23.9,44.7
China,2012,5.2,31,34.7,34.4
Colombia,2010,5.4,31.8,33.5,34.7
Comoros,2012,36,28.7,25,46.3
Congo,2012,39.7,9.9,33.4,56.7
Cote d'Ivoire,2012,58.7,34.5,29.6,35.9
Democratic Republic of Congo,2014,75.1,15,31.6,53.3
Djibouti,2006,29.3,38.3,24.6,37.1
Dominican Republic,2014,8.8,12.5,72.1,15.3
Ecuador,2014,3.5,21.5,47.8,30.7
Egypt,2014,3.6,52.8,39.6,7.6
Ethiopia,2011,87.3,25.9,27.6,46.5
Gabon,2012,16.5,15.4,45,39.6
Gambia,2013,60.4,28.9,37.4,33.7
Georgia,2005,0.8,23.2,33.8,43
Ghana,2014,33.7,24.3,35.3,40.4
Guinea,2012,75.1,34,27.9,38.1
Guinea-Bissau,2006,77.5,32.4,25.9,41.8
Guyana,2014,3.2,18.5,36.5,45
Haiti,2012,49.4,19.7,28.5,51.8
Honduras,2012,15.8,31.9,24.2,44
India,2006,53.7,21.8,35.7,42.5
Indonesia,2012,15.5,12.6,60.7,26.7
Iraq,2011,11.6,51.3,38.4,10.3
Jamaica,2012,1.8,15.6,42.8,41.6
Jordan,2012,1.7,23.8,73.8,2.4
Kazakhstan,2011,0.2,34.1,46.3,19.6
Kenya,2014,39.9,9.8,33,57.2
Kyrgyzstan,2014,0.5,23.5,50.6,25.9
Laos,2012,34.1,31.4,30.4,38.3
Lesotho,2014,32,13.9,30.8,55.3
Liberia,2013,71.2,21.5,32.1,46.4
Libya,2007,1.5,44,48.2,7.8
Macedonia,2011,0.7,28.2,43.1,28.7
Madagascar,2009,66.9,34.3,16.7,49.1
Malawi,2014,56,17.9,25.1,57
Maldives,2009,5.2,13.6,81.1,5.3
Mali,2013,77.7,36.1,24.9,38.9
Mauritania,2011,52.2,32,21.4,46.5
Mexico,2012,2.8,35,24.8,40.2
Moldova,2012,0.8,31.2,21.5,47.3
Mongolia,2013,9.9,18,25,57
Montenegro,2013,0.3,57.4,12.9,29.7
Morocco,2011,15.4,47.3,18.5,34.2
Mozambique,2011,69.6,29.1,20.7,50.2
Namibia,2013,42,11.5,38.7,49.8
Nepal,2014,28.6,27.3,28.3,44.3
Nicaragua,2012,16.1,38.4,13.8,47.8
Niger,2012,89.3,32.1,27.7,40.1
Nigeria,2013,53.2,28.2,33.1,38.7
Pakistan,2013,44.2,31.5,37.3,31.3
Palestine,2014,1.1,36.1,49.8,14.1
Peru,2012,10.5,20.6,24,55.4
Philippines,2013,11,16.3,56.3,27.4
Rwanda,2015,53.8,21,24.9,54.1
Saint Lucia,2012,1,6.2,81.8,12
Sao Tome and Principe,2014,19.3,30.6,25.9,43.5
Senegal,2014,56.9,39.4,29,31.6
Serbia,2014,0.2,48.8,10,41.2
Sierra Leone,2013,81,23.1,31.5,45.5
Somalia,2006,81.2,34.2,18.6,47.2
South Africa,2012,11.1,6.2,56.7,37
South Sudan,2010,91.1,40.1,12.7,47.2
Sudan,2014,53.4,26.7,23.5,49.8
Suriname,2010,5.9,31.2,33.8,34.9
Swaziland,2010,20.4,16.7,29.9,53.4
Syria,2009,4.4,55.4,33.5,11.1
Tajikistan,2012,13.2,21.3,52.3,26.4
Tanzania,2010,65.6,18.3,26.4,55.3
Thailand,2012,0.9,41,39,20
Timor,2010,68.1,21.3,31,47.7
Togo,2014,50.1,22,32.7,45.3
Trinidad and Tobago,2006,5.6,1.3,94.3,4.4
Tunisia,2012,1.2,48.1,25.7,26.2
Turkmenistan,2006,6.7,39.7,45.6,14.7
Uganda,2011,69.9,15.6,34.1,50.4
Ukraine,2012,1.2,1.4,94.2,4.4
Uzbekistan,2006,2.3,23.2,55.7,21.1
Vanuatu,2007,30.1,29.7,17.3,53
Vietnam,2014,7.1,17.6,58.1,24.3
Yemen,2013,45.9,28,36.7,35.3
Zambia,2014,56.6,18.5,29.7,51.8
Zimbabwe,2014,29.7,11.7,25.9,62.5
