Entity,Year,Survivors
Australia,1980,0.6
Australia,1985,0.5
Australia,1990,0.3
Australia,1995,0.3
Australia,2000,0.2
Australia,2005,0.2
Australia,2010,0.2
Australia,2013,0.1
Australia,2014,0.1
Australia,2015,..
Austria,1980,0.7
Austria,1985,0.6
Austria,1990,2.6
Austria,1995,2.5
Austria,2000,2.2
Austria,2005,2
Austria,2010,1.9
Austria,2013,1.8
Austria,2014,..
Austria,2015,..
Belgium,1980,2.9
Belgium,1985,3
Belgium,1990,2.6
Belgium,1995,2.4
Belgium,2000,2.1
Belgium,2005,2
Belgium,2010,2
Belgium,2013,1.9
Belgium,2014,..
Belgium,2015,..
Canada,1980,0.2
Canada,1985,0.3
Canada,1990,0.4
Canada,1995,0.5
Canada,2000,0.4
Canada,2005,0.4
Canada,2010,0.4
Canada,2013,0.4
Canada,2014,0.3
Canada,2015,..
Chile,1980,..
Chile,1985,..
Chile,1990,0.9
Chile,1995,0.9
Chile,2000,0.9
Chile,2005,0.9
Chile,2010,0.7
Chile,2013,0.6
Chile,2014,0.6
Chile,2015,0.6
Czech Republic,1980,..
Czech Republic,1985,..
Czech Republic,1990,0.8
Czech Republic,1995,0.8
Czech Republic,2000,0.8
Czech Republic,2005,0.7
Czech Republic,2010,0.7
Czech Republic,2013,0.7
Czech Republic,2014,..
Czech Republic,2015,..
Denmark,1980,0.1
Denmark,1985,0
Denmark,1990,0
Denmark,1995,0
Denmark,2000,0
Denmark,2005,0
Denmark,2010,0
Denmark,2013,0
Denmark,2014,..
Denmark,2015,..
Estonia,1980,..
Estonia,1985,..
Estonia,1990,..
Estonia,1995,..
Estonia,2000,0.3
Estonia,2005,0.1
Estonia,2010,0.1
Estonia,2013,0.1
Estonia,2014,..
Estonia,2015,..
Finland,1980,0.8
Finland,1985,1
Finland,1990,1
Finland,1995,1.1
Finland,2000,0.9
Finland,2005,0.9
Finland,2010,0.9
Finland,2013,0.9
Finland,2014,..
Finland,2015,..
France,1980,1.9
France,1985,2
France,1990,1.6
France,1995,1.6
France,2000,1.5
France,2005,1.7
France,2010,1.7
France,2013,1.7
France,2014,..
France,2015,..
Germany,1980,0.9
Germany,1985,0.7
Germany,1990,2.9
Germany,1995,2.7
Germany,2000,2.5
Germany,2005,2.3
Germany,2010,2
Germany,2013,1.9
Germany,2014,..
Germany,2015,..
Greece,1980,0.8
Greece,1985,1.4
Greece,1990,0.5
Greece,1995,0.4
Greece,2000,0.7
Greece,2005,0.8
Greece,2010,2.1
Greece,2013,..
Greece,2014,..
Greece,2015,..
Hungary,1980,..
Hungary,1985,..
Hungary,1990,..
Hungary,1995,..
Hungary,2000,1.1
Hungary,2005,1.3
Hungary,2010,1.3
Hungary,2013,1.3
Hungary,2014,..
Hungary,2015,..
Iceland,1980,..
Iceland,1985,..
Iceland,1990,0.1
Iceland,1995,0.1
Iceland,2000,0
Iceland,2005,0
Iceland,2010,0
Iceland,2013,0
Iceland,2014,..
Iceland,2015,..
Ireland,1980,1.2
Ireland,1985,1.4
Ireland,1990,1.1
Ireland,1995,1.1
Ireland,2000,0.8
Ireland,2005,0.8
Ireland,2010,0.5
Ireland,2013,0.5
Ireland,2014,..
Ireland,2015,..
Israel,1980,..
Israel,1985,..
Israel,1990,..
Israel,1995,0.8
Israel,2000,0.7
Israel,2005,0.7
Israel,2010,0.7
Israel,2013,0.6
Israel,2014,0.6
Israel,2015,0.6
Italy,1980,1.6
Italy,1985,2.1
Italy,1990,2.2
Italy,1995,2.4
Italy,2000,2.4
Italy,2005,2.4
Italy,2010,2.5
Italy,2013,2.6
Italy,2014,..
Italy,2015,..
Japan,1980,1
Japan,1985,1
Japan,1990,0.9
Japan,1995,1.1
Japan,2000,1.2
Japan,2005,1.3
Japan,2010,1.4
Japan,2013,1.4
Japan,2014,..
Japan,2015,..
Korea,1980,..
Korea,1985,..
Korea,1990,0.2
Korea,1995,0.1
Korea,2000,0.2
Korea,2005,0.2
Korea,2010,0.2
Korea,2013,0.2
Korea,2014,0.2
Korea,2015,..
Latvia,1980,..
Latvia,1985,..
Latvia,1990,..
Latvia,1995,0
Latvia,2000,0.5
Latvia,2005,0.3
Latvia,2010,0.3
Latvia,2013,0.2
Latvia,2014,..
Latvia,2015,..
Luxembourg,1980,3.2
Luxembourg,1985,3
Luxembourg,1990,0.7
Luxembourg,1995,0.7
Luxembourg,2000,0.5
Luxembourg,2005,2
Luxembourg,2010,1.8
Luxembourg,2013,1.9
Luxembourg,2014,..
Luxembourg,2015,..
Mexico,1980,..
Mexico,1985,0
Mexico,1990,0.1
Mexico,1995,0.2
Mexico,2000,0.3
Mexico,2005,0.3
Mexico,2010,0.3
Mexico,2013,0
Mexico,2014,..
Mexico,2015,..
Netherlands,1980,0.8
Netherlands,1985,0.7
Netherlands,1990,0.9
Netherlands,1995,0.7
Netherlands,2000,0.4
Netherlands,2005,0.3
Netherlands,2010,0.2
Netherlands,2013,0.1
Netherlands,2014,..
Netherlands,2015,..
New Zealand,1980,0.3
New Zealand,1985,0.3
New Zealand,1990,0.3
New Zealand,1995,0.2
New Zealand,2000,0.2
New Zealand,2005,0.1
New Zealand,2010,0.1
New Zealand,2013,0.1
New Zealand,2014,0.1
New Zealand,2015,..
Norway,1980,0.6
Norway,1985,0.4
Norway,1990,0.4
Norway,1995,0.4
Norway,2000,0.3
Norway,2005,0.3
Norway,2010,0.3
Norway,2013,0.3
Norway,2014,..
Norway,2015,..
OECD - Total,1980,0.9
OECD - Total,1985,1
OECD - Total,1990,0.9
OECD - Total,1995,0.9
OECD - Total,2000,0.9
OECD - Total,2005,0.9
OECD - Total,2010,1
OECD - Total,2013,1
OECD - Total,2014,..
OECD - Total,2015,..
Poland,1980,..
Poland,1985,..
Poland,1990,1.1
Poland,1995,1.8
Poland,2000,2.1
Poland,2005,2.1
Poland,2010,2
Poland,2013,..
Poland,2014,..
Poland,2015,..
Portugal,1980,0.6
Portugal,1985,0.8
Portugal,1990,0.9
Portugal,1995,1.2
Portugal,2000,1.3
Portugal,2005,1.5
Portugal,2010,1.8
Portugal,2013,1.9
Portugal,2014,..
Portugal,2015,..
Slovak Republic,1980,..
Slovak Republic,1985,..
Slovak Republic,1990,..
Slovak Republic,1995,1
Slovak Republic,2000,0.9
Slovak Republic,2005,0.8
Slovak Republic,2010,0.9
Slovak Republic,2013,0.9
Slovak Republic,2014,..
Slovak Republic,2015,..
Slovenia,1980,..
Slovenia,1985,..
Slovenia,1990,..
Slovenia,1995,..
Slovenia,2000,0.5
Slovenia,2005,0.4
Slovenia,2010,1.7
Slovenia,2013,1.6
Slovenia,2014,..
Slovenia,2015,..
Spain,1980,1.6
Spain,1985,1.8
Spain,1990,0.8
Spain,1995,0.9
Spain,2000,2
Spain,2005,2
Spain,2010,2.2
Spain,2013,2.4
Spain,2014,..
Spain,2015,..
Sweden,1980,0.6
Sweden,1985,0.6
Sweden,1990,0.6
Sweden,1995,0.7
Sweden,2000,0.6
Sweden,2005,0.6
Sweden,2010,0.5
Sweden,2013,0.4
Sweden,2014,..
Sweden,2015,..
Switzerland,1980,0.4
Switzerland,1985,0.4
Switzerland,1990,0.6
Switzerland,1995,0.5
Switzerland,2000,0.5
Switzerland,2005,0.6
Switzerland,2010,0.5
Switzerland,2013,0.5
Switzerland,2014,..
Switzerland,2015,..
Turkey,1980,0.3
Turkey,1985,0.3
Turkey,1990,0.7
Turkey,1995,0.6
Turkey,2000,0.8
Turkey,2005,1.2
Turkey,2010,1.2
Turkey,2013,1.6
Turkey,2014,..
Turkey,2015,..
United Kingdom,1980,1.7
United Kingdom,1985,1.5
United Kingdom,1990,0.3
United Kingdom,1995,0.3
United Kingdom,2000,0.3
United Kingdom,2005,0.2
United Kingdom,2010,0.1
United Kingdom,2013,0.1
United Kingdom,2014,..
United Kingdom,2015,..
United States,1980,1
United States,1985,0.9
United States,1990,0.9
United States,1995,0.9
United States,2000,0.8
United States,2005,0.7
United States,2010,0.7
United States,2013,0.7
United States,2014,..
United States,2015,..
