Entity,Year,"Share of energy from cereals, roots and tubers (FAO (2017))"
Afghanistan,1992,74
Afghanistan,1993,75
Afghanistan,1994,75
Afghanistan,1995,75
Afghanistan,1996,74
Afghanistan,1997,74
Afghanistan,1998,74
Afghanistan,1999,74
Afghanistan,2000,74
Afghanistan,2001,76
Afghanistan,2002,77
Afghanistan,2003,78
Afghanistan,2004,78
Afghanistan,2005,77
Afghanistan,2006,76
Afghanistan,2007,77
Afghanistan,2008,78
Afghanistan,2009,78
Afghanistan,2010,77
Afghanistan,2011,77
Albania,1992,60
Albania,1993,59
Albania,1994,58
Albania,1995,55
Albania,1996,53
Albania,1997,51
Albania,1998,52
Albania,1999,53
Albania,2000,52
Albania,2001,51
Albania,2002,50
Albania,2003,48
Albania,2004,46
Albania,2005,44
Albania,2006,43
Albania,2007,42
Albania,2008,41
Albania,2009,41
Albania,2010,41
Albania,2011,41
Algeria,1992,59
Algeria,1993,59
Algeria,1994,60
Algeria,1995,60
Algeria,1996,61
Algeria,1997,61
Algeria,1998,62
Algeria,1999,61
Algeria,2000,61
Algeria,2001,60
Algeria,2002,59
Algeria,2003,60
Algeria,2004,60
Algeria,2005,60
Algeria,2006,59
Algeria,2007,59
Algeria,2008,58
Algeria,2009,58
Algeria,2010,58
Algeria,2011,57
Angola,1992,59
Angola,1993,61
Angola,1994,64
Angola,1995,65
Angola,1996,66
Angola,1997,65
Angola,1998,65
Angola,1999,66
Angola,2000,67
Angola,2001,67
Angola,2002,66
Angola,2003,65
Angola,2004,64
Angola,2005,64
Angola,2006,64
Angola,2007,63
Angola,2008,62
Angola,2009,61
Angola,2010,60
Angola,2011,60
Argentina,1992,35
Argentina,1993,34
Argentina,1994,34
Argentina,1995,34
Argentina,1996,34
Argentina,1997,35
Argentina,1998,35
Argentina,1999,34
Argentina,2000,34
Argentina,2001,34
Argentina,2002,36
Argentina,2003,37
Argentina,2004,38
Argentina,2005,37
Argentina,2006,37
Argentina,2007,36
Argentina,2008,36
Argentina,2009,36
Argentina,2010,36
Argentina,2011,36
Armenia,1992,64
Armenia,1993,69
Armenia,1994,65
Armenia,1995,64
Armenia,1996,62
Armenia,1997,63
Armenia,1998,64
Armenia,1999,64
Armenia,2000,64
Armenia,2001,62
Armenia,2002,60
Armenia,2003,57
Armenia,2004,56
Armenia,2005,53
Armenia,2006,52
Armenia,2007,49
Armenia,2008,47
Armenia,2009,45
Armenia,2010,44
Armenia,2011,43
Australia,1992,25
Australia,1993,25
Australia,1994,25
Australia,1995,26
Australia,1996,27
Australia,1997,27
Australia,1998,26
Australia,1999,26
Australia,2000,25
Australia,2001,25
Australia,2002,26
Australia,2003,26
Australia,2004,26
Australia,2005,26
Australia,2006,25
Australia,2007,24
Australia,2008,25
Australia,2009,26
Australia,2010,26
Australia,2011,25
Austria,1992,24
