Entity,Year,"Age of democracies at the end of 2015 (Boix, Miller, and Rosato, 2013, 2018)"
Afghanistan,2015,Not a democracy in 2015
Albania,2015,19
Algeria,2015,Not a democracy in 2015
Andorra,2015,22
Angola,2015,Not a democracy in 2015
Antigua and Barbuda,2015,12
Argentina,2015,33
Armenia,2015,Not a democracy in 2015
Australia,2015,115
Austria,2015,70
Azerbaijan,2015,Not a democracy in 2015
Bahamas,2015,43
Bahrain,2015,Not a democracy in 2015
Bangladesh,2015,Not a democracy in 2015
Barbados,2015,50
Belarus,2015,Not a democracy in 2015
Belgium,2015,122
Belize,2015,35
Benin,2015,25
Bhutan,2015,Not a democracy in 2015
Bolivia,2015,34
Bosnia and Herzegovina,2015,24
Botswana,2015,50
Brazil,2015,31
Brunei,2015,Not a democracy in 2015
Bulgaria,2015,26
Burkina Faso,2015,Not a democracy in 2015
Burundi,2015,11
Cambodia,2015,Not a democracy in 2015
Cameroon,2015,Not a democracy in 2015
Canada,2015,149
Cape Verde,2015,25
Central African Republic,2015,Not a democracy in 2015
Chad,2015,Not a democracy in 2015
Chile,2015,26
China,2015,Not a democracy in 2015
Colombia,2015,58
Comoros,2015,10
Congo,2015,Not a democracy in 2015
Costa Rica,2015,67
Cote d'Ivoire,2015,Not a democracy in 2015
Croatia,2015,16
Cuba,2015,Not a democracy in 2015
Cyprus,2015,39
Czech Republic,2015,23
Democratic Republic of Congo,2015,Not a democracy in 2015
Denmark,2015,115
Djibouti,2015,Not a democracy in 2015
Dominica,2015,38
Dominican Republic,2015,50
Ecuador,2015,13
Egypt,2015,Not a democracy in 2015
El Salvador,2015,32
Equatorial Guinea,2015,Not a democracy in 2015
Eritrea,2015,Not a democracy in 2015
Estonia,2015,25
Ethiopia,2015,Not a democracy in 2015
Fiji,2015,29
Finland,2015,99
France,2015,70
Gabon,2015,Not a democracy in 2015
Gambia,2015,Not a democracy in 2015
Georgia,2015,12
Germany,2015,26
Ghana,2015,19
Greece,2015,42
Grenada,2015,32
Guatemala,2015,30
Guinea,2015,Not a democracy in 2015
Guinea-Bissau,2015,Not a democracy in 2015
Guyana,2015,24
Haiti,2015,Not a democracy in 2015
Honduras,2015,6
Hungary,2015,26
Iceland,2015,98
India,2015,66
Indonesia,2015,17
Iran,2015,Not a democracy in 2015
Iraq,2015,Not a democracy in 2015
Ireland,2015,94
Israel,2015,68
Italy,2015,70
Jamaica,2015,54
Japan,2015,64
Jordan,2015,Not a democracy in 2015
Kazakhstan,2015,Not a democracy in 2015
Kenya,2015,14
Kiribati,2015,19
Kosovo,2015,4
Kuwait,2015,Not a democracy in 2015
Kyrgyzstan,2015,Not a democracy in 2015
Laos,2015,Not a democracy in 2015
Latvia,2015,23
Lebanon,2015,Not a democracy in 2015
Lesotho,2015,14
Liberia,2015,10
Libya,2015,Not a democracy in 2015
Liechtenstein,2015,25
Lithuania,2015,24
Luxembourg,2015,126
Macedonia,2015,25
Madagascar,2015,Not a democracy in 2015
Malawi,2015,22
Malaysia,2015,Not a democracy in 2015
Maldives,2015,Not a democracy in 2015
Mali,2015,Not a democracy in 2015
Malta,2015,52
Marshall Islands,2015,24
Mauritania,2015,Not a democracy in 2015
Mauritius,2015,48
Mexico,2015,16
Micronesia (country),2015,24
Moldova,2015,25
Monaco,2015,22
Mongolia,2015,26
Montenegro,2015,10
Morocco,2015,Not a democracy in 2015
Mozambique,2015,Not a democracy in 2015
Myanmar,2015,Not a democracy in 2015
Namibia,2015,Not a democracy in 2015
Nauru,2015,48
Nepal,2015,8
Netherlands,2015,119
New Zealand,2015,159
Nicaragua,2015,32
Niger,2015,7
Nigeria,2015,33
North Korea,2015,Not a democracy in 2015
Norway,2015,116
Oman,2015,Not a democracy in 2015
Pakistan,2015,8
Palau,2015,21
Panama,2015,25
Papua New Guinea,2015,41
Paraguay,2015,13
Peru,2015,15
Philippines,2015,30
Poland,2015,27
Portugal,2015,40
Qatar,2015,Not a democracy in 2015
Romania,2015,25
Russia,2015,Not a democracy in 2015
Rwanda,2015,Not a democracy in 2015
Saint Kitts and Nevis,2015,32
Saint Lucia,2015,37
Saint Vincent and the Grenadines,2015,37
Samoa,2015,Not a democracy in 2015
San Marino,2015,71
Sao Tome and Principe,2015,25
Saudi Arabia,2015,Not a democracy in 2015
Senegal,2015,16
Serbia,2015,10
Seychelles,2015,Not a democracy in 2015
Sierra Leone,2015,14
Singapore,2015,Not a democracy in 2015
Slovakia,2015,23
Slovenia,2015,25
Solomon Islands,2015,10
Somalia,2015,Not a democracy in 2015
South Africa,2015,22
South Korea,2015,28
South Sudan,2015,Not a democracy in 2015
Spain,2015,39
Sri Lanka,2015,Not a democracy in 2015
