Entity,Year,Old Age
Australia,1980,3.1
Australia,1985,3
Australia,1990,3.4
Australia,1995,4.6
Australia,2000,5.7
Australia,2005,4.7
Australia,2010,4.3
Australia,2013,4.9
Australia,2014,5.1
Australia,2015,..
Austria,1980,9.9
Austria,1985,10.9
Austria,1990,8.9
Austria,1995,9.9
Austria,2000,10.1
Austria,2005,10.5
Austria,2010,11.7
Austria,2013,12.2
Austria,2014,..
Austria,2015,..
Belgium,1980,5.8
Belgium,1985,6.2
Belgium,1990,6.4
Belgium,1995,6.9
Belgium,2000,6.7
Belgium,2005,6.9
Belgium,2010,7.9
Belgium,2013,8.6
Belgium,2014,..
Belgium,2015,..
Canada,1980,2.9
Canada,1985,3.5
Canada,1990,3.8
Canada,1995,4.2
Canada,2000,3.8
Canada,2005,3.6
Canada,2010,3.9
Canada,2013,4.1
Canada,2014,4.2
Canada,2015,..
Chile,1980,..
Chile,1985,..
Chile,1990,7.1
Chile,1995,5.9
Chile,2000,6.4
Chile,2005,2.9
Chile,2010,2.7
Chile,2013,2.4
Chile,2014,2.4
Chile,2015,2.4
Czech Republic,1980,..
Czech Republic,1985,..
Czech Republic,1990,4.8
Czech Republic,1995,5.4
Czech Republic,2000,6.5
Czech Republic,2005,6.3
Czech Republic,2010,7.6
Czech Republic,2013,8.2
Czech Republic,2014,..
Czech Republic,2015,..
Denmark,1980,7.9
Denmark,1985,7.7
Denmark,1990,8.3
Denmark,1995,9.3
Denmark,2000,8
Denmark,2005,8.2
Denmark,2010,9.5
Denmark,2013,10.1
Denmark,2014,..
Denmark,2015,..
Estonia,1980,..
Estonia,1985,..
Estonia,1990,..
Estonia,1995,..
Estonia,2000,5.9
Estonia,2005,5.3
Estonia,2010,7.6
Estonia,2013,6.5
Estonia,2014,..
Estonia,2015,..
Finland,1980,5.1
Finland,1985,6.9
Finland,1990,6.9
Finland,1995,8.3
Finland,2000,7.3
Finland,2005,8.1
Finland,2010,10
Finland,2013,11.4
Finland,2014,..
Finland,2015,..
France,1980,7.5
France,1985,8.4
France,1990,9
France,1995,10.3
France,2000,10.2
France,2005,10.6
France,2010,11.9
France,2013,12.6
France,2014,..
France,2015,..
Germany,1980,9.7
Germany,1985,9.8
Germany,1990,6.6
Germany,1995,7.6
Germany,2000,8.4
Germany,2005,8.8
Germany,2010,8.6
Germany,2013,8.2
Germany,2014,..
Germany,2015,..
Greece,1980,4.4
Greece,1985,6.9
Greece,1990,9
Greece,1995,8.8
Greece,2000,9.7
Greece,2005,10.8
Greece,2010,11.3
Greece,2013,..
Greece,2014,..
Greece,2015,..
Hungary,1980,..
Hungary,1985,..
Hungary,1990,..
Hungary,1995,..
Hungary,2000,6.9
Hungary,2005,7.7
Hungary,2010,8.9
Hungary,2013,9.6
Hungary,2014,..
Hungary,2015,..
Iceland,1980,..
Iceland,1985,..
Iceland,1990,3.3
Iceland,1995,3.6
Iceland,2000,3.4
Iceland,2005,3.7
Iceland,2010,2
Iceland,2013,2.5
Iceland,2014,..
Iceland,2015,..
Ireland,1980,4.3
Ireland,1985,4.5
Ireland,1990,4
Ireland,1995,3.5
Ireland,2000,2.4
Ireland,2005,2.7
Ireland,2010,5
Ireland,2013,4.9
Ireland,2014,..
Ireland,2015,..
Israel,1980,..
Israel,1985,..
Israel,1990,..
Israel,1995,4.1
Israel,2000,4.4
Israel,2005,4.7
Israel,2010,4.6
Israel,2013,4.7
Israel,2014,4.9
Israel,2015,4.8
Italy,1980,7
Italy,1985,8.7
Italy,1990,9.2
Italy,1995,10.6
Italy,2000,11.1
Italy,2005,11.3
Italy,2010,12.9
Italy,2013,13.7
Italy,2014,..
Italy,2015,..
Japan,1980,3
Japan,1985,3.8
Japan,1990,4
Japan,1995,5.2
Japan,2000,6.8
Japan,2005,8.5
Japan,2010,10.2
Japan,2013,10.7
Japan,2014,..
Japan,2015,..
Latvia,1980,..
Latvia,1985,..
Latvia,1990,..
Latvia,1995,0
Latvia,2000,8.3
Latvia,2005,5.4
Latvia,2010,9.3
Latvia,2013,7.5
Latvia,2014,..
Latvia,2015,..
Luxembourg,1980,5.6
Luxembourg,1985,5.2
Luxembourg,1990,7.2
Luxembourg,1995,7.8
Luxembourg,2000,6.6
Luxembourg,2005,5.3
Luxembourg,2010,5.8
Luxembourg,2013,6.7
Luxembourg,2014,..
Luxembourg,2015,..
Mexico,1980,..
Mexico,1985,0.1
Mexico,1990,0.4
Mexico,1995,0.6
Mexico,2000,0.6
Mexico,2005,0.9
Mexico,2010,1.5
Mexico,2013,0
Mexico,2014,..
Mexico,2015,..
Netherlands,1980,5.7
Netherlands,1985,5.6
Netherlands,1990,5.9
Netherlands,1995,5.2
Netherlands,2000,4.9
Netherlands,2005,5.2
Netherlands,2010,5.7
Netherlands,2013,6.2
Netherlands,2014,..
Netherlands,2015,..
New Zealand,1980,6.7
New Zealand,1985,7.1
New Zealand,1990,7
New Zealand,1995,5.4
New Zealand,2000,4.7
New Zealand,2005,4.1
New Zealand,2010,4.5
New Zealand,2013,4.8
New Zealand,2014,5
New Zealand,2015,..
Norway,1980,5
Norway,1985,5.4
Norway,1990,7
Norway,1995,7
