Entity,Year,Technology Diffusion (Comin and Hobijn (2004) and others)
Automatic transmission,1910,0
Automatic transmission,1939,0
Automatic transmission,1951,36
Automatic transmission,1952,44.5
Automatic transmission,1953,50
Automatic transmission,1954,55
Automatic transmission,1955,63.5
Automatic transmission,1956,72.3
Automatic transmission,1957,80
Automatic transmission,1958,82
Automatic transmission,1959,81
Automatic transmission,1960,78
Automatic transmission,1961,77
Automatic transmission,1962,78
Automatic transmission,1963,80
Automatic transmission,1964,82
Automatic transmission,1965,84
Automatic transmission,1966,86.5
Automatic transmission,1967,89.5
Automatic transmission,1968,93
Automatic transmission,1969,95
Automatic transmission,1970,97
Automatic transmission,1971,97.5
Automatic transmission,1972,98
Automatic transmission,1973,98.5
Automatic transmission,1974,98
Automatic transmission,1975,98.5
Automatic transmission,1976,98
Automatic transmission,1977,99
Automatic transmission,1978,100
Automatic transmission,1979,100
Automatic transmission,1980,100
Automatic transmission,1981,100
Automatic transmission,1982,100
Automatic transmission,1983,100
Automatic transmission,1984,100
Automobile,1915,10
Automobile,1916,12
Automobile,1917,17
Automobile,1918,19
Automobile,1919,23
Automobile,1920,28
Automobile,1921,31
Automobile,1922,34
Automobile,1923,39
Automobile,1924,44
Automobile,1925,49
Automobile,1926,54
Automobile,1927,56
Automobile,1928,58
Automobile,1929,58.5
Automobile,1930,59
Automobile,1931,56
Automobile,1932,53
Automobile,1933,50
Automobile,1934,51
Automobile,1935,52
Automobile,1936,54
Automobile,1937,55
Automobile,1938,54
Automobile,1939,54
Automobile,1940,55
Automobile,1941,57
Automobile,1942,53
Automobile,1943,49
Automobile,1944,47
Automobile,1945,46
Automobile,1946,48
Automobile,1947,51
Automobile,1948,53
Automobile,1949,55
Automobile,1950,58
Automobile,1951,60
Automobile,1952,60
Automobile,1953,62
Automobile,1954,65
Automobile,1955,68
Automobile,1956,72
Automobile,1957,74
Automobile,1958,71
Automobile,1959,73
Automobile,1960,75
Automobile,1961,76
Automobile,1962,75
Automobile,1963,79
Automobile,1964,79
Automobile,1965,79
Automobile,1966,79
Automobile,1967,78
Automobile,1968,78.5
Automobile,1969,79
Automobile,1970,80
Automobile,1971,80
Automobile,1972,81
Automobile,1973,82
Automobile,1974,83
Automobile,1975,83
Automobile,1976,84
Automobile,1977,85
Automobile,1978,85
Automobile,1979,85
Automobile,1980,86
Automobile,1981,86
Automobile,1982,86
Automobile,1983,86.5
Automobile,1984,87
Automobile,1985,88
Automobile,1986,88
Automobile,1987,89
Automobile,1988,89.5
Automobile,1989,90
Automobile,1990,91
Automobile,1991,91
Automobile,1992,91
Automobile,1993,92
Automobile,1994,91
Automobile,1995,91
Automobile,1996,92
Automobile,1997,92
Automobile,1998,92
Automobile,1999,91
Automobile,2000,92
Automobile,2001,92
Automobile,2002,91
Automobile,2003,91
Automobile,2004,91
Automobile,2005,91
Cable TV,1968,7.6
Cable TV,1969,8.7
Cable TV,1970,9.6
Cable TV,1971,11.1
Cable TV,1972,13
Cable TV,1973,15.5
Cable TV,1974,15.5
Cable TV,1975,16.7
Cable TV,1976,17.7
Cable TV,1977,18.97
Cable TV,1978,21.88
Cable TV,1979,28.32
Cable TV,1980,35.26
Cable TV,1981,40.4
Cable TV,1982,43.53
Cable TV,1983,45.94
Cable TV,1984,47.94
Cable TV,1985,50.32
Cable TV,1986,53.68
Cable TV,1987,57.26
Cable TV,1988,58.78
Cable TV,1989,59.05
Cable TV,1990,59.9
Cable TV,1991,60.9
Cable TV,1992,61.85
Cable TV,1993,63.6
Cable TV,1994,64.9
Cable TV,1995,65.27
Cable TV,1996,65.36
Cable TV,1997,65.07
Cellular phone,1994,10
Cellular phone,1995,12
Cellular phone,1996,16
Cellular phone,1997,21
Cellular phone,1998,36.3
Cellular phone,1999,34
Cellular phone,2000,42
Cellular phone,2001,49
Cellular phone,2002,56
Cellular phone,2003,62.8
Cellular phone,2004,63
Cellular phone,2005,71.3
Cellular phone,2006,67
Cellular phone,2007,73
Cellular phone,2008,75
Cellular phone,2009,84
Cellular phone,2010,87.2
Cellular phone,2011,89
Cellular phone,2012,87
Cellular phone,2013,89
Cellular phone,2014,91
Cellular phone,2015,92
Cellular phone,2016,92
Central heating,1900,0
Central heating,1910,0
Central heating,1920,1
Central heating,1940,42
Central heating,1950,50
Central heating,1960,66
Central heating,1970,78
Colour TV,1966,10
Colour TV,1967,15
Colour TV,1968,21
Colour TV,1969,25
Colour TV,1970,31
Colour TV,1971,39
Colour TV,1972,43
Colour TV,1973,48
Colour TV,1974,57
Colour TV,1975,64
Colour TV,1976,69
Colour TV,1977,74
Colour TV,1978,75
Colour TV,1979,78
Colour TV,1980,79
Colour TV,1981,80
Colour TV,1982,85
Colour TV,1983,88
Colour TV,1984,89
Colour TV,1985,90
Colour TV,1986,90.5
Colour TV,1987,91
Colour TV,1988,93
Colour TV,1989,94
Colour TV,1990,96
Colour TV,1991,96
Colour TV,1992,95
Colour TV,1993,95
Colour TV,1994,96
Colour TV,1995,94
Colour TV,1996,96
Colour TV,1997,95
Colour TV,1998,94
Colour TV,1999,95
Colour TV,2000,94
Colour TV,2001,94
Colour TV,2002,96
Colour TV,2003,95
Colour TV,2004,97
Colour TV,2005,96
Computer,1992,20.7
Computer,1998,42
Computer,2003,63.1
Computer,2005,67.1
Computer,2010,75.2
Computer,2011,78
Dishwasher,1922,1.1
Dishwasher,1923,1
Dishwasher,1924,1.8
Dishwasher,1931,0.6
