Entity,Year,Prevalence of zinc deficiency (Wessells et al. (2012))
Afghanistan,1990,20.4
Afghanistan,1995,20.2
Afghanistan,2000,19.9
Afghanistan,2005,20.2
Albania,1990,13.3
Albania,1995,6.2
Albania,2000,6.1
Albania,2005,5.3
Algeria,1990,13.1
Algeria,1995,14.8
Algeria,2000,17.3
Algeria,2005,16.6
Andorra,1990,5.4
Andorra,1995,5.5
Andorra,2000,5.7
Andorra,2005,5.6
Angola,1990,24.6
Angola,1995,28.2
Angola,2000,25.8
Angola,2005,24.4
Antigua and Barbuda,1990,4.8
Antigua and Barbuda,1995,6.1
Antigua and Barbuda,2000,7.1
Antigua and Barbuda,2005,6.8
Argentina,1990,1.7
Argentina,1995,1.8
Argentina,2000,2
Argentina,2005,2.3
Armenia,1990,15
Armenia,1995,19.3
Armenia,2000,20.4
Armenia,2005,16.3
Australia,1990,3.2
Australia,1995,3.3
Australia,2000,3.6
Australia,2005,3.8
Austria,1990,6.4
Austria,1995,5.5
Austria,2000,5.8
Austria,2005,7.4
Azerbaijan,1990,15.6
Azerbaijan,1995,21
Azerbaijan,2000,21.5
Azerbaijan,2005,22.4
Bahamas,1990,3.9
Bahamas,1995,5.1
Bahamas,2000,5
Bahamas,2005,5.7
Bahrain,1990,21.5
Bahrain,1995,22.8
Bahrain,2000,22.9
Bahrain,2005,24.8
Bangladesh,1990,28.3
Bangladesh,1995,31.3
Bangladesh,2000,29.5
Bangladesh,2005,29.7
Barbados,1990,6.4
Barbados,1995,8.7
Barbados,2000,9.6
Barbados,2005,9.3
Belarus,1990,7.2
Belarus,1995,8.1
Belarus,2000,8.7
Belarus,2005,9
Belgium,1990,5.5
Belgium,1995,5.8
Belgium,2000,6.1
Belgium,2005,6.8
Belize,1990,10.2
Belize,1995,11.1
Belize,2000,12.3
Belize,2005,13.6
Benin,1990,17.8
Benin,1995,16.8
Benin,2000,17.3
Benin,2005,17.9
Bhutan,1990,23.4
Bhutan,1995,23.2
Bhutan,2000,27
Bhutan,2005,31.7
Bolivia,1990,10.1
Bolivia,1995,10.9
Bolivia,2000,10.4
Bolivia,2005,11.1
Bosnia and Herzegovina,1990,14.1
Bosnia and Herzegovina,1995,16.7
Bosnia and Herzegovina,2000,16.5
Bosnia and Herzegovina,2005,16.7
Botswana,1990,18.9
Botswana,1995,21.2
Botswana,2000,29.5
Botswana,2005,30.6
Brazil,1990,9.6
Brazil,1995,8.1
Brazil,2000,7.3
Brazil,2005,7.3
Brunei,1990,8.7
Brunei,1995,8.3
Brunei,2000,10.9
Brunei,2005,10.6
