Entity,Year,Life expectancy
Africa,1770,26.4
Africa,1950,37.49173291
Africa,1955,40.03643401
Africa,1960,42.44596402
Africa,1965,44.53014294
Africa,1970,46.61133843
Africa,1975,48.82452859
Africa,1980,50.73575608
Africa,1985,52.09065953
Africa,1990,51.93032546
Africa,1995,52.32614112
Africa,2000,53.52687966
Africa,2005,56.7824984
Africa,2010,56.7824984
Africa,2015,62.65819362
Americas,1770,34.8
Americas,1850,35.1
Americas,1870,35.1
Americas,1900,41
Americas,1913,45.1
Americas,1950,60.15420388
Americas,1955,61.86336693
Americas,1960,63.24349516
Americas,1965,64.32455862
Americas,1970,65.83645041
Americas,1975,67.62567949
Americas,1980,69.09368834
Americas,1985,70.30529335
Americas,1990,71.62488895
Americas,1995,72.94514675
Americas,2000,74.1849871
Americas,2005,75.29922058
Americas,2010,75.29922058
Americas,2015,76.66711075
Asia,1770,27.5
Asia,1900,28
Asia,1913,28.1
Asia,1950,42.30218813
Asia,1955,44.57274553
Asia,1960,46.49304253
Asia,1965,52.68366638
Asia,1970,56.37771602
Asia,1975,59.19199665
Asia,1980,61.44580709
Asia,1985,63.45555263
Asia,1990,64.97791357
Asia,1995,66.55328118
Asia,2000,68.33146164
Asia,2005,70.02928277
Asia,2010,70.02928277
Asia,2015,73.27565334
Europe,1770,34.3
Europe,1800,33.3
Europe,1820,35.6
Europe,1850,36.3
Europe,1870,36.2
Europe,1900,42.7
Europe,1913,46.8
Europe,1950,63.68851165
Europe,1955,67.13272106
Europe,1960,69.20696037
Europe,1965,70.05077168
Europe,1970,70.62300123
Europe,1975,71.05449354
Europe,1980,71.6554184
Europe,1985,72.83889768
Europe,1990,72.66887101
Europe,1995,73.11352657
Europe,2000,73.79858503
Europe,2005,75.2966221
Europe,2010,75.2966221
Europe,2015,78.3266068
Latin America and the Caribbean,1950,51.40253117
Latin America and the Caribbean,1955,54.24092168
Latin America and the Caribbean,1960,56.78637606
Latin America and the Caribbean,1965,58.95121773
Latin America and the Caribbean,1970,61.22644023
Latin America and the Caribbean,1975,63.33057905
Latin America and the Caribbean,1980,65.28634111
Latin America and the Caribbean,1985,67.14903421
Latin America and the Caribbean,1990,68.95682215
Latin America and the Caribbean,1995,70.67042851
Latin America and the Caribbean,2000,72.24880144
Latin America and the Caribbean,2005,73.45354982
Latin America and the Caribbean,2010,73.45354982
Latin America and the Caribbean,2015,75.24355735
Northern America,1950,68.714109
Northern America,1955,69.70122398
Northern America,1960,70.19978676
Northern America,1965,70.50594862
Northern America,1970,71.55776858
Northern America,1975,73.34849356
Northern America,1980,74.50856106
Northern America,1985,75.06905118
Northern America,1990,75.84786678
Northern America,1995,76.67656868
Northern America,2000,77.41893518
Northern America,2005,78.44313648
Northern America,2010,78.44313648
Northern America,2015,79.15485952
Oceania,1770,22.5
Oceania,1870,34.7
Oceania,1900,47.6
Oceania,1913,51
Oceania,1950,59.09353332
Oceania,1955,61.80864849
Oceania,1960,63.39809533
Oceania,1965,64.58166718
Oceania,1970,66.27110089
Oceania,1975,68.15504821
Oceania,1980,69.8853342
Oceania,1985,71.06265118
Oceania,1990,72.58372334
Oceania,1995,73.62392409
Oceania,2000,74.91045868
Oceania,2005,76.24525227
Oceania,2010,76.24525227
Oceania,2015,78.43904157
World,1770,28.5
World,1800,28.5
World,1820,29
World,1850,29.3
World,1870,29.7
World,1900,32
World,1913,34.1
World,1950,46.96
World,1955,49.37
World,1960,51.18
World,1965,55.43
World,1970,58.09
World,1975,60.27
World,1980,62.07
World,1985,63.71
World,1990,64.56
World,1995,65.63
World,2000,67.05
World,2005,68.92
World,2010,70.88
World,2015,72.28
