Entity,Year,"Time allocation, all (Statistics Finland)","Time allocation, men (Statistics Finland)","Time allocation, women (Statistics Finland)"
Domestic work,1979,166.23088,109.92366,219
Domestic work,1987,167.11604,120.91603,214.70181
Domestic work,1999,171.11882,122.91464,215.70042
Domestic work,2009,168,132,205
Free time,1979,338.47009,362.74808,320
Free time,1987,348.24182,361.74878,334.53537
Free time,1999,350.24319,371.74185,329.5423
Free time,2009,375,407,342
Gainful employment,1979,221.30737,257.82095,187
Gainful employment,1987,233.16191,268.81332,196.72678
Gainful employment,1999,223.15495,266.8147,182.74619
Gainful employment,2009,182,202,162
Personal care,1979,634.88177,633.56,632
Personal care,1987,623.43292,624.56628,621.13733
Personal care,1999,629.43707,620.56903,637.11511
Personal care,2009,641,633,649
Study,1979,77.107094,72.949341,80
Study,1987,65.045166,60.957668,69.902916
Study,1999,60.041691,50.964607,68.904305
Study,2009,60,53,67
Unspecified,1979,2.0027816,2.9979181,2
Unspecified,1987,3.0020847,2.9979181,2.9958391
Unspecified,1999,6.0041695,6.995142,5.9916782
Unspecified,2009,14,13,15
