Entity,Year,Excess skin cancer cases per million (no restrictions),Excess skin cancer cases per million (Montreal Protocol),Excess skin cancer cases per million (Copenhagen Amendments)
Northwest Europe,2000,17,17,14
Northwest Europe,2030,121,103,58
Northwest Europe,2050,348,231,89
Northwest Europe,2070,1017,414,77
Northwest Europe,2100,3468,1051,23
United States,2000,36,36,31
United States,2030,233,192,102
United States,2050,705,420,148
United States,2070,1980,758,122
United States,2100,6530,1958,35
