Entity,Year,Oil reserves (BP Statistical Review (2016))
Africa,1995,72
Africa,2005,111.3
Africa,2014,129.3
Africa,2015,129.1
Algeria,1995,10
Algeria,2005,12.3
Algeria,2014,12.2
Algeria,2015,12.2
Angola,1995,3.1
Angola,2005,9
Angola,2014,12.7
Angola,2015,12.7
Argentina,1995,2.4
Argentina,2005,2.2
Argentina,2014,2.4
Argentina,2015,2.4
Asia & Pacific,1995,39.1
Asia & Pacific,2005,40.8
Asia & Pacific,2014,42.6
Asia & Pacific,2015,42.6
Australia,1995,3.8
Australia,2005,3.7
Australia,2014,4
Australia,2015,4
Azerbaijan,1995,1.2
Azerbaijan,2005,7
Azerbaijan,2014,7
Azerbaijan,2015,7
Brazil,1995,6.2
Brazil,2005,11.8
Brazil,2014,16.2
Brazil,2015,13
Brunei,1995,1.1
Brunei,2005,1.1
Brunei,2014,1.1
Brunei,2015,1.1
Canada,1995,48.4
Canada,2005,180
Canada,2014,172.2
Canada,2015,172.2
Chad,2005,1.5
Chad,2014,1.5
Chad,2015,1.5
China,1995,16.4
China,2005,15.6
China,2014,18.5
China,2015,18.5
Colombia,1995,3
Colombia,2005,1.5
Colombia,2014,2.4
Colombia,2015,2.3
Democratic Republic of Congo,1995,1.3
Democratic Republic of Congo,2005,1.5
Democratic Republic of Congo,2014,1.6
Democratic Republic of Congo,2015,1.6
Denmark,1995,0.9
Denmark,2005,1.3
Denmark,2014,0.6
Denmark,2015,0.6
Ecuador,1995,4.3
Ecuador,2005,4.9
Ecuador,2014,8
Ecuador,2015,8
Egypt,1995,3.8
Egypt,2005,3.7
Egypt,2014,3.7
Egypt,2015,3.5
Equatorial Guinea,1995,0.6
Equatorial Guinea,2005,1.8
Equatorial Guinea,2014,1.1
Equatorial Guinea,2015,1.1
Europe & Central Asia,1995,141.2
Europe & Central Asia,2005,139.5
Europe & Central Asia,2014,154.6
Europe & Central Asia,2015,155.2
Gabon,1995,1.5
Gabon,2005,2.1
Gabon,2014,2
Gabon,2015,2
India,1995,5.5
India,2005,5.9
India,2014,5.7
India,2015,5.7
Indonesia,1995,5
Indonesia,2005,4.2
Indonesia,2014,3.6
Indonesia,2015,3.6
Iran,1995,93.7
Iran,2005,137.5
Iran,2014,157.8
Iran,2015,157.8
Iraq,1995,100
Iraq,2005,115
Iraq,2014,143.1
Iraq,2015,143.1
Italy,1995,0.8
Italy,2005,0.5
Italy,2014,0.6
Italy,2015,0.6
Kazakhstan,1995,5.3
Kazakhstan,2005,9
Kazakhstan,2014,30
Kazakhstan,2015,30
Kuwait,1995,96.5
Kuwait,2005,101.5
Kuwait,2014,101.5
Kuwait,2015,101.5
Latin America & the Caribbean,1995,83.7
Latin America & the Caribbean,2005,103.6
Latin America & the Caribbean,2014,331.7
Latin America & the Caribbean,2015,329.2
Libya,1995,29.5
Libya,2005,41.5
Libya,2014,48.4
Libya,2015,48.4
Malaysia,1995,5.2
Malaysia,2005,5.3
Malaysia,2014,3.6
Malaysia,2015,3.6
Mexico,1995,48.8
Mexico,2005,13.7
Mexico,2014,10.8
Mexico,2015,10.8
Middle East,1995,663.3
Middle East,2005,755.5
Middle East,2014,803.8
Middle East,2015,803.5
Nigeria,1995,20.8
Nigeria,2005,36.2
Nigeria,2014,37.1
