Entity,Year,"Average harmonised learning outcome score (Altinok, Angrist, and Patrinos (2018)) ","Share of students achieving the minimum threshold (Altinok, Angrist, and Patrinos (2018)) ","Share of students achieving the intermediate threshold (Altinok, Angrist, and Patrinos (2018)) ","Share of students achieving the advanced threshold (Altinok, Angrist, and Patrinos (2018)) "
Albania,2000,400.65,57.75,21.28,2.69
Albania,2005,399.32,60.15,27,3.1
Albania,2010,402.75,61.32,25.43,2.16
Albania,2015,436.73,70.65000000000001,38.88,5.32
Algeria,2005,390.17,58.11,17.22,1.5
Algeria,2015,375.14,51.31,13.31,0
Argentina,1995,377.66,67.99,25.97,4.37
Argentina,2000,409.87,60.36,27.02,4.2
Argentina,2005,405.44,64.89,31.07,3.11
Argentina,2010,413.27,65.95,29.83,2.51
Argentina,2015,429.38,70.86,33.46,2.09
Argentina (Buenos Aires),2015,414.19,67.75,34.66,2.68
Armenia,2005,482.68,87.98,59.45,9
Armenia,2010,469.07,86.13,60.12,16.39
Australia,1970,484,86.29000000000001,62.59,16.09
Australia,1975,505.47,85.27,58.63,13.26
Australia,1980,331.55,93.11,82.45,23.63
Australia,1985,475.87,83.53,56.71,12.71
Australia,1990,488.69,86.47,60.3,13.19
Australia,1995,501.93,91.56999999999999,70.72,18.42
Australia,2000,508.87,93.58,73.74,20.43
Australia,2005,504.44,91.51000000000001,71.04000000000001,17.84
Australia,2010,509.98,91.09999999999999,70.90000000000001,20.61
Australia,2015,509.22,91.53,71.94,21.38
Austria,1995,529.96,96.05,80.97,27.56
Austria,2000,529.67,92.16,76.33,25.26
Austria,2005,516.5,88.14,72.42,23.59
Austria,2010,512.93,89.56,72.83,18.65
Austria,2015,519.54,88.51000000000001,70.12000000000001,23.35
Azerbaijan,2005,503.38,94.39,62.37,5.37
Azerbaijan,2010,453.14,77.45999999999999,41.12,7.98
Bahrain,2005,400.18,63.89,27.18,1.92
Bahrain,2010,419.25,67.34,32.56,3.49
Bahrain,2015,452.36,80.59999999999999,47.51,6.89
Belgium,2000,531.37,88.03,68.45,25.46
Belgium,2005,535.22,87.36,72.18000000000001,31.13
Belgium,2010,534.58,90.2,74.41,30.74
Belgium,2015,529.11,89.08,72.55,27.84
Belgium Flemish,1970,486.32,92.39,61.43,19.52
Belgium Flemish,1975,472.07,95.59999999999999,69.97,23.58
Belgium Flemish,1980,351.03,92.06999999999999,81.45999999999999,26.87
Belgium Flemish,1985,497.95,86.59999999999999,63.9,19.22
Belgium Flemish,1990,521,90.14,70.28,23.32
Belgium Flemish,1995,534.88,97.01000000000001,83.88,32.08
Belgium Flemish,2000,548.24,96.51000000000001,85.88,35.77
Belgium Flemish,2005,542.39,95.14,87.25,32.32
Belgium Flemish,2010,547.13,97.20999999999999,85.78,33.73
Belgium Flemish,2015,541.15,96.38,84.75,29.71
Belgium French,1970,191.17,95.38,82.95999999999999,33.99
Belgium French,1975,305.11,94.3,82.33,33.87
Belgium French,1980,298.52,93.3,86.78,28.64
Belgium French,1985,479.97,85.16,61.1,18.41
Belgium French,1990,491.49,88.23,63.84,16.96
Belgium French,1995,500.39,93.31999999999999,72.38,15.76
Benin,2005,279.03,24.35,8.789999999999999,0
Bolivia,1995,370.4,53.61,15.16,1.45
Bosnia and Herzegovina,2005,460.77,82.44,52.48,7.65
Botswana,2000,350.84,50.88,14.3,1.89
Botswana,2005,356.04,49.03,10.93,.64
Botswana,2010,393.9,54.97,18.2,1.7
Botswana,2015,398.47,64.34999999999999,29.1,2.12
Brazil,1990,270.08,47.71,0,0
Brazil,1995,370.59,56.63,16.89,1.01
Brazil,2000,359.78,44.23,8.26,1.1
Brazil,2005,397.54,57.6,21.82,1.93
Brazil,2010,407.67,63.03,24.21,1.88
Brazil,2015,408.76,63.31,28.31,1.66
Bulgaria,1995,521.85,91.45999999999999,70.74,28.53
Bulgaria,2000,497.77,89.59999999999999,67.84999999999999,18.45
Bulgaria,2005,474.23,84.27,59.43,13.14
Bulgaria,2010,451.6,74.06999999999999,44.3,8.779999999999999
Bulgaria,2015,490.67,78.88,61,20.62
Burkina Faso,1995,334.21,14.43,0,0
Burkina Faso,2005,296.88,37.14,6.3,0
Burundi,2000,337.04,51.51,9.449999999999999,0
Burundi,2010,332.33,47.54,17.05,0
Cameroon,1995,351.96,24.07,0,0
Cameroon,2005,336.64,44.5,14.38,0
Canada,1985,482.16,89.26000000000001,67.61,18.13
Canada,1990,494.64,92.09,71.61,18.69
Canada,1995,512.25,95.01000000000001,75.84999999999999,19.27
Canada,2000,518.2000000000001,95.97,78.37000000000001,21.52
Canada,2005,518.6900000000001,96.02,78.8,21.48
Canada,2010,519.08,96.06,79.22,21.42
Canada,2015,519.6900000000001,96.09999999999999,80.02,20.56
Canada (Alberta),1990,502.56,88.59999999999999,67.01000000000001,26.71
Canada (Alberta),2005,504.24,92.16,71.72,12.96
Canada (Alberta),2010,503.89,94.26000000000001,74.49,13.11
Canada (British Colombia),1980,393.05,86,68.15000000000001,21.87
Canada (British Colombia),1985,470.9,83.05,58.62,21.99
Canada (British Colombia),1990,472.09,85.28,57.31,17.01
Canada (British Colombia),1995,485.07,87.64,60.3,18.48
Canada (British Colombia),2000,495.16,90.93000000000001,64.27,18.52
Canada (British Colombia),2005,510.8,92.73,70.75,18.1
Canada (Nova Scotia),1990,468.44,82.59999999999999,53.32,14.4
Canada (Ontario),1980,425.71,87.75,67.59999999999999,19.03
Canada (Ontario),1985,484.12,85.66,61.39,23.02
Canada (Ontario),1990,485.24,88.36,60.78,17.18
Canada (Ontario),1995,492.77,91.48,62.59,15.76
Canada (Ontario),2000,481.5,95.79000000000001,69.04000000000001,18.13
Canada (Ontario),2005,516.39,96.01000000000001,79.11,18.62
Canada (Ontario),2010,515.4500000000001,94.89,77.87000000000001,19.28
Canada (Ontario),2015,517.91,95.56999999999999,78.95,19.98
Canada (Quebec),1990,505.31,89.08,68.11,27.71
Canada (Quebec),2000,505.78,87.79000000000001,66.34,21.77
Canada (Quebec),2005,523.87,98.20999999999999,83.93000000000001,19.2
Canada (Quebec),2010,529.81,97.59,84.77,22.26
Canada (Quebec),2015,539.36,98.20999999999999,88.5,27.41
Chad,2005,287.21,25.25,9.220000000000001,0
Chad,2010,300.46,44.04,19.86,0
Chile,1970,340.61,40.79,11.08,3.78
Chile,1975,332.81,40.13,8.720000000000001,2.91
Chile,1980,330.36,45.55,9.74,2.03
Chile,1985,332.04,57.87,16.29,1.88
Chile,1990,349.23,60.44,17.4,2.32
Chile,1995,351.9,53.03,10.55,1.26
Chile,2000,371.98,58.48,13.1,.89
Chile,2005,404.38,63.73,28.55,2.07
Chile,2010,430,66.76000000000001,32.49,2.16
Chile,2015,455.97,76.33,47.9,6.05
China,2000,539.2000000000001,94.97,77.59999999999999,28.86
China,2010,602.23,97.03,90.81999999999999,59.87
China,2015,554.72,91.63,78.43000000000001,38.27
Colombia,1995,352.36,49.11,10.11,1.01
Colombia,2000,371.01,48.6,6.71,1.19
Colombia,2005,386.63,56.91,18.97,.9
Colombia,2010,401.58,62.6,21.14,.54
Colombia,2015,413.67,65.59,25.92,1.12
Comoros,2010,297.43,41.54,17.89,0
Costa Rica,2005,440.23,75.70999999999999,42.14,3.09
Costa Rica,2010,431.01,71.47,35.13,3.09
Costa Rica,2015,422.54,67.97,30,1.46
Cote d'Ivoire,1995,286.02,0,0,0
Cote d'Ivoire,2005,248.28,24.82,.97,0
Cote d'Ivoire,2010,259.79,37.15,17.81,0
Croatia,2000,436.37,72.87000000000001,42.94,7.03
Croatia,2005,489.34,85.67,59.26,11.77
Croatia,2010,483.87,84.34999999999999,60.67,9.66
Croatia,2015,491.55,84.11,64.20999999999999,13.31
Cuba,1995,505.21,95.42,84.04000000000001,45.47
Cuba,2005,507.91,84.49,64.14,27.43
Cyprus,1990,438.76,87.59,58.39,15.46
Cyprus,1995,471.45,83.74,57.61,12.26
Cyprus,2000,484.05,86.14,60.95,12.6
Cyprus,2005,486.82,84.02,61.75,16.15
Cyprus,2010,512.86,89.89,71.20999999999999,22.42
Cyprus,2015,518,90.7,73.93000000000001,25.02
Czech Republic,1995,543.48,97.67,84.47,33.46
Czech Republic,2000,517.66,94.45,75.95,26.51
Czech Republic,2005,501.2,93.48,72.63,24.19
Czech Republic,2010,508.26,89.56,69.65000000000001,14.87
Czech Republic,2015,516.2000000000001,88.64,72.53,22.4
Democratic Republic of Congo,2010,340.17,49.71,21.24,0
Denmark,2000,531.87,92.49,71.31999999999999,17.76
Denmark,2005,525.59,91.87000000000001,75.5,22.42
Denmark,2010,527,91.99,76.81,23.5
Denmark,2015,534.18,93.33,78.94,27.51
Dominican Republic,1995,344.74,31.31,0,0
Dominican Republic,2005,330.58,38.79,.72,0
Dominican Republic,2015,337.71,43.1,8.84,2.38
Ecuador,2005,361.91,50.63,12.54,.46
Ecuador,2010,385.38,54.41,13.23,.99
Ecuador,2015,414.71,65.36,26.14,3.04
Egypt,2005,402.6,64.37000000000001,32.04,4.29
Egypt,2010,397.91,63.96,30.09,3.17
Egypt,2015,397.83,64.34,32.79,5.09
El Salvador,2005,363.87,50.82,11.92,.46
England,1970,465.08,82.86,54.51,19.63
England,1975,451.28,79.79000000000001,51.37,18.38
England,1980,445.67,79.02,50.26,17.7
England,1985,448.23,89.36,62.51,22.22
England,1990,450.82,86.40000000000001,57.08,19.27
England,1995,445.7,80.51000000000001,46.79,6.59
England,2000,492.35,89.22,57.92,9.76
England,2005,521.4,91.89,73.58,25.66
England,2010,526.7000000000001,91.91,76.31999999999999,30.15
England,2015,532.06,93.78,77.95,30.67
Estonia,2005,534.88,97.13,83.68000000000001,26.34
Estonia,2010,536.41,94.78,78.78,23.46
Estonia,2015,542.42,94.70999999999999,80.66,27.97
Finland,1970,528.76,69.62000000000001,35.1,0
Finland,1975,500.54,70.28,33.73,0
Finland,1980,575.41,64.53,11.69,0
Finland,1985,458.37,76.39,39.93,1.67
Finland,1990,468.42,79.15000000000001,43.18,7.7
Finland,1995,441.11,87.27,34.41,0
Finland,2000,516.86,96.68000000000001,77.7,14.47
