Entity,Year,Iron and steel production (Correlates of War: National Material Capabilities (v4.0)),"Military expenditure (1816-1913, current prices) (Correlates of War: National Material Capabilities (v4.0))","Military expenditure (1914-2007, current prices) (Correlates of War: National Material Capabilities (v4.0))",Military personnel (Correlates of War: National Material Capabilities (v4.0))
Afghanistan,1920,,,,55
Afghanistan,1921,,,,55
Afghanistan,1922,,,,55
Afghanistan,1923,,,,65
Afghanistan,1924,,,,65
Afghanistan,1925,,,,76
Afghanistan,1926,,,,76
Afghanistan,1927,,,,76
Afghanistan,1928,,,,60
Afghanistan,1929,,,,60
Afghanistan,1930,,,,60
Afghanistan,1931,,,4536,60
Afghanistan,1932,,,3731,60
Afghanistan,1933,,,,72
Afghanistan,1934,,,,45
Afghanistan,1935,,,7172,72
Afghanistan,1936,,,7363,103
Afghanistan,1937,,,,103
Afghanistan,1938,,,6783,103
Afghanistan,1939,,,,103
Afghanistan,1940,,,,60
Afghanistan,1941,,,,90
Afghanistan,1942,,,,90
Afghanistan,1943,,,,90
Afghanistan,1944,,,,90
Afghanistan,1945,,,,90
Afghanistan,1946,,,,90
Afghanistan,1947,,,,100
Afghanistan,1948,,,,90
Afghanistan,1949,,,,75
Afghanistan,1950,,,4654,75
Afghanistan,1951,,,5657,60
Afghanistan,1952,,,6730,60
Afghanistan,1953,,,9596,41
Afghanistan,1954,,,5012,41
Afghanistan,1955,,,6504,43
Afghanistan,1956,,,4814,43
Afghanistan,1957,,,7227,43
Afghanistan,1958,,,6252,43
Afghanistan,1959,,,11073,50
Afghanistan,1960,,,14240,60
Afghanistan,1961,,,14184,110
Afghanistan,1962,,,13125,104
Afghanistan,1963,,,14795,110
Afghanistan,1964,,,14544,112
Afghanistan,1965,,,13865,97
Afghanistan,1966,,,16819,97
Afghanistan,1967,,,17932,95
Afghanistan,1968,,,20067,89
Afghanistan,1969,,,20915,89
Afghanistan,1970,,,19469,91
Afghanistan,1971,,,29844,91
Afghanistan,1972,,,32289,91
Afghanistan,1973,,,32400,91
Afghanistan,1974,,,34733,80
Afghanistan,1975,,,40555,130
Afghanistan,1976,,,42422,142
Afghanistan,1977,,,52289,143
Afghanistan,1978,,,59400,110
Afghanistan,1979,,,58000,89
Afghanistan,1980,,,238087,43
Afghanistan,1981,,,326007,45
Afghanistan,1982,,,326872,55
Afghanistan,1983,,,296987,46
Afghanistan,1984,,,210032,46
Afghanistan,1985,,,286560,47
Afghanistan,1986,,,,47
Afghanistan,1987,,,,50
Afghanistan,1988,,,,55
Afghanistan,1989,,,,55
Afghanistan,1990,,,430000,58
Afghanistan,1991,,,,45
Afghanistan,1992,,,,45
Afghanistan,1993,,,,45
Afghanistan,1994,,,,45
Afghanistan,1995,,,200000,
Afghanistan,1996,,,208000,
Afghanistan,1997,,,209000,
Afghanistan,1998,,,255000,
Afghanistan,1999,,,250000,400
Afghanistan,2000,,,250000,400
Afghanistan,2001,,,245000,
Afghanistan,2002,,,,50
Afghanistan,2003,,,,60
Afghanistan,2004,,,121000,43
Afghanistan,2005,,,116000,27
Afghanistan,2006,,,120000,27
Afghanistan,2007,,,153000,50
Albania,1914,,,1663,2
Albania,1915,,,1612,2
Albania,1916,,,1598,2
Albania,1917,,,1567,2
Albania,1918,,,1545,3
Albania,1919,,,1523,3
Albania,1920,,,1493,4
Albania,1921,,,1442,3
Albania,1922,,,1411,5
Albania,1923,,,1213,8
Albania,1924,,,1104,8
Albania,1925,,,1036,8
Albania,1926,,,975,8
Albania,1927,,,1158,8
Albania,1928,,,2351,10
Albania,1929,,,2856,11
Albania,1930,,,2822,11
Albania,1931,,,2992,11
Albania,1932,,,2832,13
Albania,1933,,,2470,13
Albania,1934,,,2342,13
Albania,1935,,,2198,9
Albania,1936,,,2486,9
Albania,1937,,,2812,9
Albania,1938,,,3143,9
Albania,1939,,,6984,9
Albania,1944,,,9156,60
Albania,1945,,,10254,60
Albania,1946,,,11946,60
Albania,1947,,,12458,60
Albania,1948,,,13874,60
Albania,1949,,,15760,65
Albania,1950,,,18865,60
Albania,1951,,,20011,55
Albania,1952,,,20459,61
Albania,1953,,,22779,53
Albania,1954,,,28305,41
Albania,1955,,,31544,39
Albania,1956,,,34268,37
Albania,1957,,,37541,33
Albania,1958,,,40027,31
Albania,1959,,,42029,27
Albania,1960,,,52458,27
Albania,1961,,,59236,50
Albania,1962,,,61663,50
Albania,1963,,,72019,52
Albania,1964,,,82560,52
Albania,1965,,,83042,52
Albania,1966,,,91761,52
Albania,1967,,,91769,52
Albania,1968,,,96803,52
Albania,1969,,,94832,52
Albania,1970,,,98041,52
Albania,1971,,,115619,52
Albania,1972,,,117214,52
Albania,1973,,,124830,52
Albania,1974,,,125194,53
Albania,1975,,,131878,52
Albania,1976,,,135621,52
Albania,1977,,,137905,45
Albania,1978,,,154359,45
Albania,1979,,,167715,45
Albania,1980,230,,171453,46
Albania,1981,227,,188300,41
Albania,1982,225,,156763,42
Albania,1983,222,,130560,42
Albania,1984,220,,130000,41
Albania,1985,217,,188890,40
Albania,1986,215,,168800,42
Albania,1987,212,,196360,42
Albania,1988,210,,157000,42
Albania,1989,205,,167300,40
Albania,1990,143,,171200,48
Albania,1991,28,,103190,40
Albania,1992,20,,34700,65
Albania,1993,19,,105000,65
Albania,1994,19,,97500,65
Albania,1995,22,,89000,52
Albania,1996,23,,103000,52
Albania,1997,22,,94000,52
Albania,1998,22,,102000,20
Albania,1999,16,,140000,18
Albania,2000,5,,113000,54
Albania,2001,80,,106000,27
Albania,2002,140,,59000,27
Albania,2003,140,,76000,22
Albania,2004,143,,105000,21
Albania,2005,145,,116000,21
Albania,2006,206,,141000,22
Albania,2007,263,,198000,11
Algeria,1962,6,,65000,45
Algeria,1963,10,,79400,70
Algeria,1964,20,,99251,65
Algeria,1965,23,,99251,60
Algeria,1966,21,,99251,75
Algeria,1967,23,,99251,75
Algeria,1968,28,,99251,75
Algeria,1969,30,,99251,80
Algeria,1970,31,,99251,80
Algeria,1971,28,,99470,80
Algeria,1972,29,,111512,80
Algeria,1973,28,,137657,80
Algeria,1974,99,,260237,80
Algeria,1975,126,,309322,80
Algeria,1976,206,,385839,85
Algeria,1977,285,,464711,75
Algeria,1978,211,,601562,76
Algeria,1979,450,,727349,88
Algeria,1980,370,,890060,101
Algeria,1981,557,,811620,101
Algeria,1982,851,,848032,120
Algeria,1983,893,,935023,130
Algeria,1984,1130,,930440,170
Algeria,1985,1215,,953300,170
Algeria,1986,1123,,1160000,180
Algeria,1987,1380,,1200000,170
Algeria,1988,1301,,1050000,126
Algeria,1989,943,,854000,126
Algeria,1990,836,,904000,126
Algeria,1991,840,,660000,126
Algeria,1992,842,,1900000,126
Algeria,1993,865,,1119000,126
Algeria,1994,807,,1306000,126
Algeria,1995,827,,1427000,120
Algeria,1996,651,,1840000,119
Algeria,1997,399,,2114000,124
Algeria,1998,600,,3125000,120
Algeria,1999,758,,3086000,120
Algeria,2000,842,,2989000,124
Algeria,2001,947,,3149000,124
Algeria,2002,1091,,2098000,136
Algeria,2003,1051,,2206000,127
Algeria,2004,1014,,2805000,132
Algeria,2005,1007,,2877000,137
Algeria,2006,1158,,3096000,138
Algeria,2007,1278,,4270000,138
Angola,1975,5,,146004,30
Angola,1976,5,,,35
Angola,1977,5,,,47
Angola,1978,10,,,47
Angola,1979,10,,529165,47
Angola,1980,10,,682543,47
Angola,1981,10,,688223,53
Angola,1982,10,,781095,54
Angola,1983,10,,563002,54
Angola,1984,10,,,60
Angola,1985,10,,983690,66
Angola,1986,10,,1090000,70
Angola,1987,10,,819000,74
Angola,1988,10,,819000,107
Angola,1989,10,,2690000,107
Angola,1990,10,,2732000,115
Angola,1991,10,,538965,150
Angola,1992,10,,,128
Angola,1993,9,,1100000,128
Angola,1994,9,,524000,120
Angola,1995,9,,400000,100
Angola,1996,9,,460000,95
Angola,1997,9,,764000,95
Angola,1998,9,,974000,100
Angola,1999,9,,1005000,100
Angola,2000,9,,2000000,108
Angola,2001,9,,1470000,130
Angola,2002,,,1000000,100
Angola,2003,,,366000,120
Angola,2004,,,958000,114
Angola,2005,,,1189000,108
Angola,2006,,,1588000,108
Angola,2007,,,2264000,107
Antigua and Barbuda,1990,,,3900,
Antigua and Barbuda,1994,,,3000,
Antigua and Barbuda,1995,,,3000,
Antigua and Barbuda,1996,,,4000,
Antigua and Barbuda,1997,,,3000,
Antigua and Barbuda,1998,,,4000,
Antigua and Barbuda,1999,,,4000,
Antigua and Barbuda,2000,,,4000,
Antigua and Barbuda,2001,,,4000,
Antigua and Barbuda,2002,,,4000,
Antigua and Barbuda,2003,,,4000,
Antigua and Barbuda,2004,,,4000,
Antigua and Barbuda,2005,,,5000,
Antigua and Barbuda,2006,,,5000,
Antigua and Barbuda,2007,,,5000,
Argentina,1841,,386,,7
Argentina,1842,,298,,
Argentina,1843,,239,,
Argentina,1844,,269,,
Argentina,1845,,238,,
Argentina,1846,,199,,
Argentina,1847,,293,,
Argentina,1848,,269,,
Argentina,1849,,366,,2
Argentina,1850,,485,,4
Argentina,1851,,,,5
Argentina,1852,,,,7
Argentina,1853,,,,6
Argentina,1854,,,,4
Argentina,1855,,,,3
Argentina,1856,,,,5
Argentina,1857,,196,,6
Argentina,1858,,,,5
Argentina,1859,,,,5
Argentina,1860,,253,,5
Argentina,1861,,,,5
Argentina,1862,,,,6
Argentina,1863,,,,12
Argentina,1864,,,,12
Argentina,1865,,564,,15
Argentina,1866,,,,15
Argentina,1867,,298,,15
Argentina,1868,,623,,15
Argentina,1869,,751,,15
Argentina,1870,,746,,15
Argentina,1871,,126,,9
Argentina,1872,,115,,6
Argentina,1873,,175,,7
Argentina,1874,,115,,7
Argentina,1875,,90,,7
Argentina,1876,,100,,10
Argentina,1877,,104,,10
Argentina,1878,,974,,10
Argentina,1879,,896,,8
Argentina,1880,,784,,9
Argentina,1881,,1093,,9
Argentina,1882,,1234,,10
Argentina,1883,,1359,,8
Argentina,1884,,1530,,9
Argentina,1885,,1684,,9
Argentina,1886,,1538,,12
Argentina,1887,,1584,,10
Argentina,1888,,1708,,10
Argentina,1889,,1085,,10
Argentina,1890,,1082,,8
Argentina,1891,,1078,,8
Argentina,1892,,,,10
Argentina,1893,,1304,,11
Argentina,1894,,1335,,10
Argentina,1895,,1381,,15
Argentina,1896,,3191,,19
Argentina,1897,,3211,,20
Argentina,1898,,1848,,43
Argentina,1899,,1663,,18
Argentina,1900,,2406,,18
Argentina,1901,,2004,,18
Argentina,1902,,2283,,24
Argentina,1903,,2134,,24
Argentina,1904,,2173,,24
Argentina,1905,,2247,,24
Argentina,1906,,2640,,24
Argentina,1907,,2905,,24
Argentina,1908,,2905,,18
Argentina,1909,,3338,,27
Argentina,1910,,3504,,29
Argentina,1911,,3943,,30
Argentina,1912,,4568,,30
Argentina,1913,,4841,,30
Argentina,1914,,,12701,30
Argentina,1915,,,22273,30
Argentina,1916,,,10856,30
Argentina,1917,,,11805,30
Argentina,1918,,,12197,31
Argentina,1919,,,,28
Argentina,1920,,,27931,29
Argentina,1921,,,28783,30
Argentina,1922,,,26748,29
Argentina,1923,,,43032,34
Argentina,1924,,,37485,38
Argentina,1925,,,46190,37
Argentina,1926,,,59509,37
