Entity,Year,Share of GDP spent on healthcare,Share receiving any treatment for mental health,Mental health specialty (%),General medical (%),Human services (%),Complementary & alternative medicine (%),Severe mental health who received treatment in last year (%),Moderate mental health who received treatment in last year (%),Mild mental health who received treatment in last year (%)
Belgium,2003,8.9,10.9,47.9,75.5,3.7,6.5,60.9,36.5,13.9
China,2003,5.5,3.4,18,68.5,7.4,21.2,11,23.5,1.7
Colombia,2003,5.5,5.5,53.4,41.7,9.2,3.7,27.8,10.3,7.8
France,2003,9.6,11.3,39.4,78.4,3.4,4.3,48,29.4,21.1
Germany,2003,10.8,8.1,48.5,51.7,12.2,7.4,53.1,32.3,14.4
Israel,2003,8.4,8.8,50.5,40.4,18,9.6,40,23.9,20.3
Italy,2003,8.7,4.3,47.1,70.9,9.1,1.5,51,25.9,17.3
Japan,2003,8,5.6,42.5,50.2,15,11.1,24.2,24.2,12.8
Lebanon,2003,12.2,4.4,22.3,66.6,17.5,0,20.1,11.6,4
Mexico,2003,6.1,5.1,53.6,33.1,6.2,20,25.8,17.9,11.9
Netherlands,2003,8.9,10.9,51,71.2,5.4,13.5,50.4,31.3,16.1
New Zealand,2003,8.3,13.8,37.6,66.5,11.5,19,56.6,39.8,22.2
Nigeria,2003,3.4,1.6,8.3,66.6,30.9,1.1,21.3,13.8,10
South Africa,2003,8.6,15.4,16.3,66.4,24,23.8,26.2,26.6,23.1
Spain,2003,7.5,6.8,52.2,64.9,2.1,3.5,58.7,37.4,17.3
Ukraine,2003,4.3,7.2,17.2,55.4,24.1,14.4,25.7,21.2,7.6
United States,2003,13.9,17.9,48.8,51.8,18.8,15.6,59.7,39.9,26.2
