Entity,Year,IIASA rates of no education projections (IIASA (2015)),Total number of people aged 15+ with no education (millions) (IIASA (2015)),"No education, 1970-2050 (IIASA (2015))","Primary education, 1970-2050 (IIASA (2015))","Secondary education, 1970-2050 (IIASA (2015))","Tertiary education, 1970-2050 (IIASA (2015))","Aged 0-14, 1970-2050 (IIASA (2015))","Tertiary education for those aged 15+ (proportion), 1970-2050 (IIASA (2015))"
Africa,1970,,108.5529022,,,,,,
Africa,1975,,114.2972996,,,,,,
Africa,1980,,119.9812981,,,,,,
Africa,1985,,125.7315369,,,,,,
Africa,1990,,132.0366668,,,,,,
Africa,1995,,137.7942427,,,,,,
Africa,2000,,143.3881769,,,,,,
Africa,2005,,147.6567774,,,,,,
Africa,2010,,150.9997302,,,,,,
Africa,2015,,154.2116953,,,,,,
Africa,2020,,156.3857725,,,,,,
Africa,2025,,157.521609,,,,,,
Africa,2030,,157.3982138,,,,,,
Africa,2035,,155.8441533,,,,,,
Africa,2040,,152.8032478,,,,,,
Africa,2045,,148.3492346,,,,,,
Africa,2050,,142.5944,,,,,,
Argentina,1970,0.099872584,,1690426.384,10637606.67,4028973.5,568823.4476,7031590,3.360682741
Argentina,1975,0.085500987,,1576488.566,11203800.9,4895806.735,762153.7944,7607850,4.133547351
Argentina,1980,0.073567607,,1436029.392,11428847.87,5669244.795,985737.9474,8571100,5.049923244
Argentina,1985,0.062459837,,1306082.662,11682709.64,6662930.685,1259037.013,9392290,6.021000734
Argentina,1990,0.052273583,,1179669.963,11908364.14,7910040.791,1569155.104,10012300,6.953246384
Argentina,1995,0.043009109,,1060749.568,12207107.29,9470701.134,1924812.007,10145530,7.804334959
Argentina,2000,0.035656642,,947200.5086,12315110.49,10999891.71,2302287.284,10308390,8.666785187
Argentina,2005,0.029318724,,835886.5515,12263502.53,12595271.7,2815671.454,10178170,9.875968585
Argentina,2010,0.023895133,,729727.8169,12121773.18,14280026.83,3407235.227,10050060,11.15708328
Argentina,2015,0.019411247,,630038.1235,11750805.28,16010261.16,4066270.393,10003060,12.52803222
Argentina,2020,0.015755136,,538955.5825,11260482.21,17608021.33,4800788.518,10011340,14.0340089
Argentina,2025,0.012702461,,456951.1988,10710488.47,19214483.89,5591515.912,9841870,15.54345649
Argentina,2030,0.010175081,,383192.3784,10081504.77,20766564.72,6428623.245,9616100,17.0702147
Argentina,2035,0.008086346,,316784.087,9492606.354,22032823.8,7332970.2,9365820,18.71840632
Argentina,2040,0.006354942,,257098.7276,8844242.332,23051593.1,8303567.172,9161190,20.52467935
Argentina,2045,0.004918089,,204026.3,8150802.616,23818344.62,9311699.79,8930810,22.44601235
