Entity,Year,Increased risk of nicotine dependency,Increased risk of alcohol dependency,Increased risk of illicit drug dependency
Agoraphobia,2010,1.5,2.3,1.9
Antisocial personality disorder,2010,2,2.4,3.8
Any anxiety disorder,2010,1.5,3.2,3.5
Any disruptive behaviour disorder,2010,1.9,2.8,4.6
Any mood disorder,2010,1.8,1.8,2.1
Attention deficit hyperactivity (ADHD),2010,1.8,1.8,5.2
Bipolar disorder,2010,3.1,3.6,5.1
Conduct disorder,2010,2.1,2,3.5
"Dysthymia (persistent, mild depression)",2010,1.3,4.1,2.7
Generalized anxiety disorder (GAD),2010,1,1.6,1.2
Intermittent explosive disorder,2010,1.5,6,6.3
Major depression,2010,1.4,1.6,1.6
Oppositional defiant disorder,2010,2.2,3.9,3.9
Panic disorder,2010,1.2,3.2,1.1
Post-traumatic stress disorder (PTSD),2010,1.6,3.2,3.9
Separation anxiety,2010,1.4,2.7,3
Social phobia,2010,1.4,3.3,2.8
Specific phobia,2010,1.5,2.7,2.2
