Entity,Year,Mammals (total endemic),Mammals (threatened endemic),Birds (total endemic),Birds (threatened endemic),Crocodiles & Alligators (total endemic),Crocodiles & Alligators (threatened endemic),Chameleons (total endemic),Chameleons (threatened endemic),Amphibians (total endemic),Amphibians (threatened endemic),Groupers (total endemic),Groupers (threatened endemic),"Herrings, anchovies etc. (total endemic)","Herrings, anchovies etc. (threatened endemic)",Seahorses & Pipefishes (total endemic),Seahorses & Pipefishes (threatened endemic),Sturgeons (total endemic),Sturgeons (threatened endemic),Wrasses & Parrotfishes (total endemic),Wrasses & Parrotfishes (threatened endemic),Sharks & Rays (total endemic),Sharks & Rays (threatened endemic)
Afghanistan,2019,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Aland Island,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Algeria,2019,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,2019,10,0,17,8,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,2019,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Antigua and Barbuda,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2019,85,15,16,2,0,0,0,0,44,27,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2019,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,2019,252,52,358,27,1,0,0,0,209,47,4,0,16,0,50,1,0,0,46,2,147,16
Austria,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Azerbaijan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Bahamas,2019,2,1,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Belgium,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Belize,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Benin,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,2019,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Bhutan,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,2019,21,4,20,7,0,0,0,0,63,27,0,0,0,0,0,0,0,0,0,0,0,0
Bonaire Sint Eustatius and Saba,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Botswana,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,2019,191,50,252,98,0,0,0,0,548,31,0,0,5,0,1,0,0,0,10,1,17,6
British Indian Ocean Territory,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Burkina Faso,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,2019,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,2019,0,0,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,2019,17,13,6,5,0,0,3,2,51,40,0,0,1,0,0,0,0,0,0,0,0,0
Canada,2019,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Cape Verde,2019,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cayman Islands,2019,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Central African Republic,2019,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,2019,15,4,11,4,0,0,0,0,31,22,0,0,1,0,1,0,0,0,5,0,8,0
China,2019,82,17,69,18,1,1,0,0,164,74,0,0,3,0,1,0,7,2,1,0,8,0
Christmas Island,2019,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocos Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2019,44,14,91,52,0,0,0,0,366,174,0,0,0,0,0,0,0,0,1,1,4,1
Comoros,2019,4,2,20,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Congo,2019,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,2019,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Costa Rica,2019,5,0,8,6,0,0,0,0,40,25,0,0,0,0,0,0,0,0,1,1,0,0
Cote d'Ivoire,2019,1,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Cuba,2019,19,9,27,9,1,1,0,0,59,49,0,0,0,0,0,0,0,0,0,0,0,0
Curacao,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of Congo,2019,30,4,14,8,0,0,3,2,49,10,0,0,4,2,0,0,0,0,0,0,0,0
Denmark,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Djibouti,2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,2019,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,2019,1,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,2019,33,13,42,28,0,0,0,0,160,98,0,0,2,1,0,0,0,0,1,0,5,1
Egypt,2019,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
El Salvador,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,2019,3,3,4,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,2019,38,17,18,8,0,0,3,0,25,12,0,0,0,0,0,0,0,0,0,0,0,0
Faeroe Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,2019,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fiji,2019,1,1,36,7,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,1,0
Finland,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2019,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,2,0,0
French Guiana,2019,0,0,1,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,1,0
French Polynesia,2019,0,0,44,20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,1,0,0
French Southern Territories,2019,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gabon,2019,2,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Germany,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Ghana,2019,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,2019,2,1,0,0,0,0,0,0,3,3,0,0,2,2,0,0,2,0,0,0,0,0
Greenland,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,2019,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,2019,1,1,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Guam,2019,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,2019,5,1,1,0,0,0,0,0,36,26,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,2019,2,2,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,2019,0,0,0,0,0,0,0,0,27,12,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,2019,2,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0
Heard Island and McDonald Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,2019,6,1,1,1,0,0,0,0,41,36,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,2019,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0
Hungary,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Iceland,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2019,47,28,74,23,0,0,0,0,167,70,0,0,5,0,1,1,0,0,2,0,5,1
Indonesia,2019,281,123,516,106,0,0,0,0,193,26,0,0,10,1,3,0,0,0,12,0,15,4
Iran,2019,8,1,1,0,0,0,0,0,4,2,0,0,0,0,0,0,5,0,0,0,0,0
Iraq,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Isle of Man,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,2019,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2019,4,1,0,0,0,0,0,0,13,6,0,0,0,0,0,0,2,0,0,0,0,0
Jamaica,2019,7,4,31,5,0,0,0,0,21,15,0,0,0,0,0,0,0,0,0,0,0,0
Japan,2019,43,17,24,8,0,0,0,0,46,18,1,0,0,0,3,0,2,0,5,0,18,0
Jersey,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kazakhstan,2019,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Kenya,2019,19,5,12,7,0,0,9,1,17,7,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,2019,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,2019,5,2,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,2019,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
