Entity,Year,"Literacy rates (World Bank, CIA World Factbook, and other sources)"
Afghanistan,1979,18.157681
Afghanistan,2011,31.741119
Afghanistan,2015,38.168041
Albania,2001,98.712982
Albania,2008,95.938637
Albania,2011,96.845299
Albania,2012,97.246971
Albania,2015,97.553902
Algeria,1987,49.630878
Algeria,2002,69.873497
Algeria,2006,72.648682
Algeria,2008,75.136047
Algeria,2015,79.608398
American Samoa,1980,97.344162
Andorra,2011,100
Angola,2001,67.405418
Angola,2014,70.991089
Angola,2015,71.164162
Anguilla,1984,95
Antigua and Barbuda,2001,98.949997
Antigua and Barbuda,2014,98.949997
Arab World,1990,54.593472
Arab World,2000,66.006065
Arab World,2010,77.364586
Argentina,1900,51.299999
Argentina,1910,60.400002
Argentina,1920,68.199997
Argentina,1930,74.900002
Argentina,1940,81.699997
Argentina,1950,87.599998
Argentina,1960,91.400002
Argentina,1970,93
Argentina,1979,94.199997
Argentina,1980,93.912857
Argentina,1991,96.128197
Argentina,2001,97.193314
Argentina,2014,98.034019
Argentina,2015,98.089973
Armenia,1989,98.751961
Armenia,2001,99.400162
Armenia,2011,99.744408
Armenia,2015,99.768417
Aruba,2000,97.291252
Aruba,2010,96.822639
Aruba,2015,97.5242
Australia,2003,99
Austria,2011,98
Azerbaijan,1999,98.791801
Azerbaijan,2007,99.601913
Azerbaijan,2009,99.759842
Azerbaijan,2010,99.771141
Azerbaijan,2011,99.778633
Azerbaijan,2012,99.775772
Azerbaijan,2013,99.78936
Azerbaijan,2014,99.788986
Azerbaijan,2015,99.80526
Bahamas,2003,95.599998
Bahrain,1981,69.75351
Bahrain,1991,84.013832
Bahrain,2001,86.548737
Bahrain,2010,94.556793
Bahrain,2015,95.717262
Bangladesh,1981,29.22723
Bangladesh,1991,35.319302
Bangladesh,2001,47.4855
Bangladesh,2014,60.575218
Bangladesh,2015,61.493832
Barbados,1970,99.268082
Barbados,2002,99.699997
Belarus,1989,97.883369
Belarus,1999,99.590729
Belarus,2009,99.617058
Belarus,2015,99.722038
Belgium,1475,10
Belgium,1550,17
Belgium,1650,25
Belgium,1750,13
Belgium,2003,99
Belize,1991,70.298424
Belize,2015,82.776817
Benin,1979,16.48279
Benin,1992,27.245251
Benin,2002,34.657848
Benin,2006,28.70211
Benin,2015,38.44714
Bermuda,2005,98
Bhutan,2005,52.81469
Bhutan,2012,57.0336
Bhutan,2015,63.906818
Bolivia,1900,18
Bolivia,1910,20
Bolivia,1920,22
Bolivia,1930,25
Bolivia,1940,28
Bolivia,1950,32
Bolivia,1960,44
Bolivia,1970,58
Bolivia,1971,59
Bolivia,1972,60
Bolivia,1973,61
Bolivia,1974,62
Bolivia,1975,63
Bolivia,1976,63.208149
Bolivia,1992,79.991768
Bolivia,2001,86.723671
Bolivia,2007,90.743469
Bolivia,2008,90.698112
Bolivia,2009,91.167831
Bolivia,2011,92.226151
Bolivia,2012,94.460571
Bolivia,2015,95.141922
Bosnia and Herzegovina,1991,87.82251
Bosnia and Herzegovina,2000,96.663101
Bosnia and Herzegovina,2014,98.377647
Bosnia and Herzegovina,2015,98.485764
Botswana,1991,68.58091
Botswana,2003,81.188713
Botswana,2014,87.707512
Botswana,2015,88.224411
Brazil,1900,35
Brazil,1910,35
Brazil,1920,35
Brazil,1930,39
Brazil,1940,44
Brazil,1950,49
Brazil,1960,60
Brazil,1970,68
Brazil,1979,75
Brazil,1980,74.586731
Brazil,2000,86.367882
Brazil,2004,88.616241
Brazil,2006,89.615227
Brazil,2007,90.009369
Brazil,2008,90.036621
Brazil,2009,90.29821
Brazil,2010,90.379181
Brazil,2011,91.41124
Brazil,2012,91.337852
Brazil,2013,91.484238
Brazil,2015,92.586807
British Virgin Islands,1991,97.800003
Brunei,1981,77.834213
Brunei,1991,87.804176
Brunei,2001,92.671127
Brunei,2011,96.085564
Brunei,2015,96.656532
Bulgaria,2001,98.20356
Bulgaria,2011,98.352448
Bulgaria,2015,98.38858
Burkina Faso,1975,8.6851501
Burkina Faso,1991,13.56923
Burkina Faso,1996,12.84817
Burkina Faso,2003,21.82292
Burkina Faso,2005,23.55372
Burkina Faso,2006,22.47258
Burkina Faso,2007,28.72921
Burkina Faso,2014,34.599411
Burkina Faso,2015,37.7467
Burundi,1979,22.508551
Burundi,1990,37.38472
Burundi,2000,59.303619
Burundi,2008,86.947868
Burundi,2015,85.496094
Cambodia,1998,67.33503
Cambodia,2004,73.609947
Cambodia,2008,77.58654
Cambodia,2009,73.900032
Cambodia,2015,78.34594
Cameroon,1976,41.216209
Cameroon,2000,68.409157
Cameroon,2007,70.679939
Cameroon,2010,71.290512
Cameroon,2015,74.98558
Canada,2003,99
Cape Verde,1990,62.79686
Cape Verde,2004,80.019722
Cape Verde,2012,85.327789
Cape Verde,2015,88.465424
Caribbean small states,2000,88.137802
Caribbean small states,2010,91.760712
Cayman Islands,2007,98.867821
Central African Republic,1975,18.23617
Central African Republic,1988,33.62442
Central African Republic,2000,50.645168
Central African Republic,2010,36.752609
Central African Republic,2015,36.752609
Central Europe and the Baltics,1990,98.594963
Central Europe and the Baltics,2000,98.96019
Central Europe and the Baltics,2010,99.360962
Chad,1993,10.89465
Chad,2000,25.654209
Chad,2004,28.38143
Chad,2014,39.049671
Chad,2015,40.018242
Chile,1900,43
Chile,1910,53
Chile,1920,63
Chile,1930,75
Chile,1940,73
Chile,1950,79
Chile,1960,84
Chile,1970,88
Chile,1979,91
Chile,1980,92
Chile,1982,91.128403
Chile,1992,94.291138
Chile,2002,95.716621
Chile,2008,98.64901
Chile,2009,98.55368
Chile,2011,96.703011
Chile,2013,96.270683
Chile,2015,96.627548
China,1982,65.505089
China,1990,77.785057
China,2000,90.920212
China,2010,95.124481
China,2015,96.357452
Colombia,1900,34
Colombia,1910,39
Colombia,1920,44
Colombia,1930,52
Colombia,1940,57
Colombia,1950,62
Colombia,1960,70
Colombia,1970,78
Colombia,1971,79
Colombia,1972,79
Colombia,1973,80
Colombia,1974,81
Colombia,1975,81
Colombia,1976,82
Colombia,1977,82
Colombia,1978,83
Colombia,1979,84
Colombia,1980,84
Colombia,1981,85
Colombia,1993,91.063087
Colombia,1996,91.207161
Colombia,2004,92.80378
Colombia,2005,92.848663
Colombia,2006,92.299683
Colombia,2007,92.651787
Colombia,2008,93.378181
Colombia,2009,93.24469
Colombia,2010,93.37233
Colombia,2011,93.580528
Colombia,2014,94.183456
Colombia,2015,94.577057
Comoros,1980,47.919231
Comoros,2000,68.489227
Comoros,2014,77.573273
Comoros,2015,78.13739
Congo,2011,79.311172
Congo,2015,79.311172
Cook Islands,2011,95
Costa Rica,1900,36
Costa Rica,1910,46
Costa Rica,1920,57
Costa Rica,1930,67
Costa Rica,1940,73
Costa Rica,1950,79
Costa Rica,1960,83
Costa Rica,1970,88
Costa Rica,1971,89
Costa Rica,1972,89
Costa Rica,1973,89
Costa Rica,1974,90
Costa Rica,1975,90
Costa Rica,1976,90
Costa Rica,1977,91
