Entity,Year,"Current health expenditure per capita, PPP (current international $)"
Afghanistan,2015,183.9278576
Albania,2015,773.6782919
Algeria,2015,1031.16964
Andorra,2015,5948.635486
Angola,2015,195.5144172
Antigua and Barbuda,2015,1105.111025
Arab World,2015,868.8511709
Argentina,2015,1389.840341
Armenia,2015,883.2206519
Australia,2015,4491.629858
Austria,2015,5138.184731
Azerbaijan,2015,1191.289459
Bahamas,2015,1699.052483
Bahrain,2015,2453.155914
Bangladesh,2015,88.03535581
Barbados,2015,1233.55044
Belarus,2015,1084.619757
Belgium,2015,4782.361046
Belize,2015,523.7288925
Benin,2015,84.46045434
Bhutan,2015,287.1286279
Bolivia,2015,445.8226242
Bosnia and Herzegovina,2015,1101.792914
Botswana,2015,969.9563729
Brazil,2015,1391.52257
Brunei,2015,2083.430502
Bulgaria,2015,1491.868089
Burkina Faso,2015,96.10067087
Burundi,2015,63.73553919
Cambodia,2015,209.6168627
Cameroon,2015,162.8401984
Canada,2015,4600.088285
Cape Verde,2015,310.4060324
Caribbean small states,2015,965.9328881
Central African Republic,2015,31.85577603
Central Europe and the Baltics,2015,1708.942672
Chad,2015,99.77119413
Chile,2015,1903.118645
China,2015,762.2437789
Colombia,2015,852.8121654
Comoros,2015,121.0422012
Congo,2015,202.6585841
Costa Rica,2015,1286.462817
Cote d'Ivoire,2015,189.6011903
Croatia,2015,1656.426156
Cyprus,2015,2136.797759
Czech Republic,2015,2469.851757
Democratic Republic of Congo,2015,33.97361777
Denmark,2015,5083.20928
Djibouti,2015,146.6987696
Dominica,2015,585.7253903
Dominican Republic,2015,873.1177009
Early-demographic dividend,2015,417.6341963
East Asia & Pacific,2015,959.5708087
East Asia & Pacific (IDA & IBRD countries),2015,646.0763501
East Asia & Pacific (excluding high income),2015,646.0661412
Ecuador,2015,980.2299724
Egypt,2015,495.1650809
El Salvador,2015,578.4609406
Equatorial Guinea,2015,789.5788502
Eritrea,2015,56.22672246
Estonia,2015,1886.814387
Ethiopia,2015,65.60194586
Euro area,2015,4162.582161
Europe & Central Asia,2015,2645.851841
Europe & Central Asia (IDA & IBRD countries),2015,1087.092666
Europe & Central Asia (excluding high income),2015,1023.922125
European Union,2015,3752.988466
Fiji,2015,331.3576231
Finland,2015,3996.436879
Fragile and conflict affected situations,2015,183.1809803
France,2015,4542.307106
Gabon,2015,480.8514802
Gambia,2015,114.0747188
Georgia,2015,717.7162423
Germany,2015,5356.811177
Ghana,2015,249.328504
