Entity,Year,Literacy rate (CIA Factbook (2016))
Afghanistan,2000,28.1
Albania,2011,96.8
Algeria,2006,72.6
American Samoa,1980,97
Andorra,2011,100
Angola,2011,70.4
Anguilla,1984,95
Antigua and Barbuda,2011,99
Argentina,2011,97.9
Armenia,2011,99.6
Aruba,2010,96.8
Australia,2003,99
Austria,2011,98
Azerbaijan,2010,99.8
Bahamas,2003,95.6
Bahrain,2010,94.6
Bangladesh,2011,57.7
Barbados,2002,99.7
Belarus,2009,99.6
Belgium,2003,99
Belize,2000,76.9
Benin,2010,42.4
Bermuda,2005,98
Bhutan,2005,52.8
Bolivia,2009,91.2
Bosnia and Herzegovina,2011,98
Botswana,2011,85.1
Brazil,2010,90.4
British Virgin Islands,1991,97.8
Brunei,2011,95.4
Bulgaria,2011,98.4
Burkina Faso,2007,28.7
Burundi,2010,67.2
Cambodia,2009,73.9
Cameroon,2010,71.3
Canada,2003,99
Cape Verde,2011,84.9
Cayman Islands,2007,98.9
Central African Republic,2011,56.6
Chad,2011,35.4
Chile,2009,98.6
China,2010,95.1
Colombia,2011,93.6
Comoros,2011,75.5
Congo,2003,83.8
Cook Islands,2011,95
Costa Rica,2011,96.3
Cote d'Ivoire,2011,56.9
Croatia,2011,98.9
Cuba,2011,99.8
Cyprus,2011,98.7
Czech Republic,2011,99
Democratic Republic of Congo,2010,66.8
Denmark,2003,99
Djibouti,2003,67.9
Dominica,2003,94
Dominican Republic,2011,90.1
Ecuador,2011,91.6
Egypt,2012,73.9
El Salvador,2010,84.5
Equatorial Guinea,2011,94.2
Eritrea,2011,68.9
Estonia,2011,99.8
Ethiopia,2007,39
Fiji,2003,93.7
Finland,2000,100
France,2003,99
French Polynesia,1977,98
Gabon,2011,89
Gambia,2011,51.1
Georgia,2011,99.7
Germany,2003,99
Ghana,2010,71.5
Gibraltar,2011,80
Greece,2011,97.3
Greenland,2001,100
Grenada,2003,96
Guam,1990,99
Guatemala,2011,75.9
Guinea,2010,41
Guinea-Bissau,2011,55.3
Guyana,2002,91.8
Haiti,2006,48.7
Honduras,2011,85.1
Hong Kong,2002,93.5
Hungary,2011,99
Iceland,2003,99
India,2006,62.8
Indonesia,2011,92.8
Iran,2008,85
Iraq,2011,78.5
Ireland,2003,99
Israel,2004,97.1
Italy,2011,99
Jamaica,2011,87
Japan,2002,99
Jordan,2011,95.9
Kazakhstan,2009,99.7
Kenya,2010,87.4
Kosovo,2007,91.9
Kuwait,2008,93.9
Kyrgyzstan,2009,99.2
Laos,2005,72.7
Latvia,2011,99.8
Lebanon,2007,89.6
Lesotho,2010,89.6
Liberia,2010,60.8
Libya,2011,89.5
Liechtenstein,2011,100
Lithuania,2011,99.7
Luxembourg,2000,100
Macao,2011,95.6
Macedonia,2011,97.4
Madagascar,2009,64.5
Malawi,2010,74.8
Malaysia,2010,93.1
Maldives,2006,98.4
Mali,2011,33.4
Malta,2005,92.4
Marshall Islands,1999,93.7
Mauritania,2011,58.6
Mauritius,2011,88.8
Mexico,2011,93.5
Micronesia (country),1980,89
Moldova,2011,99
Monaco,2003,99
Mongolia,2011,97.4
Montenegro,2011,98.5
Montserrat,1970,97
Morocco,2011,67.1
Mozambique,2010,56.1
Myanmar,2011,92.7
Namibia,2010,88.8
Nepal,2011,57.4
Netherlands,2003,99
New Caledonia,1996,96.2
New Zealand,2003,99
Nicaragua,2005,78
Niger,2005,28.7
Nigeria,2010,61.3
Niue,2011,95
North Korea,2008,100
Northern Mariana Islands,1980,97
Norway,2011,100
Oman,2010,86.9
Pakistan,2009,54.9
Palau,1980,92
Panama,2010,94.1
Papua New Guinea,2011,62.4
Paraguay,2010,93.9
Peru,2007,89.6
Philippines,2008,95.4
Poland,2011,99.7
Portugal,2011,95.4
Puerto Rico,2011,90.3
Qatar,2010,96.3
Romania,2011,97.7
Russia,2010,99.7
Rwanda,2010,71.1
Saint Helena,1987,97
Saint Kitts and Nevis,2003,97.8
Saint Lucia,2001,90.1
Saint Pierre and Miquelon,1982,99
Saint Vincent and the Grenadines,1970,96
Samoa,2003,98.8
San Marino,2011,96
Sao Tome and Principe,2008,69.5
Saudi Arabia,2011,87.2
Senegal,2009,49.7
Serbia,2011,98
Seychelles,2011,91.8
Sierra Leone,2011,43.3
Singapore,2010,95.9
Slovakia,2004,99.6
Slovenia,2011,99.7
Solomon Islands,2011,84.1
Somalia,2001,37.8
South Africa,2011,93
South Korea,2002,97.9
South Sudan,2009,27
Spain,2010,97.7
Sri Lanka,2010,91.2
Sudan,2011,71.9
Suriname,2010,94.7
Swaziland,2011,87.8
Sweden,2003,99
Switzerland,2003,99
Syria,2011,84.1
Taiwan,2003,96.1
Tajikistan,2011,99.7
Tanzania,2010,67.8
Thailand,2005,93.5
Timor,2010,58.3
Togo,2011,60.4
Tonga,2006,99
Trinidad and Tobago,2011,98.8
Tunisia,2010,79.1
Turkey,2011,94.1
Turkmenistan,2011,99.6
Turks and Caicos Islands,1970,98
Uganda,2010,73.2
Ukraine,2011,99.7
United Arab Emirates,2005,90
United Kingdom,2003,99
United States,2003,99
Uruguay,2010,98.1
Uzbekistan,2011,99.4
Vanuatu,2011,83.2
Vatican,2011,100
Venezuela,2009,95.5
Vietnam,2011,93.4
Wallis and Futuna,1969,50
Yemen,2011,65.3
Zambia,2007,61.4
Zimbabwe,2011,83.6
