Entity,Year,Number of people living in extreme poverty (OWID based on World Bank (2016) and Bourguignon and Morrisson (2002)),Number of people not in extreme poverty (OWID based on World Bank (2016) and Bourguignon and Morrisson (2002))
World,1820,964925107.9,117436202.1
World,1850,1098533404,164148669.6
World,1870,1154404857,244873757.6
World,1890,1225528033,331686748.6
World,1910,1295000000,455000000
World,1929,1351730488,693247557.3
World,1950,1596420000,923580000
World,1960,1638580593,1387422349
World,1970,1766226097,1924946519
World,1980,1920141041,2519491424
World,1981,1909109363,2609492679
World,1984,1870044027,2895613535
World,1987,1784483853,3249321091
World,1990,1903515870,3406151829
World,1993,1886574370,3683471010
World,1996,1709725338,4105666967
World,1999,1731887450,4317317753
World,2002,1611410403,4670891364
World,2005,1352824439,5166811411
World,2008,1223559278,5540173601
World,2010,1090738722,5838986321
World,2011,962943534.2,6050483518
World,2012,908480058,6189020395
World,2013,794920050.7,6302580402
World,2015,733477315.5,6615994784
