Entity,Year,Income share of the top 1% (%)
Denmark,1903,16.21
Denmark,1908,16.45
Denmark,1915,24.02
Denmark,1917,27.61
Denmark,1918,26.08
Denmark,1919,21.28
Denmark,1920,15.32
Denmark,1921,12.78
Denmark,1922,12.75
Denmark,1923,13.86
Denmark,1924,13.78
Denmark,1925,12.54
Denmark,1926,12.1
Denmark,1927,12.96
Denmark,1928,13.25
Denmark,1929,13.29
Denmark,1930,13.28
Denmark,1931,13.44
Denmark,1932,13.53
Denmark,1933,13.86
Denmark,1934,14.36
Denmark,1935,14.2
Denmark,1936,14.43
Denmark,1937,14.31
Denmark,1938,13.33
Denmark,1939,13.46
Denmark,1940,13.82
Denmark,1941,13.68
Denmark,1942,13.4
Denmark,1943,12.06
Denmark,1944,11.16
Denmark,1945,11.37
Denmark,1946,10.6
Denmark,1947,10.66
Denmark,1948,9.87
Denmark,1949,9.65
Denmark,1950,12.18
Denmark,1951,11.94
Denmark,1952,11.67
Denmark,1953,11.6
Denmark,1954,11.17
Denmark,1955,11.29
Denmark,1956,11.55
Denmark,1957,10.67
Denmark,1958,11.11
Denmark,1959,11.27
Denmark,1960,11.12
Denmark,1961,10.92
Denmark,1962,10.96
Denmark,1963,10.45
Denmark,1964,10.2
Denmark,1965,10.05
Denmark,1966,10.08
Denmark,1967,10.06
Denmark,1968,10.53
Denmark,1970,10.53
Denmark,1971,9.4499998
Denmark,1972,9.4499998
Denmark,1974,8.3800003
Denmark,1975,7.8000002
Denmark,1976,7.5999998
Denmark,1977,7.0299998
Denmark,1978,6.6200003
Denmark,1979,6.4400002
Denmark,1980,6.2700003
Denmark,1981,6.16
Denmark,1982,6.3000001
Denmark,1983,7.48
Denmark,1984,8.14
Denmark,1985,8.6000003
Denmark,1986,7.7200003
Denmark,1987,7.6700002
Denmark,1988,7.2099999
Denmark,1989,7.48
Denmark,1990,7.5000003
Denmark,1991,7.4600004
Denmark,1992,7.5099997
Denmark,1993,7.5199999
Denmark,1994,8.2800001
Denmark,1995,8.4200002
Denmark,1996,8.6599998
Denmark,1997,9.4400004
Denmark,1998,9.2699997
Denmark,1999,10.28
Denmark,2000,10.54
Denmark,2001,9.1700003
Denmark,2002,9.0599999
Denmark,2003,8.3400004
Denmark,2004,8.8299997
Denmark,2005,9.9299997
Denmark,2006,10.35
Denmark,2007,9.9100001
Denmark,2008,9.4300002
Denmark,2009,8.6300001
Denmark,2010,10.36
Denmark,2011,10.41
Denmark,2012,10.72
Denmark,2013,11.17
Denmark,2014,11.72
Denmark,2015,11.57
Denmark,2016,11.32
Denmark,2017,10.71
France,1900,22.050001
France,1905,22.95
France,1915,19.83
France,1916,22.840001
France,1917,22.6
France,1918,20.09
France,1919,20.95
