Entity,Year,Number of people with improved water sources (World Bank and UN),Number of people without improved water sources (World Bank and UN)
World,1990,4039554769,1270112930
World,1991,4139608907,1258719846
World,1992,4242980610,1242134666
World,1993,4339529700,1230515680
World,1994,4448544159,1204771734
World,1995,4549627361,1185495723
World,1996,4650180020,1165212285
World,1997,4750000952,1144154153
World,1998,4851052995,1120829830
World,1999,4952690631,1096514572
World,2000,5054308629,1072313492
World,2001,5156305581,1048005158
World,2002,5260198011,1022103756
World,2003,5364611787,996152896.5
World,2004,5470895112,968947295.9
World,2005,5577315377,942320472.7
World,2006,5685429800,914790446.6
World,2007,5795046518,886560802
World,2008,5904447270,859285608.7
World,2009,6015565877,830913643.9
World,2010,6125431789,804293254.3
World,2011,6234624446,778802605.6
World,2012,6351513693,745986760.1
World,2013,6467986711,713728427.8
World,2014,6579332711,686453234.7
World,2015,6686016809,663455290.2
