Entity,Year,Child labor (World Bank (2015)),Child labour (work only) (World Bank (2015)),Child labor (boys) (World Bank (2015)),Child labor (girls) (World Bank (2015))
Afghanistan,2011,9.3,50,13.1,5.1
Albania,2000,36.58605,43.13078,41.1191,31.84332
Albania,2005,22,6.7,25,18.8
Albania,2010,5.5,5.1,6.4,4.6
Angola,2001,30.1,26.6,30,30.1
Argentina,2004,12.9,4.8,15.7,9.8
Argentina,2012,7,3.2,8.1,5.8
Armenia,2010,9.9,0,12,7.5
Azerbaijan,2000,9.729839,4.175365,12.01427,7.330279
Azerbaijan,2005,5.2,6.3,5.8,4.5
Bangladesh,2003,17.53850332,63.29408026,20.90367561,13.91297156
Bangladesh,2006,16.2,37.8,25.7,6.4
Belarus,2005,11.7,0,12.1,11.2
Belarus,2012,2.3,0,2,2.6
Benin,2006,74.4,36.1,72.8,76.1
Benin,2012,24.1,32.4,24.4,23.7
Bolivia,2002,23.2,15.2,24,22.5
Bolivia,2005,22,8.1,23.9,20.1
Bolivia,2008,32.1,5.2,33,31.1
Bolivia,2009,20.2,7.2,21.8,18.4
Bosnia and Herzegovina,2000,20.2,3.96039604,22.8,17.6
Bosnia and Herzegovina,2006,10.6,0.1,11.7,9.5
Brazil,2004,7,7.2,9.4,4.60644
Brazil,2007,6.1,6.6,8.1,4
Brazil,2008,5.2,4.8,6.9,3.5
Brazil,2009,5,5.2,6.6,3.3
Brazil,2011,4.2,3.593684031,5.75,2.59
Burkina Faso,2003,50,98.1,49,51
Burkina Faso,2006,42.1,67.7,49,34.5
Burkina Faso,2010,50.3,56.8333142,55.6,44.8
Burundi,2000,36.96453,48.31579,38.38014,35.67728
Burundi,2005,11.7,38.9,12.5,11
Burundi,2010,31.9,18.3,31.3,32.4
Cambodia,2001,52.3,16.5,52.4,52.1
Cambodia,2004,48.9,13.8,49.6,48.1
Cambodia,2009,34.5,18,35,33.9
Cambodia,2012,11.5,21.1,11,12.1
Cameroon,2001,15.9114,52.49441,14.46574,17.40652
Cameroon,2007,43.4,21.9,43.5,43.4
Cameroon,2011,62,15,63.6,60.4
Central African Republic,2000,67,54.92537313,66.5,67.6
Central African Republic,2010,37.2,24.81334438,36.6,37.9
Chad,2004,60.4,49.1,64.4,56.2
Chad,2010,33.1,44.3,32.1,34.2
Chile,2003,4.1,3.2,5.1,3.1
Chile,2012,4.5,0.9,6.2,2.8
Colombia,2005,4,32.8,6.2,1.8
