Entity,Year,age-standardized_death_rate_per_100k_both_sexes,age-standardized_death_rate_per_100k_female,age-standardized_death_rate_per_100k_male
Albania,1987,21.17,5.95,38.99
Albania,1988,23.05,6.97,41.27
Albania,1989,19.31,4.42,36.56
Albania,1992,16.94,5.68,29.7
Albania,1993,15.85,5.41,27.44
Albania,1994,14.0,5.54,23.65
Albania,1995,20.26,6.23,36.64
Albania,1996,22.52,8.27,39.12
Albania,1997,22.97,8.13,40.96
Albania,1998,22.82,8.48,39.86
Albania,1999,23.07,8.4,40.81
Albania,2000,23.08,8.5,39.09
Albania,2001,18.06,6.68,30.61
Albania,2002,21.0,9.25,34.0
Albania,2003,22.27,9.51,36.8
Albania,2004,19.89,8.95,32.13
Albania,2005,17.12,6.38,28.65
Albania,2006,17.37,7.28,28.07
Albania,2007,15.27,5.45,25.83
Albania,2008,17.81,6.55,29.83
Albania,2009,16.92,6.85,27.84
Albania,2010,9.56,0.51,19.26
Antigua and Barbuda,1961,2.39,0.0,5.18
Antigua and Barbuda,1962,0.0,0.0,0.0
Antigua and Barbuda,1963,14.78,17.43,14.92
Antigua and Barbuda,1964,7.9,0.0,19.19
Antigua and Barbuda,1966,7.94,7.71,11.05
Antigua and Barbuda,1969,7.45,3.72,14.89
Antigua and Barbuda,1970,10.23,0.0,23.33
Antigua and Barbuda,1971,23.95,41.62,31.78
Antigua and Barbuda,1972,11.92,4.12,25.96
Antigua and Barbuda,1973,4.8,7.46,1.96
Antigua and Barbuda,1974,4.62,4.1,4.25
Antigua and Barbuda,1975,6.96,3.57,13.27
Antigua and Barbuda,1976,0.0,0.0,0.0
Antigua and Barbuda,1977,0.0,0.0,0.0
Antigua and Barbuda,1978,4.4,3.8,4.98
Antigua and Barbuda,1983,0.0,0.0,0.0
Antigua and Barbuda,1985,3.74,3.19,4.28
Antigua and Barbuda,1986,5.95,0.0,12.72
Antigua and Barbuda,1987,3.84,0.0,8.29
Antigua and Barbuda,1988,16.28,15.99,18.14
Antigua and Barbuda,1989,5.13,3.22,7.47
Antigua and Barbuda,1990,13.7,3.75,25.01
Antigua and Barbuda,1991,4.77,3.86,5.42
Antigua and Barbuda,1992,16.69,11.28,24.36
Antigua and Barbuda,1993,3.28,3.32,3.29
Antigua and Barbuda,1994,5.12,0.0,11.31
Antigua and Barbuda,1995,11.8,3.35,21.33
Antigua and Barbuda,1998,3.4,0.0,7.61
Antigua and Barbuda,1999,12.06,7.31,17.96
Antigua and Barbuda,2000,6.96,6.43,7.59
Antigua and Barbuda,2001,2.92,2.96,2.91
Antigua and Barbuda,2002,1.65,2.97,0.0
Antigua and Barbuda,2003,7.52,2.18,14.02
Antigua and Barbuda,2004,3.27,3.11,3.57
Antigua and Barbuda,2005,5.65,2.79,8.77
Antigua and Barbuda,2006,4.88,2.52,8.19
Antigua and Barbuda,2007,8.76,6.59,11.28
Antigua and Barbuda,2008,4.81,4.58,5.05
Antigua and Barbuda,2009,13.12,3.85,23.53
Antigua and Barbuda,2012,9.37,2.2,18.12
Antigua and Barbuda,2013,3.28,2.23,4.64
Antigua and Barbuda,2014,3.05,4.11,1.89
Antigua and Barbuda,2015,1.92,0.0,4.36
Antigua and Barbuda,2016,8.88,1.91,16.83
Antigua and Barbuda,2017,4.93,1.93,8.37
Argentina,1966,24.5,5.67,44.43
Argentina,1967,27.83,6.15,50.98
Argentina,1968,29.05,7.43,52.27
Argentina,1969,28.97,7.06,52.59
Argentina,1970,28.31,6.64,52.6
Argentina,1977,25.21,6.26,46.37
Argentina,1978,25.49,6.35,47.01
Argentina,1979,25.02,6.13,46.25
Argentina,1980,25.36,5.95,48.43
Argentina,1981,26.39,6.34,49.64
Argentina,1982,23.11,6.17,42.52
Argentina,1983,24.06,6.27,44.43
Argentina,1984,24.27,6.66,45.2
Argentina,1985,23.73,6.16,44.69
Argentina,1986,23.24,6.13,43.59
Argentina,1987,24.51,6.43,46.12
Argentina,1988,23.73,6.84,44.15
Argentina,1989,23.37,6.67,43.57
Argentina,1990,22.44,6.62,41.63
Argentina,1991,23.71,7.17,44.36
Argentina,1992,22.86,7.05,42.6
Argentina,1993,22.77,7.21,42.34
Argentina,1994,22.93,7.36,42.55
Argentina,1995,22.28,7.23,41.49
Argentina,1996,22.41,7.4,41.65
Argentina,1997,22.16,7.33,40.57
Argentina,1998,22.35,8.03,40.71
Argentina,1999,22.36,8.03,40.84
Argentina,2000,21.45,7.66,39.49
Argentina,2001,20.47,7.89,36.77
Argentina,2002,20.3,8.04,36.11
Argentina,2003,20.36,8.25,36.06
Argentina,2004,20.23,8.71,35.18
Argentina,2005,19.96,8.71,34.58
Argentina,2006,20.35,9.1,35.04
Argentina,2007,19.89,9.1,33.99
Argentina,2008,19.75,9.33,33.33
Argentina,2009,19.44,9.49,32.48
Argentina,2010,19.1,9.59,31.72
Argentina,2011,19.32,10.04,31.57
Argentina,2012,18.88,9.99,30.61
Argentina,2013,18.61,10.43,29.42
Argentina,2014,18.36,10.62,28.71
Argentina,2015,18.75,10.69,29.57
Argentina,2016,17.91,10.5,27.84
Argentina,2017,17.64,10.48,27.18
Argentina,2018,16.85,10.11,25.88
Argentina,2019,16.55,10.4,24.76
Armenia,1981,17.48,4.69,35.92
Armenia,1982,18.01,5.5,35.65
Armenia,1985,21.08,6.31,41.22
Armenia,1986,21.81,7.2,40.98
Armenia,1987,20.88,6.28,39.94
Armenia,1988,24.73,7.05,47.72
Armenia,1989,24.05,6.9,46.32
Armenia,1990,26.46,7.4,51.36
Armenia,1991,25.15,6.01,49.99
Armenia,1992,23.89,7.44,45.04
Armenia,1993,21.79,6.69,40.77
Armenia,1994,19.51,5.89,36.68
Armenia,1995,19.32,4.41,37.88
Armenia,1996,19.66,4.45,38.72
Armenia,1997,20.75,4.7,40.69
Armenia,1998,19.92,5.43,38.05
Armenia,1999,20.79,4.98,41.0
Armenia,2000,21.25,6.01,40.77
Armenia,2001,21.64,5.88,42.02
Armenia,2002,24.63,6.74,48.19
Armenia,2003,24.68,6.63,49.22
Armenia,2006,32.71,9.71,63.47
Armenia,2007,31.89,8.54,63.12
Armenia,2008,32.69,10.35,64.3
Armenia,2009,34.23,11.09,65.75
Armenia,2010,31.63,8.81,62.31
Armenia,2011,31.32,9.41,61.25
Armenia,2012,28.96,8.92,56.1
Armenia,2013,26.91,8.18,52.58
Armenia,2014,28.8,7.99,57.37
Armenia,2015,30.04,9.16,59.03
Armenia,2016,28.21,7.71,56.99
Armenia,2017,26.49,9.04,51.12
Armenia,2018,24.14,7.31,48.05
Armenia,2019,27.88,9.32,54.56
Australia,1950,8.75,3.11,14.87
Australia,1951,9.4,3.38,15.9
Australia,1952,10.72,3.41,18.77
Australia,1953,11.55,4.21,19.59
Australia,1954,11.54,3.36,20.6
Australia,1955,12.4,3.31,22.6
Australia,1956,13.35,3.87,23.91
Australia,1957,14.17,3.57,26.07
Australia,1958,14.1,3.67,25.98
Australia,1959,15.29,3.7,28.61
Australia,1960,15.79,3.87,29.56
Australia,1961,17.17,4.0,32.45
Australia,1962,18.41,4.33,34.74
Australia,1963,18.93,4.39,35.97
Australia,1964,20.35,4.94,38.51
Australia,1965,20.54,4.74,39.41
Australia,1966,21.67,5.02,41.74
Australia,1967,22.81,5.74,43.59
Australia,1968,23.46,5.74,45.0
Australia,1969,24.17,5.66,46.75
Australia,1970,25.36,7.18,47.79
Australia,1971,26.26,7.53,49.28
Australia,1972,26.27,7.13,50.06
Australia,1973,27.06,7.82,51.24
Australia,1974,28.17,7.69,53.83
Australia,1975,27.69,7.85,52.37
Australia,1976,28.58,8.58,53.83
Australia,1977,28.62,9.83,52.72
Australia,1978,29.05,9.97,53.22
Australia,1979,29.39,10.3,53.81
Australia,1980,30.79,10.8,56.21
Australia,1981,30.29,10.46,55.47
Australia,1982,30.72,11.55,55.42
Australia,1983,30.95,12.47,54.51
Australia,1984,30.89,12.4,54.62
Australia,1985,30.69,12.65,53.78
Australia,1986,29.82,13.17,51.02
Australia,1987,29.69,12.54,51.36
Australia,1988,30.44,14.1,51.19
Australia,1989,30.72,14.49,51.27
Australia,1990,28.75,14.06,47.27
Australia,1991,29.05,15.03,46.67
Australia,1992,28.83,14.37,46.68
Australia,1993,28.12,14.97,44.42
Australia,1994,29.04,15.3,46.23
Australia,1995,27.71,15.36,43.14
Australia,1996,27.79,15.54,42.99
Australia,1997,26.67,15.43,40.69
Australia,1998,26.26,14.88,40.3
Australia,1999,25.49,14.9,38.52
Australia,2000,25.3,15.79,36.98
Australia,2001,25.12,15.88,36.33
Australia,2002,25.0,16.34,35.51
Australia,2003,23.46,15.52,33.0
Australia,2004,23.85,15.49,33.92
Australia,2006,23.52,16.22,32.46
Australia,2007,23.18,16.6,30.96
Australia,2008,23.33,16.12,31.88
Australia,2009,22.27,16.36,29.32
Australia,2010,22.42,16.61,29.39
Australia,2011,22.13,16.36,28.99
Australia,2012,21.43,16.27,27.54
Australia,2013,21.0,15.64,27.29
Australia,2014,20.56,15.72,26.27
Australia,2015,20.64,16.26,25.8
Australia,2016,19.77,15.31,25.02
Australia,2017,18.79,14.56,23.71
Australia,2018,19.13,15.24,23.6
Australia,2019,18.92,14.89,23.59
Australia,2020,17.47,14.51,20.89
Austria,1955,22.88,5.64,46.24
Austria,1956,24.79,6.92,49.07
Austria,1957,25.49,6.96,50.89
Austria,1958,25.67,7.22,51.36
Austria,1959,25.49,7.06,51.19
Austria,1960,25.75,5.97,53.61
Austria,1961,26.62,6.39,55.34
Austria,1962,25.94,6.9,53.28
Austria,1963,27.04,6.75,56.35
Austria,1964,25.65,6.49,53.35
Austria,1965,27.18,6.58,57.35
