Entity,Year,Total sex ratio at birth (SRB) (Jiang et al. 2017),First child SRB (Jiang et al. 2017),Second child SRB (Jiang et al. 2017),Third child SRB (Jiang et al. 2017)
China,1981,107.79,105.33,107.16,112.59
China,1986,113.12,107.66,117.25,123.29
China,1989,113.89,105.2,121.02,126.6
China,1993,114.06,105.6,130.22,126.13
China,2000,119.92,107.12,151.92,159.36
China,2005,120.5,108.41,143.22,152.88
China,2010,121.21,113.73,130.29,158.41
South Korea,1981,107.14,106.3,106.67,109.13
South Korea,1985,109.43,105.99,107.82,134.25
South Korea,1990,116.49,108.49,117.08,193.23
South Korea,1995,113.17,105.72,111.68,180.14
South Korea,2000,110.2,106.27,107.44,143.44
South Korea,2005,107.8,104.85,106.49,129.69
South Korea,2010,106.88,106.39,105.79,112.98
South Korea,2014,105.32,105.6,104.61,106.51
