Entity,Year,Mean monthly per capita expenditure in 2011 int-$ (PovcalNet 2017),Median monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)
Albania,1996,187.95,165.18
Albania,2002,188.08,155.14
Albania,2005,217.16,184.79
Albania,2008,237.52,198.76
Albania,2012,225.28,195.06
Angola,2009,120.74,87.02
Angola (Urban),2000,136.7,86.47
Argentina (Urban),1986,754.23,555.2000000000001
Argentina (Urban),1987,676.47,478.27
Argentina (Urban),1991,559.79,370.92
Argentina (Urban),1992,564.54,387.92
Argentina (Urban),1993,565.73,396.48
Argentina (Urban),1994,558.89,383.38
Argentina (Urban),1995,530.9,354.39
Argentina (Urban),1996,520.09,340
Argentina (Urban),1997,544.96,364.07
Argentina (Urban),1998,529.1900000000001,333.09
Argentina (Urban),1999,504.42,330.8
Argentina (Urban),2000,493.38,314.61
Argentina (Urban),2001,454.34,280.78
Argentina (Urban),2002,319.16,192.61
Argentina (Urban),2003,397.83,239.43
Argentina (Urban),2004,432.22,281.68
Argentina (Urban),2005,486.09,324.73
Argentina (Urban),2006,554.5,376.96
Argentina (Urban),2007,552.46,385.38
Argentina (Urban),2008,580.72,411.5
Argentina (Urban),2009,599.1900000000001,435.33
Argentina (Urban),2010,607.89,438.6
Argentina (Urban),2011,655.09,481.02
Argentina (Urban),2012,644.4400000000001,486.19
Argentina (Urban),2013,645.46,492.34
Argentina (Urban),2014,586.38,439.08
Armenia,1996,162.45,111.99
Armenia,1999,122.43,94.24
Armenia,2001,116.33,90.53
Armenia,2002,122.03,94.95
Armenia,2003,125.42,100.03
Armenia,2004,155.49,115.93
Armenia,2005,171.33,130.52
Armenia,2006,172.4,139.89
Armenia,2007,163.65,140.06
Armenia,2008,190.89,158.66
Armenia,2009,175.27,147.23
Armenia,2010,165.68,137.48
Armenia,2011,172.38,141.31
Armenia,2012,178.6,151.16
Armenia,2013,182.37,152.32
Armenia,2014,192.27,161.59
Australia,1981,1041.65,878.83
Australia,1985,1077.63,889.78
Australia,1989,1107.18,912.4400000000001
Australia,1995,1008.46,840.24
Australia,2001,1166.67,951.15
Australia,2003,1204.26,981.72
Australia,2008,1663.65,1311.14
Australia,2010,1655.85,1329.87
Austria,2004,1571.57,1355.76
Austria,2005,1502.91,1314.37
Austria,2006,1538.48,1319.73
Austria,2007,1602.48,1379.8
Austria,2008,1629.14,1427.3
Austria,2009,1687.21,1458.18
Austria,2010,1704.26,1484.73
Austria,2011,1672.62,1445.24
Austria,2012,1634.26,1423.73
Azerbaijan,1995,171.36,139.68
Azerbaijan,2001,209.21,158.82
Azerbaijan,2002,243.12,228.19
Azerbaijan,2003,249.76,233.57
Azerbaijan,2004,253.09,237.81
Azerbaijan,2005,251.19,232.16
Azerbaijan,2008,312.41,256.42
Bangladesh,1984,72.95,65.22
Bangladesh,1986,79.88,68.75
Bangladesh,1989,73.13,61.88
Bangladesh,1992,71.43000000000001,61.67
Bangladesh,1996,87.43000000000001,68.44
Bangladesh,2000,91.2,71.03
Bangladesh,2005,101.86,79.05
Bangladesh,2010,109.03,86.64
Belarus,1988,314.31,291.2
Belarus,1993,210.49,194.24
Belarus,1995,314.39,278.17
Belarus,1998,136.55,114.03
Belarus,1999,145.4,124.34
Belarus,2000,158.8,136.05
Belarus,2001,197.13,169.41
Belarus,2002,216.54,186.53
Belarus,2003,223.43,195.93
Belarus,2004,250.92,224.28
Belarus,2005,308.52,274.43
Belarus,2006,356.6,314.51
Belarus,2007,409.84,354.79
Belarus,2008,425.87,376.34
Belarus,2009,430.11,381.2
Belarus,2010,485.23,421.11
Belarus,2011,497.07,441.48
Belarus,2012,556.65,498.23
Belarus,2013,620.56,548.75
Belarus,2014,646.27,568.43
Belgium,2004,1414.56,1207.39
Belgium,2005,1407.3,1224.84
Belgium,2006,1386.8,1228.67
Belgium,2007,1425.86,1240.19
Belgium,2008,1440.97,1264.27
Belgium,2009,1462.55,1282.71
Belgium,2010,1451.75,1290.1
Belgium,2011,1412.91,1271.16
Belgium,2012,1457.53,1309.03
Belize,1993,340.79,169.52
Belize,1994,332.22,160.71
Belize,1995,423.93,231.47
Belize,1996,272.52,142.89
Belize,1997,271.71,136.28
Belize,1998,254.05,141.19
Belize,1999,264.03,156.77
Benin,2003,78.63,58.8
Benin,2011,82.42,54.75
Bhutan,2003,118.5,75.62000000000001
Bhutan,2007,179.65,136.67
Bhutan,2012,245.77,183.13
Bolivia,1991,220.52,159.24
Bolivia,1997,285.17,156.96
Bolivia,1999,249.67,144.36
