Entity,Year,"Average test score in math and science, primary through end of secondary school","Average test score in math and science, only lower secondary","Share of students reaching basic literacy (based on average test scores in math and science, primary through end of secondary school)","Share of top-performing students (based on average test scores in math and science, primary through end of secondary school)"
Albania,2017,3.785,3.785,0.424,0.013
Argentina,2017,3.92,3.92,0.492,0.027
Armenia,2017,4.429,4.49,0.745,0.008
Australia,2017,5.094,5.138,0.938,0.112
Austria,2017,5.089,5.09,0.931,0.097
Bahrain,2017,4.114,4.114,0.608,0.003
Belgium,2017,5.041,5.072,0.931,0.094
Botswana,2017,3.575,3.575,0.374,0
Brazil,2017,3.638,3.638,0.338,0.011
Bulgaria,2017,4.789,4.789,0.765,0.083
Canada,2017,5.038,5.125,0.948,0.083
Chile,2017,4.049,3.945,0.625,0.013
China,2017,4.939,4.939,0.935,0.083
Colombia,2017,4.152,4.152,0.644,0
Cyprus,2017,4.542,4.413,0.825,0.011
Czech Republic,2017,5.108,5.177,0.931,0.122
Denmark,2017,4.962,4.869,0.888,0.088
Egypt,2017,4.03,4.03,0.577,0.01
Estonia,2017,5.192,5.192,0.973,0.095
Finland,2017,5.126,5.173,0.958,0.124
France,2017,5.04,4.972,0.926,0.085
Germany,2017,4.956,4.959,0.906,0.105
Ghana,2017,3.603,3.252,0.403,0.01
Greece,2017,4.608,4.618,0.798,0.042
Hong Kong,2017,5.195,5.265,0.944,0.123
Hungary,2017,5.045,5.134,0.941,0.103
Iceland,2017,4.936,4.945,0.908,0.074
India,2017,4.281,4.165,0.922,0.013
Indonesia,2017,3.88,3.88,0.467,0.008
Iran,2017,4.219,4.262,0.727,0.006
Ireland,2017,4.995,5.04,0.914,0.094
Israel,2017,4.686,4.66,0.826,0.053
Italy,2017,4.758,4.693,0.875,0.054
Japan,2017,5.31,5.398,0.967,0.168
Jordan,2017,4.264,4.264,0.662,0.044
Kuwait,2017,4.046,4.223,0.575,0
Latvia,2017,4.803,4.779,0.869,0.05
Lebanon,2017,3.95,3.95,0.595,0.002
Liechtenstein,2017,5.128,5.128,0.86,0.198
Lithuania,2017,4.779,4.694,0.891,0.03
Luxembourg,2017,4.641,4.641,0.776,0.067
Macao,2017,5.26,5.26,0.919,0.204
Macedonia,2017,4.151,4.151,0.609,0.028
Malaysia,2017,4.838,4.838,0.864,0.065
Mexico,2017,3.998,3.998,0.489,0.009
Moldova,2017,4.53,4.419,0.787,0.029
Morocco,2017,3.327,3.243,0.344,0.001
Netherlands,2017,5.115,5.149,0.965,0.092
New Zealand,2017,4.978,5.009,0.91,0.106
Nigeria,2017,4.154,4.163,0.671,0.001
Norway,2017,4.83,4.855,0.894,0.056
Palestine,2017,4.062,4.062,0.571,0.008
Peru,2017,3.125,3.125,0.182,0.002
Philippines,2017,3.647,3.502,0.485,0.006
Poland,2017,4.846,4.861,0.838,0.099
Portugal,2017,4.564,4.592,0.803,0.032
Romania,2017,4.562,4.562,0.78,0.046
Russia,2017,4.922,4.906,0.884,0.081
Saudi Arabia,2017,3.663,3.663,0.331,0
Serbia,2017,4.447,4.447,0.718,0.024
Singapore,2017,5.33,5.512,0.945,0.177
Slovakia,2017,5.052,5.052,0.906,0.112
Slovenia,2017,4.993,5.076,0.939,0.061
South Africa,2017,3.089,2.683,0.353,0.005
South Korea,2017,5.338,5.401,0.962,0.178
Spain,2017,4.829,4.829,0.859,0.079
Swaziland,2017,4.398,4.398,0.801,0.004
Sweden,2017,5.013,4.948,0.939,0.088
Switzerland,2017,5.142,5.102,0.919,0.134
Taiwan,2017,5.452,5.599,0.958,0.219
Thailand,2017,4.565,4.556,0.851,0.019
Tunisia,2017,3.795,3.889,0.458,0.003
Turkey,2017,4.128,4.128,0.582,0.039
United Kingdom,2017,4.95,4.995,0.929,0.088
United States,2017,4.903,4.911,0.918,0.073
Uruguay,2017,4.3,4.3,0.615,0.049
Zimbabwe,2017,4.107,4.107,0.684,0.01
