Entity,Year,"Male lung cancer deaths per 100,000 (WHO (IARC) (2016))"
Afghanistan,2002,11.3
Albania,1987,35.32
Albania,1988,37.78
Albania,1989,32.58
Albania,1992,27.77
Albania,1993,25.43
Albania,1994,21.83
Albania,1995,33.68
Albania,1996,35.57
Albania,1997,35.98
Albania,1998,34.84
Albania,1999,34.67
Albania,2000,31.48
Albania,2001,27.91
Albania,2002,29.44
Algeria,2002,16.4
Angola,2002,7
Argentina,1966,41.07
Argentina,1967,47.2
Argentina,1968,48.19
Argentina,1969,48.67
Argentina,1970,46.7
Argentina,1977,43.79
Argentina,1978,44.01
Argentina,1979,43.09
Argentina,1980,42.9
Argentina,1981,44.55
Argentina,1982,40.52
Argentina,1983,42.38
Argentina,1984,41.26
Argentina,1985,40.63
Argentina,1986,39.5
Argentina,1987,41.39
Argentina,1988,40.09
Argentina,1989,39.64
Argentina,1990,38.03
Argentina,1991,39.35
Argentina,1992,38.01
Argentina,1993,37.77
Argentina,1994,37.88
Argentina,1995,36.8
Argentina,1996,36.97
Argentina,1997,36
Argentina,1998,35.99
Argentina,1999,36.12
Argentina,2000,34.74
Argentina,2001,32.92
Argentina,2002,31.87
Armenia,1981,33.01
Armenia,1982,32.88
Armenia,1985,37.62
Armenia,1986,36.7
Armenia,1987,35.42
Armenia,1988,42.55
Armenia,1989,40.83
Armenia,1990,45.98
Armenia,1991,48.04
Armenia,1992,44.8
Armenia,1993,41.34
Armenia,1994,37.81
Armenia,1995,39.8
Armenia,1996,41.01
Armenia,1997,43.91
Armenia,1998,41.45
Armenia,1999,45.09
Armenia,2000,45.54
Armenia,2001,46.71
Armenia,2002,45.62
Australia,1950,13.83
Australia,1951,14.91
Australia,1952,17.29
Australia,1953,18.27
Australia,1954,19.13
Australia,1955,20.7
Australia,1956,22.12
Australia,1957,24.06
Australia,1958,23.91
Australia,1959,26.27
Australia,1960,27.19
Australia,1961,29.81
Australia,1962,31.77
Australia,1963,32.78
Australia,1964,34.74
Australia,1965,35.1
Australia,1966,37.4
Australia,1967,38.72
Australia,1968,39.97
Australia,1969,41.26
Australia,1970,42.12
Australia,1971,43.61
Australia,1972,43.99
Australia,1973,44.92
Australia,1974,47.21
Australia,1975,47.37
Australia,1976,48.5
Australia,1977,46.96
Australia,1978,47.16
Australia,1979,47.38
Australia,1980,49.45
Australia,1981,49.09
Australia,1982,49.15
Australia,1983,48.59
Australia,1984,48.56
Australia,1985,47.98
Australia,1986,45.99
Australia,1987,46.27
Australia,1988,45.68
Australia,1989,45.55
Australia,1990,41.64
Australia,1991,41.18
Australia,1992,41.17
Australia,1993,38.96
Australia,1994,40.36
Australia,1995,37.4
Australia,1996,37.2
Australia,1997,35.21
Australia,1998,34.87
Australia,1999,33.19
Australia,2000,31.76
Australia,2001,31.29
Australia,2002,30.4
Austria,1955,43.01
Austria,1956,45.84
Austria,1957,47.55
Austria,1958,47.69
Austria,1959,47.51
Austria,1960,49.86
Austria,1961,51.26
Austria,1962,49.25
Austria,1963,52.01
Austria,1964,48.87
Austria,1965,52.46
Austria,1966,51.25
Austria,1967,51.51
Austria,1968,53.14
Austria,1969,51.51
Austria,1970,50.46
Austria,1971,50.05
Austria,1972,51.47
Austria,1973,52.2
Austria,1974,50.77
Austria,1975,50.8
Austria,1976,50.42
Austria,1977,50.73
Austria,1978,48.69
Austria,1979,50.59
Austria,1980,49.91
Austria,1981,48.43
Austria,1982,47
Austria,1983,48.28
Austria,1984,50.06
Austria,1985,47.46
Austria,1986,46.94
Austria,1987,46.44
Austria,1988,45.6
Austria,1989,45.74
Austria,1990,45.46
Austria,1991,45.8
Austria,1992,43.75
Austria,1993,45.23
Austria,1994,41.7
Austria,1995,40.8
Austria,1996,40.81
Austria,1997,39.37
Austria,1998,39.48
Austria,1999,37.2
Austria,2000,36.41
Austria,2001,35.15
Austria,2002,35.92
Azerbaijan,1981,35.62
Azerbaijan,1982,34.63
Azerbaijan,1985,32.43
Azerbaijan,1986,36.57
Azerbaijan,1987,38.51
Azerbaijan,1988,35.65
Azerbaijan,1989,32.97
Azerbaijan,1990,26.42
Azerbaijan,1991,28.04
Azerbaijan,1992,29.27
Azerbaijan,1993,26.13
Azerbaijan,1994,22.4
Azerbaijan,1995,21.25
Azerbaijan,1996,22.2
Azerbaijan,1997,22.35
Azerbaijan,1998,20.44
Azerbaijan,1999,21.34
Azerbaijan,2000,20.24
Azerbaijan,2001,21.35
Azerbaijan,2002,21.83
Bahamas,2002,19.7
Bahrain,2002,28.6
Bangladesh,2002,20.8
Barbados,2002,14.4
Belarus,1981,37.21
Belarus,1982,40.02
Belarus,1985,47.85
Belarus,1986,48.38
Belarus,1987,51.12
Belarus,1988,52.3
Belarus,1989,56.72
Belarus,1990,56.16
Belarus,1991,56.72
Belarus,1992,60.33
Belarus,1993,61.28
Belarus,1994,60.51
Belarus,1995,61.17
Belarus,1997,60.24
Belarus,1998,58.64
Belarus,1999,57.4
Belarus,2000,56.05
Belarus,2001,55.51
Belarus,2002,55.31
Belgium,1954,26.63
Belgium,1955,27.37
Belgium,1956,30.3
Belgium,1957,31.1
Belgium,1958,32.37
Belgium,1959,34.04
Belgium,1960,37.91
Belgium,1961,40.16
Belgium,1962,42.12
Belgium,1963,44.66
Belgium,1964,46.06
Belgium,1965,50.44
Belgium,1966,50.56
Belgium,1967,52.84
Belgium,1968,54.48
Belgium,1969,55.24
Belgium,1970,58.76
Belgium,1971,64.25
Belgium,1972,66.43
Belgium,1973,67.26
Belgium,1974,66.83
Belgium,1975,68.67
Belgium,1976,70.74
Belgium,1977,75.93
Belgium,1978,76.88
Belgium,1979,76
Belgium,1980,77.9
Belgium,1981,79.58
Belgium,1982,78.13
Belgium,1983,81.77
Belgium,1984,80.69
Belgium,1985,82.03
Belgium,1986,79.52
Belgium,1987,77.7
Belgium,1988,77.94
Belgium,1989,73.13
Belgium,1990,72.59
Belgium,1991,71.15
Belgium,1992,71.97
Belgium,1993,71.8
Belgium,1994,69.24
Belgium,1995,70.44
Belgium,1996,65.93
Belgium,1997,66.95
Belgium,2002,69.9
Belize,1964,10.14
Belize,1965,5.77
Belize,1966,8.89
Belize,1968,8.28
Belize,1969,11.63
Belize,1970,8.82
Belize,1972,13.86
Belize,1973,5.5
Belize,1975,2.59
Belize,1976,5.5
Belize,1977,7.82
Belize,1978,18.11
Belize,1979,1.85
Belize,1982,7.87
Belize,1983,3.84
Belize,1984,15.89
Belize,1986,7.49
Belize,1987,12.74
Belize,1989,8.86
Belize,1990,9.08
Belize,1991,3.53
Belize,1993,14.25
Belize,1994,10.24
Belize,1995,16.63
Belize,1996,13.97
Belize,1997,17.17
Belize,1998,18.97
Belize,1999,19.7
Belize,2000,11.32
Belize,2001,17.12
Belize,2002,19.6
Benin,2002,2.4
Bhutan,2002,11
Bolivia,2002,11.6
Bosnia and Herzegovina,2002,52.3
Botswana,2002,8.5
Brazil,1979,12.94
Brazil,1980,13.71
Brazil,1981,13.81
Brazil,1982,14.67
Brazil,1983,15.25
Brazil,1984,15.4
Brazil,1985,15.49
Brazil,1986,16.07
Brazil,1987,15.99
Brazil,1988,16.6
Brazil,1989,16.38
Brazil,1990,16.45
Brazil,1991,16.5
Brazil,1992,16.81
Brazil,1993,16.56
Brazil,1994,16.82
Brazil,1995,16.61
Brazil,1996,16.43
Brazil,1997,16.71
Brazil,1998,16.4
Brazil,1999,16.23
Brazil,2000,16.21
Brazil,2001,16.17
Brazil,2002,16.12
Brunei,2002,22.5
Bulgaria,1964,35.56
Bulgaria,1965,37.66
Bulgaria,1966,38.33
Bulgaria,1967,35.94
Bulgaria,1968,36.17
Bulgaria,1969,35.17
Bulgaria,1970,33.63
Bulgaria,1971,36.68
Bulgaria,1972,35.64
Bulgaria,1973,37.47
Bulgaria,1974,35.55
Bulgaria,1975,34.53
Bulgaria,1976,35.14
Bulgaria,1977,35.43
Bulgaria,1978,34.59
Bulgaria,1979,36.51
Bulgaria,1980,33.59
Bulgaria,1981,37.08
Bulgaria,1982,38.01
Bulgaria,1983,39.42
Bulgaria,1984,39.42
Bulgaria,1985,39.23
Bulgaria,1986,40.29
Bulgaria,1987,40.71
Bulgaria,1988,40.2
Bulgaria,1989,41.39
Bulgaria,1990,40.65
Bulgaria,1991,40.39
Bulgaria,1992,42.52
Bulgaria,1993,42.12
Bulgaria,1994,43.72
Bulgaria,1995,42.58
Bulgaria,1996,42.12
Bulgaria,1997,40.65
Bulgaria,1998,38.91
Bulgaria,1999,40
Bulgaria,2000,37.59
Bulgaria,2001,38
Bulgaria,2002,39.73
Burkina Faso,2002,4.6
Burundi,2002,3.5
Cambodia,2002,20.9
Cameroon,2002,3
Canada,1950,14.53
Canada,1951,14.82
Canada,1952,16.56
Canada,1953,17.93
Canada,1954,19.12
Canada,1955,20.27
Canada,1956,21.8
Canada,1957,22.47
Canada,1958,23.42
Canada,1959,24.27
Canada,1960,25.34
Canada,1961,27.08
Canada,1962,28.72
Canada,1963,30.43
Canada,1964,31.25
Canada,1965,32.22
Canada,1966,33.61
Canada,1967,36.82
Canada,1968,36.92
