Entity,Year,Ratio of exports and imports to GDP (PWT v8.1 (2015))
Afghanistan,1970,22
Afghanistan,1971,27
Afghanistan,1972,33
Afghanistan,1973,28
Afghanistan,1974,29
Afghanistan,1975,27
Afghanistan,1976,28
Afghanistan,1977,26
Afghanistan,1978,25
Afghanistan,1979,26
Afghanistan,1980,26
Afghanistan,1981,26
Afghanistan,1982,26
Afghanistan,1983,26
Afghanistan,1984,26
Afghanistan,1985,26
Afghanistan,1986,26
Afghanistan,1987,26
Afghanistan,1988,26
Afghanistan,1989,26
Afghanistan,1990,26
Afghanistan,1991,34
Afghanistan,1992,43
Afghanistan,1993,51
Afghanistan,1994,59
Afghanistan,1995,68
Afghanistan,1996,76
Afghanistan,1997,84
Afghanistan,1998,93
Afghanistan,1999,101
Afghanistan,2000,109
Afghanistan,2001,109
Afghanistan,2002,89
Afghanistan,2003,129
Afghanistan,2004,110
Afghanistan,2005,100
Afghanistan,2006,87
Afghanistan,2007,74
Afghanistan,2008,64
Afghanistan,2009,55
Afghanistan,2010,54
Afghanistan,2011,48
Albania,1970,45
Albania,1971,45
Albania,1972,45
Albania,1973,45
Albania,1974,45
Albania,1975,45
Albania,1976,45
Albania,1977,45
Albania,1978,45
Albania,1979,44
Albania,1980,45
Albania,1981,46
Albania,1982,41
Albania,1983,38
Albania,1984,36
Albania,1985,34
Albania,1986,30
Albania,1987,31
Albania,1988,35
Albania,1989,37
Albania,1990,37
Albania,1991,35
Albania,1992,100
Albania,1993,78
Albania,1994,50
Albania,1995,47
Albania,1996,43
Albania,1997,44
Albania,1998,45
Albania,1999,48
Albania,2000,56
Albania,2001,57
Albania,2002,64
Albania,2003,65
Albania,2004,66
Albania,2005,70
Albania,2006,73
Albania,2007,83
Albania,2008,85
Albania,2009,82
Albania,2010,85
Albania,2011,89
Algeria,1960,101
Algeria,1961,109
Algeria,1962,40
Algeria,1963,58
Algeria,1964,52
Algeria,1965,46
Algeria,1966,48
Algeria,1967,43
Algeria,1968,46
Algeria,1969,50
Algeria,1970,50
Algeria,1971,45
Algeria,1972,44
Algeria,1973,55
Algeria,1974,74
Algeria,1975,77
Algeria,1976,70
Algeria,1977,72
Algeria,1978,65
Algeria,1979,64
Algeria,1980,65
Algeria,1981,65
Algeria,1982,60
Algeria,1983,54
Algeria,1984,49
Algeria,1985,44
Algeria,1986,30
Algeria,1987,27
Algeria,1988,37
Algeria,1989,47
Algeria,1990,48
Algeria,1991,52
Algeria,1992,48
Algeria,1993,44
Algeria,1994,52
Algeria,1995,57
Algeria,1996,54
Algeria,1997,52
Algeria,1998,46
Algeria,1999,51
Algeria,2000,63
Algeria,2001,59
Algeria,2002,61
Algeria,2003,62
Algeria,2004,66
Algeria,2005,71
Algeria,2006,71
Algeria,2007,72
Algeria,2008,76
Algeria,2009,71
Algeria,2010,69
Algeria,2011,73
Andorra,1970,26
Andorra,1971,26
Andorra,1972,27
Andorra,1973,28
Andorra,1974,32
Andorra,1975,29
Andorra,1976,30
Andorra,1977,29
Andorra,1978,28
Andorra,1979,28
Andorra,1980,32
Andorra,1981,35
Andorra,1982,36
Andorra,1983,40
Andorra,1984,42
Andorra,1985,41
Andorra,1986,35
Andorra,1987,36
Andorra,1988,37
Andorra,1989,37
Andorra,1990,36
Andorra,1991,35
Andorra,1992,36
Andorra,1993,37
Andorra,1994,42
Andorra,1995,45
Andorra,1996,47
Andorra,1997,52
Andorra,1998,54
Andorra,1999,55
Andorra,2000,61
Andorra,2001,60
Andorra,2002,57
Andorra,2003,55
Andorra,2004,56
Andorra,2005,57
Andorra,2006,59
Andorra,2007,61
Andorra,2008,59
Andorra,2009,50
Andorra,2010,57
Andorra,2011,61
Angola,1970,68
Angola,1971,68
Angola,1972,69
Angola,1973,69
Angola,1974,69
Angola,1975,68
Angola,1976,69
Angola,1977,69
Angola,1978,69
Angola,1979,69
Angola,1980,62
Angola,1981,75
Angola,1982,70
Angola,1983,68
Angola,1984,69
Angola,1985,62
Angola,1986,49
Angola,1987,59
Angola,1988,59
Angola,1989,57
Angola,1990,63
Angola,1991,75
Angola,1992,114
Angola,1993,119
Angola,1994,168
Angola,1995,168
Angola,1996,166
Angola,1997,150
Angola,1998,140
Angola,1999,195
Angola,2000,120
Angola,2001,151
Angola,2002,138
Angola,2003,144
Angola,2004,134
Angola,2005,140
Angola,2006,119
Angola,2007,117
Angola,2008,128
Angola,2009,110
Angola,2010,105
Angola,2011,117
Anguilla,1970,96
Anguilla,1971,96
Anguilla,1972,96
Anguilla,1973,96
Anguilla,1974,96
Anguilla,1975,96
Anguilla,1976,96
Anguilla,1977,96
Anguilla,1978,97
Anguilla,1979,95
Anguilla,1980,95
Anguilla,1981,96
Anguilla,1982,97
Anguilla,1983,100
Anguilla,1984,84
Anguilla,1985,100
Anguilla,1986,101
Anguilla,1987,97
Anguilla,1988,117
Anguilla,1989,125
Anguilla,1990,111
Anguilla,1991,113
Anguilla,1992,120
Anguilla,1993,124
Anguilla,1994,123
Anguilla,1995,126
Anguilla,1996,127
Anguilla,1997,122
Anguilla,1998,132
Anguilla,1999,129
Anguilla,2000,129
Anguilla,2001,116
Anguilla,2002,107
Anguilla,2003,110
Anguilla,2004,109
Anguilla,2005,123
Anguilla,2006,148
Anguilla,2007,130
Anguilla,2008,127
Anguilla,2009,116
Anguilla,2010,117
Anguilla,2011,114
Antigua and Barbuda,1970,114
Antigua and Barbuda,1971,113
Antigua and Barbuda,1972,113
Antigua and Barbuda,1973,116
Antigua and Barbuda,1974,112
Antigua and Barbuda,1975,112
Antigua and Barbuda,1976,123
Antigua and Barbuda,1977,100
Antigua and Barbuda,1978,114
Antigua and Barbuda,1979,153
Antigua and Barbuda,1980,154
Antigua and Barbuda,1981,164
Antigua and Barbuda,1982,131
Antigua and Barbuda,1983,126
