Entity,Year,CO2 emissions per capita by nation (CDIAC (2017))
Afghanistan,1950,0
Afghanistan,1951,0
Afghanistan,1952,0
Afghanistan,1953,0
Afghanistan,1954,0
Afghanistan,1955,0
Afghanistan,1956,0.0367
Afghanistan,1957,0.0367
Afghanistan,1958,0.0367
Afghanistan,1959,0.0367
Afghanistan,1960,0.0367
Afghanistan,1961,0.0367
Afghanistan,1962,0.0734
Afghanistan,1963,0.0734
Afghanistan,1964,0.0734
Afghanistan,1965,0.1101
Afghanistan,1966,0.1101
Afghanistan,1967,0.1101
Afghanistan,1968,0.1101
Afghanistan,1969,0.0734
Afghanistan,1970,0.1468
Afghanistan,1971,0.1468
Afghanistan,1972,0.1101
Afghanistan,1973,0.1101
Afghanistan,1974,0.1468
Afghanistan,1975,0.1468
Afghanistan,1976,0.1468
Afghanistan,1977,0.1835
Afghanistan,1978,0.1468
Afghanistan,1979,0.1468
Afghanistan,1980,0.1101
Afghanistan,1981,0.1468
Afghanistan,1982,0.1468
Afghanistan,1983,0.1835
Afghanistan,1984,0.2202
Afghanistan,1985,0.2936
Afghanistan,1986,0.2569
Afghanistan,1987,0.2569
Afghanistan,1988,0.2202
Afghanistan,1989,0.2202
Afghanistan,1990,0.1835
Afghanistan,1991,0.1835
Afghanistan,1992,0.0734
Afghanistan,1993,0.0734
Afghanistan,1994,0.0734
Afghanistan,1995,0.0734
Afghanistan,1996,0.0734
Afghanistan,1997,0.0367
Afghanistan,1998,0.0367
Afghanistan,1999,0.0367
Afghanistan,2000,0.0367
Afghanistan,2001,0.0367
Afghanistan,2002,0.0367
Afghanistan,2003,0.0367
Afghanistan,2004,0.0367
Afghanistan,2005,0.0367
Afghanistan,2006,0.0734
Afghanistan,2007,0.0734
Afghanistan,2008,0.1468
Afghanistan,2009,0.2569
Afghanistan,2010,0.2936
Afghanistan,2011,0.4404
Afghanistan,2012,0.367
Afghanistan,2013,0.3303
Afghanistan,2014,0.2936
Albania,1950,0.2569
Albania,1951,0.3303
Albania,1952,0.2936
Albania,1953,0.3303
Albania,1954,0.367
Albania,1955,0.4771
Albania,1956,0.5872
Albania,1957,1.0276
Albania,1958,0.8074
Albania,1959,0.9175
Albania,1960,1.2478
Albania,1961,1.3579
Albania,1962,1.4313
Albania,1963,1.1744
Albania,1964,1.101
Albania,1965,1.1744
Albania,1966,1.3212
Albania,1967,1.3579
Albania,1968,1.5047
Albania,1969,1.5781
Albania,1970,1.7616
Albania,1971,1.9818
Albania,1972,2.5323
Albania,1973,2.3121
Albania,1974,1.835
Albania,1975,1.9084
Albania,1976,2.0185
Albania,1977,2.2754
Albania,1978,2.5323
Albania,1979,2.8993
Albania,1980,1.9451
Albania,1981,2.6791
Albania,1982,2.6424
Albania,1983,2.6791
Albania,1984,2.7158
Albania,1985,2.6791
Albania,1986,2.6424
Albania,1987,2.3855
Albania,1988,2.3121
Albania,1989,2.7525
Albania,1990,1.6882
Albania,1991,1.3212
Albania,1992,0.7707
Albania,1993,0.734
Albania,1994,0.6239
Albania,1995,0.6606
Albania,1996,0.6606
Albania,1997,0.5138
Albania,1998,0.5872
Albania,1999,0.9542
Albania,2000,0.9909
Albania,2001,1.0643
Albania,2002,1.2111
Albania,2003,1.3946
Albania,2004,1.3212
Albania,2005,1.3579
Albania,2006,1.2478
Albania,2007,1.2478
Albania,2008,1.3946
Albania,2009,1.5047
Albania,2010,1.5781
Albania,2011,1.835
Albania,2012,1.6882
Albania,2013,1.7616
Albania,2014,1.9818
Algeria,1950,0.4404
Algeria,1951,0.4771
Algeria,1952,0.4404
Algeria,1953,0.4404
Algeria,1954,0.4404
Algeria,1955,0.4771
Algeria,1956,0.5138
Algeria,1957,0.5505
Algeria,1958,0.5138
Algeria,1959,0.5505
Algeria,1960,0.5872
Algeria,1961,0.5505
Algeria,1962,0.5138
Algeria,1963,0.4771
Algeria,1964,0.4771
Algeria,1965,0.5505
Algeria,1966,0.6973
Algeria,1967,0.6606
Algeria,1968,0.6973
Algeria,1969,0.8441
Algeria,1970,1.101
Algeria,1971,1.3212
Algeria,1972,1.9451
Algeria,1973,2.5323
Algeria,1974,2.0552
Algeria,1975,2.0185
Algeria,1976,2.3855
