Entity,Year,Poverty headcount at $1.90 a day (2011 PPP) (World Bank (WDI) (2015))
Albania,1996,1.1
Albania,2002,2.22
Albania,2005,1.12
Albania,2008,0.37
Albania,2012,1.06
Angola,2000,32.28
Angola,2008,30.13
Argentina,1986,0
Argentina,1987,0
Argentina,1991,1.1
Argentina,1992,2.05
Argentina,1993,2.42
Argentina,1994,2.28
Argentina,1995,4.11
Argentina,1996,4.63
Argentina,1997,4.14
Argentina,1998,4.59
Argentina,1999,4.78
Argentina,2000,5.7
Argentina,2001,9.42
Argentina,2002,13.99
Argentina,2003,9.79
Argentina,2004,7.09
Argentina,2005,5.37
Argentina,2006,4.12
Argentina,2007,3.49
Argentina,2008,2.97
Argentina,2009,3.05
Argentina,2010,2.05
Argentina,2011,1.53
Argentina,2012,1.63
Argentina,2013,1.75
Armenia,1996,17.9
Armenia,1999,16.88
Armenia,2001,19.33
Armenia,2002,15.06
Armenia,2003,11.36
Armenia,2004,7.93
Armenia,2005,4.45
Armenia,2006,3.3
Armenia,2007,3.57
Armenia,2008,1.49
Armenia,2009,1.59
Armenia,2010,2.54
Armenia,2011,2.7
Armenia,2012,1.74
Armenia,2013,2.44
Azerbaijan,1995,7.32
Azerbaijan,2001,2.71
Azerbaijan,2002,0
Azerbaijan,2003,0
Azerbaijan,2004,0
Azerbaijan,2005,0
Bangladesh,1983,69.55
Bangladesh,1985,64.34
Bangladesh,1988,71.61
Bangladesh,1991,72.24
Bangladesh,1995,63.45
Bangladesh,2000,59.97
Bangladesh,2005,51.58
Bangladesh,2010,43.65
Belarus,1988,0.15
Belarus,1993,0.09
Belarus,1995,0.7
Belarus,1998,3.2
Belarus,1999,2.71
Belarus,2000,1.99
Belarus,2001,1.12
Belarus,2002,1.98
Belarus,2003,1.49
Belarus,2004,0.32
Belarus,2005,0.36
Belarus,2006,0.11
Belarus,2007,0
Belarus,2008,0
Belarus,2009,0.03
Belarus,2010,0
Belarus,2011,0
Belarus,2012,0
Belize,1993,10.09
Belize,1994,9.88
Belize,1995,12.29
Belize,1996,13.31
Belize,1997,16.45
Belize,1998,14.35
Belize,1999,13.92
Benin,2003,48.85
Benin,2011,53.11
Bhutan,2003,24.86
Bhutan,2007,7.95
Bhutan,2012,2.2
Bolivia,1990,8.2
Bolivia,1993,18.13
Bolivia,1997,19.25
Bolivia,1999,25.3
Bolivia,2000,29.67
Bolivia,2001,23.67
Bolivia,2002,24.93
Bolivia,2004,13.66
Bolivia,2005,20.38
Bolivia,2006,17.9
Bolivia,2007,13.9
Bolivia,2008,11.91
Bolivia,2009,11.92
Bolivia,2011,7.96
Bolivia,2012,9.07
Bolivia,2013,7.7
Bosnia and Herzegovina,2001,0.25
Bosnia and Herzegovina,2004,0.18
Bosnia and Herzegovina,2007,0.06
Botswana,1985,42.56
Botswana,1993,34.82
Botswana,2002,29.75
Botswana,2009,18.24
Brazil,1981,24.02
Brazil,1982,23.56
Brazil,1983,30.37
Brazil,1984,29.27
Brazil,1985,19.34
Brazil,1986,9.65
Brazil,1987,18
Brazil,1988,22.27
Brazil,1989,20.27
Brazil,1990,20.56
Brazil,1992,20.76
Brazil,1993,19.92
Brazil,1995,12.99
Brazil,1996,14.17
Brazil,1997,13.99
Brazil,1998,12.71
Brazil,1999,13.36
Brazil,2001,13.62
Brazil,2002,12.31
Brazil,2003,12.71
Brazil,2004,11.04
Brazil,2005,9.55
Brazil,2006,7.94
Brazil,2007,7.6
Brazil,2008,6.29
Brazil,2009,6.18
Brazil,2011,5.5
Brazil,2012,4.59
Brazil,2013,4.87
Bulgaria,1989,0.05
Bulgaria,1992,0
Bulgaria,1994,0.24
Bulgaria,1995,1.23
Bulgaria,1997,0.45
Bulgaria,2001,2
Bulgaria,2003,0.88
Bulgaria,2006,5.42
Bulgaria,2007,0.42
Bulgaria,2008,1.18
Bulgaria,2009,1.15
Bulgaria,2010,1.93
Bulgaria,2011,2.19
Bulgaria,2012,2.03
Burkina Faso,1994,83.06
Burkina Faso,1998,81.61
Burkina Faso,2003,57.26
Burkina Faso,2009,55.29
Burundi,1992,81.12
Burundi,1998,84.12
Burundi,2006,77.65
Cambodia,1994,47.05
Cambodia,2004,31.95
Cambodia,2007,29.4
Cambodia,2008,19.5
Cambodia,2009,11.72
Cambodia,2010,9.97
Cambodia,2011,8.94
Cambodia,2012,6.15
Cameroon,1996,48.08
Cameroon,2001,23.12
Cameroon,2007,29.27
Cape Verde,2001,28.16
Cape Verde,2007,17.57
Central African Republic,1992,84.27
Central African Republic,2003,64.77
Central African Republic,2008,66.27
Chad,2003,62.94
Chad,2011,38.43
Chile,1987,8.47
Chile,1990,7.92
Chile,1992,4.57
Chile,1994,4.87
Chile,1996,3.35
Chile,1998,3.48
Chile,2000,3.11
Chile,2003,2.61
Chile,2006,1.66
Chile,2009,1.72
Chile,2011,1.3
Chile,2013,0.92
China,1981,88.32
China,1984,75.75
China,1987,60.84
China,1990,66.58
China,1993,57
China,1996,42.05
China,1999,40.54
China,2002,31.95
China,2005,18.75
China,2008,14.65
China,2010,11.18
Colombia,1988,14.64
Colombia,1989,10.5
Colombia,1991,10.37
Colombia,1992,8.05
Colombia,1996,15.23
Colombia,1999,19.21
Colombia,2000,15.87
Colombia,2001,20.77
Colombia,2002,14.66
Colombia,2003,12.8
Colombia,2004,11.79
Colombia,2005,10.4
Colombia,2006,20.71
Colombia,2007,17.39
Colombia,2008,10.71
Colombia,2009,9.28
Colombia,2010,8.06
Colombia,2011,6.58
Colombia,2012,7.09
Colombia,2013,6.12
Comoros,2004,13.47
Congo,2005,50.22
Congo,2011,28.71
Costa Rica,1981,25.9
Costa Rica,1986,13.95
Costa Rica,1989,12.77
Costa Rica,1990,9.92
Costa Rica,1991,11.66
Costa Rica,1992,9.64
Costa Rica,1993,8.01
Costa Rica,1994,6.65
Costa Rica,1995,6.94
Costa Rica,1996,7.96
Costa Rica,1997,6.47
Costa Rica,1998,5.06
Costa Rica,1999,6.37
Costa Rica,2000,6.48
Costa Rica,2001,6.54
Costa Rica,2002,6.34
Costa Rica,2003,6.11
Costa Rica,2004,5.59
Costa Rica,2005,4.37
Costa Rica,2006,4.37
Costa Rica,2007,2.4
Costa Rica,2008,2.71
Costa Rica,2009,3.33
Costa Rica,2010,1.61
Costa Rica,2011,1.75
Costa Rica,2012,1.72
Costa Rica,2013,1.68
Cote d'Ivoire,1985,6.81
Cote d'Ivoire,1986,3.1
Cote d'Ivoire,1987,6.66
Cote d'Ivoire,1988,10.68
Cote d'Ivoire,1992,21.58
Cote d'Ivoire,1993,19.22
Cote d'Ivoire,1995,19.11
Cote d'Ivoire,1998,25.66
Cote d'Ivoire,2002,23.03
Cote d'Ivoire,2008,29.02
Croatia,1988,0.04
Croatia,1998,0
Croatia,1999,0.24
Croatia,2000,0.09
Croatia,2001,0.09
Croatia,2004,0
Croatia,2008,0
Croatia,2009,0.03
Croatia,2010,0
Croatia,2011,0.85
Czech Republic,1988,0
Czech Republic,1993,0.02
Czech Republic,1996,0.15
Czech Republic,2004,0
Czech Republic,2005,0
Czech Republic,2006,0.07
Czech Republic,2007,0.12
Czech Republic,2008,0.04
Czech Republic,2009,0.07
Czech Republic,2010,0.04
Czech Republic,2011,0.05
Czech Republic,2012,0.06
Democratic Republic of Congo,2004,91.21
Democratic Republic of Congo,2012,77.18
Djibouti,2002,20.63
Djibouti,2012,18.32
Dominican Republic,1986,19.19
Dominican Republic,1989,15.16
Dominican Republic,1992,5.02
Dominican Republic,1996,4.93
Dominican Republic,1997,5.18
Dominican Republic,2000,5.46
Dominican Republic,2001,4.17
Dominican Republic,2002,5.84
Dominican Republic,2003,6.79
Dominican Republic,2004,8.62
Dominican Republic,2005,5.84
Dominican Republic,2006,4.55
Dominican Republic,2007,4.34
Dominican Republic,2008,3.76
Dominican Republic,2009,3.26
Dominican Republic,2010,2.61
Dominican Republic,2011,2.9
Dominican Republic,2012,2.59
Dominican Republic,2013,2.32
East Asia & Pacific (developing only),1981,80.6
East Asia & Pacific (developing only),1984,70.14
East Asia & Pacific (developing only),1987,58.68
East Asia & Pacific (developing only),1990,60.56
East Asia & Pacific (developing only),1993,51.99
East Asia & Pacific (developing only),1996,39.28
East Asia & Pacific (developing only),1999,37.45
East Asia & Pacific (developing only),2002,29.19
East Asia & Pacific (developing only),2005,18.61
East Asia & Pacific (developing only),2008,14.96
East Asia & Pacific (developing only),2010,11.21
East Asia & Pacific (developing only),2011,8.54
East Asia & Pacific (developing only),2012,7.21
Ecuador,1987,18.47
Ecuador,1994,17.13
Ecuador,1995,19.52
Ecuador,1998,15.66
Ecuador,1999,21.82
Ecuador,2000,28.15
Ecuador,2003,16.94
Ecuador,2004,15.2
Ecuador,2005,13.6
Ecuador,2006,9.31
Ecuador,2007,10.06
Ecuador,2008,8.96
Ecuador,2009,8.92
Ecuador,2010,7.05
Ecuador,2011,5.86
Ecuador,2012,5.87
Ecuador,2013,4.43
El Salvador,1989,21.53
El Salvador,1991,20.65
El Salvador,1995,19.87
El Salvador,1996,21.95
El Salvador,1998,20.02
El Salvador,1999,16.27
El Salvador,2000,11.81
El Salvador,2001,12.73
El Salvador,2002,13.08
El Salvador,2003,15.76
El Salvador,2004,9.95
El Salvador,2005,9.55
El Salvador,2006,6.36
El Salvador,2007,4.49
El Salvador,2008,6.92
El Salvador,2009,6.4
El Salvador,2010,7.24
El Salvador,2011,4.53
El Salvador,2012,4.16
El Salvador,2013,3.25
Estonia,1988,0.06
Estonia,1993,1.32
Estonia,1995,0.57
Estonia,1998,0.15
Estonia,2000,1.37
Estonia,2001,1.17
Estonia,2002,1.32
Estonia,2003,1.14
Estonia,2004,0.54
Estonia,2005,0.96
Estonia,2006,0.87
Estonia,2007,0.52
Estonia,2008,0.5
Estonia,2009,0.73
Estonia,2010,0.92
Estonia,2011,1.21
Estonia,2012,0.99
