Entity,Year,Gini coefficients for lifetime inequality (Peltzman (2009))
Brazil,1892,0.5656196
Brazil,1897,0.5565499
Brazil,1902,0.5474802
Brazil,1907,0.482472465
Brazil,1912,0.494322058
Brazil,1917,0.53635972
Brazil,1922,0.5205989
Brazil,1927,0.464073867
Brazil,1932,0.449868506
Brazil,1937,0.48148749
Brazil,1942,0.4718846
Brazil,1947,0.44113255
Brazil,1952,0.4103805
Brazil,1957,0.34757255
Brazil,1962,0.2847646
Brazil,1967,0.2448738
Brazil,1972,0.239878
Brazil,1977,0.2348822
Brazil,1982,0.2107314
Brazil,1987,0.1900287
Brazil,1992,0.1722206
Brazil,1997,0.1596206
Brazil,2002,0.1555728
England and Wales,1842,0.4353723
England and Wales,1847,0.455092
England and Wales,1852,0.443003
England and Wales,1857,0.4395387
England and Wales,1862,0.434521
England and Wales,1867,0.4344853
England and Wales,1872,0.4229762
England and Wales,1877,0.4038101
England and Wales,1882,0.391243
England and Wales,1887,0.3782788
England and Wales,1892,0.3803846
England and Wales,1897,0.3776642
England and Wales,1902,0.3533868
England and Wales,1907,0.3190179
England and Wales,1912,0.3021229
England and Wales,1917,0.3545121
England and Wales,1922,0.248249
England and Wales,1927,0.2321962
England and Wales,1932,0.2145782
England and Wales,1937,0.1947958
England and Wales,1942,0.2070419
England and Wales,1947,0.166931
England and Wales,1952,0.1319542
England and Wales,1957,0.1232427
England and Wales,1962,0.121083
England and Wales,1967,0.118203
England and Wales,1972,0.1160492
England and Wales,1977,0.1115178
England and Wales,1982,0.1064005
England and Wales,1987,0.1029105
England and Wales,1992,0.0993739
England and Wales,1997,0.096318
England and Wales,2002,0.0935984
France,1807,0.5086977
France,1812,0.5181802
France,1817,0.480166
France,1822,0.4787248
France,1827,0.4845104
France,1832,0.4873891
France,1837,0.4568603
France,1842,0.4507581
France,1847,0.4540328
France,1852,0.4458101
France,1857,0.4811243
France,1862,0.4425059
France,1867,0.4501518
France,1872,0.4739098
France,1877,0.4195255
France,1882,0.4296706
France,1887,0.4163992
France,1892,0.4122466
France,1897,0.3879703
France,1902,0.3660499
France,1907,0.3438413
France,1912,0.3435938
France,1917,0.4099435
France,1922,0.2904369
France,1927,0.2776386
France,1932,0.2498471
France,1937,0.2316667
France,1942,0.284311
France,1947,0.212866
France,1952,0.1605238
France,1957,0.1427997
France,1962,0.131836
France,1967,0.1276593
France,1972,0.1230453
France,1977,0.1170786
France,1982,0.1126681
France,1987,0.1087895
France,1992,0.1065082
France,1997,0.1019596
France,2002,0.0986792
Germany,1742,0.4742597
Germany,1753,0.4738662
Germany,1757,0.48261265
Germany,1762,0.4913591
Germany,1767,0.47918845
Germany,1772,0.4670178
Germany,1777,0.46874885
Germany,1782,0.4704799
Germany,1787,0.4836096
Germany,1792,0.4967393
Germany,1797,0.46982085
Germany,1802,0.4429024
Germany,1807,0.44392275
Germany,1812,0.4449431
Germany,1817,0.42969215
Germany,1822,0.4144412
Germany,1827,0.42792925
Germany,1832,0.4414173
Germany,1837,0.43146915
Germany,1842,0.421521
Germany,1847,0.4349159
Germany,1852,0.4483108
Germany,1857,0.489666757
Germany,1862,0.455573085
Germany,1867,0.468585699
Germany,1872,0.4985684
Germany,1877,0.4985684
Germany,1882,0.4810774
Germany,1887,0.4810774
Germany,1892,0.4420374
Germany,1897,0.4420374
Germany,1902,0.3877
Germany,1907,0.3877
Germany,1912,0.3541659
Germany,1917,0.410847323
Germany,1922,0.281563603
Germany,1927,0.2586216
Germany,1932,0.2146032
Germany,1937,0.204001002
Germany,1942,0.25778405
Germany,1947,0.199847112
Germany,1952,0.157211231
Germany,1957,0.1473749
Germany,1962,0.1331112
Germany,1967,0.1209259
Germany,1972,0.1145272
Germany,1977,0.1119913
Germany,1982,0.1088836
Germany,1987,0.1058394
Germany,1992,0.1093146
Germany,1997,0.1020257
Germany,2002,0.0937484
India,1892,0.6168554
India,1897,0.6168554
India,1902,0.6286164
India,1907,0.6286164
India,1912,0.608845
India,1917,0.5890736
India,1922,0.5693022
India,1927,0.5693022
India,1932,0.549975067
India,1937,0.530647933
India,1942,0.5113208
India,1947,0.5113208
India,1952,0.3978703
India,1957,0.3978703
India,1962,0.3736019
India,1967,0.3736019
India,1972,0.3563927
India,1977,0.3246219
India,1982,0.28869
India,1987,0.2611792
India,1992,0.247063667
India,1997,0.232948133
