Entity,Year,"Net investment (Blum, Ducoing, McLaughlin (2017))","Green investment (Blum, Ducoing, McLaughlin (2017))","Genuine saving (Blum, Ducoing, McLaughlin (2017))","GSTFP (Blum, Ducoing, McLaughlin (2017))","GDP (Blum, Ducoing, McLaughlin (2017))","Green carbon (Blum, Ducoing, McLaughlin (2017))"
Argentina,1900,68.78,67.61,69.36,611.86,2915.58,
Argentina,1901,124.01,121.35,123.28,684.19,3077.47,
Argentina,1902,84.41,82.08,83.99,556.85,2930.59,
Argentina,1903,105.50,103.17,105.54,671.40,3259.57,
Argentina,1904,156.33,153.95,156.84,781.99,3509.50,
Argentina,1905,225.66,223.35,226.31,936.56,3862.89,
Argentina,1906,304.45,302.40,305.78,982.12,3876.84,
Argentina,1907,301.91,300.09,303.50,910.42,3782.96,
Argentina,1908,273.23,271.22,275.29,915.15,3968.29,
Argentina,1909,356.02,354.11,358.35,970.26,3982.45,
Argentina,1910,330.32,328.72,333.44,944.39,4082.46,
Argentina,1911,315.59,313.31,318.09,872.03,3995.78,
Argentina,1912,271.77,269.67,275.02,854.24,4157.14,
Argentina,1913,348.13,345.98,351.41,886.56,4037.82,
Argentina,1914,109.22,107.47,112.50,506.48,3478.79,
Argentina,1915,26.46,24.25,29.06,404.67,3363.79,
Argentina,1916,-6.20,-8.54,-3.63,339.31,3211.15,
Argentina,1917,-27.86,-29.64,-25.13,255.25,2900.45,
Argentina,1918,-42.10,-44.83,-39.38,345.32,3376.07,
Argentina,1919,-22.83,-24.61,-18.39,381.69,3440.70,
Argentina,1920,26.15,23.40,29.84,472.16,3629.00,
Argentina,1921,48.75,46.30,53.08,489.08,3611.50,
Argentina,1922,58.63,55.71,62.99,536.58,3782.26,
Argentina,1923,8.62,5.76,13.63,554.31,4077.58,
Argentina,1924,23.01,19.47,27.75,607.01,4263.97,
Argentina,1925,61.49,56.97,65.01,595.43,4120.28,
Argentina,1926,72.20,66.48,75.06,630.47,4290.33,
Argentina,1927,111.08,105.78,115.07,693.38,4381.11,
Argentina,1928,122.93,117.79,127.82,733.61,4529.26,
Argentina,1929,138.23,131.76,142.04,752.91,4590.18,
Argentina,1930,157.10,152.99,163.42,703.63,4487.36,
Argentina,1931,82.21,78.53,87.79,511.95,3929.72,
Argentina,1932,17.61,13.47,22.83,403.79,3731.09,
Argentina,1933,40.87,35.32,45.63,447.66,3833.26,
Argentina,1934,186.41,173.95,185.28,634.39,4062.08,
Argentina,1935,242.93,231.46,243.33,712.06,4163.75,
Argentina,1936,290.22,275.69,287.93,740.50,4127.16,
Argentina,1937,441.92,424.56,437.08,932.24,4359.32,
Argentina,1938,397.04,384.04,396.83,866.37,4309.89,
Argentina,1939,229.14,213.24,226.77,706.22,4404.34,
Argentina,1940,192.90,173.30,186.67,660.75,4408.01,
Argentina,1941,119.43,98.42,112.16,614.98,4562.78,
Argentina,1942,67.30,47.17,60.94,554.30,4545.43,
Argentina,1943,36.55,17.23,30.84,491.41,4440.39,
Argentina,1944,59.57,42.97,58.06,602.30,4868.53,
Argentina,1945,76.52,61.61,76.13,556.64,4638.94,
Argentina,1946,194.42,181.84,197.63,732.97,4938.50,
Argentina,1947,435.31,424.66,442.13,1052.71,5362.25,
Argentina,1948,454.05,444.36,462.80,1085.45,5531.50,
Argentina,1949,347.89,339.46,358.67,914.71,5332.58,
Argentina,1950,330.22,321.57,340.53,858.75,5276.11,
Argentina,1951,331.74,321.02,341.07,856.20,5366.34,
Argentina,1952,293.65,283.26,302.74,733.10,4993.75,
Argentina,1953,264.37,253.86,274.75,721.62,5156.32,
Argentina,1954,252.58,241.00,263.04,719.15,5268.14,
Argentina,1955,285.84,274.04,297.99,789.12,5536.77,
Argentina,1956,303.89,292.52,317.31,803.11,5589.08,
Argentina,1957,349.46,335.57,361.93,865.53,5777.00,
Argentina,1958,371.93,358.55,385.76,917.87,6026.31,
Argentina,1959,291.37,274.41,302.87,740.95,5544.11,
Argentina,1960,431.69,402.32,431.04,924.43,5883.58,
Argentina,1961,440.36,402.96,433.91,962.31,6200.69,
Argentina,1962,329.42,285.00,315.61,795.23,6006.73,
Argentina,1963,207.28,167.30,197.57,630.67,5774.00,
