Entity,Year,Observations in PovcalNet per decade (OWID (2017))
Albania,1994,0
Albania,2004,2
Albania,2014,3
Angola,1994,0
Angola,2004,1
Angola,2014,1
Argentina,1994,6
Argentina,2004,10
Argentina,2014,10
Armenia,1994,0
Armenia,2004,6
Armenia,2014,10
Azerbaijan,1994,0
Azerbaijan,2004,5
Azerbaijan,2014,2
Bangladesh,1994,3
Bangladesh,2004,2
Bangladesh,2014,2
Belarus,1994,2
Belarus,2004,8
Belarus,2014,10
Belize,1994,2
Belize,2004,5
Belize,2014,0
Benin,1994,0
Benin,2004,1
Benin,2014,1
Bhutan,1994,0
Bhutan,2004,1
Bhutan,2014,2
Bolivia,1994,2
Bolivia,2004,6
Bolivia,2014,9
Bosnia and Herzegovina,1994,0
Bosnia and Herzegovina,2004,2
Bosnia and Herzegovina,2014,2
Botswana,1994,2
Botswana,2004,1
Botswana,2014,1
Brazil,1994,8
Brazil,2004,9
Brazil,2014,9
Bulgaria,1994,3
Bulgaria,2004,4
Bulgaria,2014,7
Burkina Faso,1994,1
Burkina Faso,2004,2
Burkina Faso,2014,2
Burundi,1994,1
Burundi,2004,1
Burundi,2014,1
Cambodia,1994,1
Cambodia,2004,1
Cambodia,2014,6
Cameroon,1994,0
Cameroon,2004,2
Cameroon,2014,2
Cape Verde,1994,0
Cape Verde,2004,1
Cape Verde,2014,1
Central African Republic,1994,1
Central African Republic,2004,1
Central African Republic,2014,1
Chad,1994,0
Chad,2004,1
Chad,2014,1
Chile,1994,4
Chile,2004,4
Chile,2014,4
China,1994,3
China,2004,3
China,2014,6
Colombia,1994,4
Colombia,2004,7
Colombia,2014,8
Comoros,1994,0
Comoros,2004,1
Comoros,2014,0
Congo,1994,0
Congo,2004,0
Congo,2014,2
Costa Rica,1994,7
Costa Rica,2004,10
Costa Rica,2014,10
Cote d'Ivoire,1994,5
Cote d'Ivoire,2004,3
Cote d'Ivoire,2014,1
Croatia,1994,1
Croatia,2004,5
Croatia,2014,5
Czech Republic,1994,2
Czech Republic,2004,2
Czech Republic,2014,8
Democratic Republic of Congo,1994,0
Democratic Republic of Congo,2004,1
Democratic Republic of Congo,2014,1
Djibouti,1994,0
Djibouti,2004,1
Djibouti,2014,2
Dominican Republic,1994,3
Dominican Republic,2004,7
Dominican Republic,2014,9
East Asia & Pacific,1994,3
East Asia & Pacific,2004,3
East Asia & Pacific,2014,6
Ecuador,1994,2
Ecuador,2004,6
Ecuador,2014,10
El Salvador,1994,2
El Salvador,2004,9
El Salvador,2014,10
Estonia,1994,2
Estonia,2004,7
Estonia,2014,8
Ethiopia,1994,0
Ethiopia,2004,3
Ethiopia,2014,1
Europe & Central Asia,1994,3
Europe & Central Asia,2004,3
Europe & Central Asia,2014,6
Fiji,1994,0
Fiji,2004,1
Fiji,2014,1
Fragile and conflict affected situations,1994,3
Fragile and conflict affected situations,2004,3
Fragile and conflict affected situations,2014,6
Gabon,1994,0
Gabon,2004,0
Gabon,2014,1
Gambia,1994,0
Gambia,2004,2
Gambia,2014,0
Georgia,1994,0
Georgia,2004,9
Georgia,2014,10
Ghana,1994,3
Ghana,2004,1
Ghana,2014,1
Guatemala,1994,2
Guatemala,2004,2
Guatemala,2014,3
Guinea,1994,2
Guinea,2004,1
Guinea,2014,2
Guinea-Bissau,1994,2
Guinea-Bissau,2004,1
Guinea-Bissau,2014,1
Guyana,1994,1
Guyana,2004,1
Guyana,2014,0
Haiti,1994,0
Haiti,2004,1
Haiti,2014,1
High income,1994,3
High income,2004,3
High income,2014,6
Honduras,1994,7
Honduras,2004,9
Honduras,2014,10
Hungary,1994,3
Hungary,2004,7
Hungary,2014,7
IBRD only,1994,3
IBRD only,2004,3
IBRD only,2014,6
IDA & IBRD total,1994,3
IDA & IBRD total,2004,3
IDA & IBRD total,2014,6
IDA blend,1994,3
IDA blend,2004,3
IDA blend,2014,6
IDA only,1994,3
IDA only,2004,3
IDA only,2014,6
IDA total,1994,3
IDA total,2004,3
IDA total,2014,6
India,1994,2
India,2004,1
India,2014,2
Indonesia,1994,3
Indonesia,2004,8
Indonesia,2014,10
Iran,1994,3
Iran,2004,1
Iran,2014,3
Jamaica,1994,3
Jamaica,2004,4
Jamaica,2014,0
Kazakhstan,1994,2
Kazakhstan,2004,5
Kazakhstan,2014,9
Kenya,1994,2
Kenya,2004,1
Kenya,2014,1
Kiribati,1994,0
Kiribati,2004,0
Kiribati,2014,1
Kosovo,1994,0
Kosovo,2004,1
Kosovo,2014,7
Kyrgyzstan,1994,2
Kyrgyzstan,2004,6
Kyrgyzstan,2014,10
Laos,1994,1
Laos,2004,2
Laos,2014,2
Latin America & Caribbean,1994,3
Latin America & Caribbean,2004,3
Latin America & Caribbean,2014,6
Latvia,1994,2
Latvia,2004,7
Latvia,2014,8
Lesotho,1994,2
Lesotho,2004,1
Lesotho,2014,1
Liberia,1994,0
Liberia,2004,0
Liberia,2014,1
Lithuania,1994,2
Lithuania,2004,8
Lithuania,2014,8
Low & middle income,1994,3
Low & middle income,2004,3
Low & middle income,2014,6
Low income,1994,3
Low income,2004,3
Low income,2014,6
Lower middle income,1994,3
Lower middle income,2004,3
Lower middle income,2014,6
Macedonia,1994,0
Macedonia,2004,5
Macedonia,2014,3
Madagascar,1994,1
Madagascar,2004,3
Madagascar,2014,3
Malawi,1994,0
Malawi,2004,2
Malawi,2014,1
Malaysia,1994,3
Malaysia,2004,3
Malaysia,2014,2
Maldives,1994,0
Maldives,2004,1
Maldives,2014,1
Mali,1994,1
Mali,2004,1
Mali,2014,2
Mauritania,1994,2
Mauritania,2004,3
Mauritania,2014,2
Mauritius,1994,0
Mauritius,2004,0
Mauritius,2014,2
Mexico,1994,3
Mexico,2004,5
Mexico,2014,5
Micronesia (country),1994,0
Micronesia (country),2004,1
Micronesia (country),2014,2
Middle East & North Africa,1994,3
Middle East & North Africa,2004,2
Middle East & North Africa,2014,2
Middle income,1994,3
Middle income,2004,3
Middle income,2014,6
Moldova,1994,2
Moldova,2004,8
Moldova,2014,10
Mongolia,1994,0
Mongolia,2004,3
Mongolia,2014,5
Montenegro,1994,0
Montenegro,2004,0
Montenegro,2014,10
Morocco,1994,1
Morocco,2004,2
Morocco,2014,1
Mozambique,1994,0
Mozambique,2004,2
Mozambique,2014,1
Namibia,1994,1
Namibia,2004,1
Namibia,2014,1
Nepal,1994,0
Nepal,2004,2
Nepal,2014,1
Nicaragua,1994,1
Nicaragua,2004,2
Nicaragua,2014,3
Niger,1994,2
Niger,2004,0
Niger,2014,4
Nigeria,1994,2
Nigeria,2004,2
Nigeria,2014,1
Pakistan,1994,2
Pakistan,2004,4
Pakistan,2014,5
Palestine,1994,0
Palestine,2004,1
Palestine,2014,4
Panama,1994,2
Panama,2004,9
Panama,2014,10
Papua New Guinea,1994,0
Papua New Guinea,2004,1
Papua New Guinea,2014,1
Paraguay,1994,1
Paraguay,2004,7
Paraguay,2014,10
Peru,1994,2
Peru,2004,8
Peru,2014,10
Philippines,1994,4
Philippines,2004,3
Philippines,2014,3
Poland,1994,4
Poland,2004,8
Poland,2014,10
Romania,1994,3
Romania,2004,7
Romania,2014,7
Russia,1994,2
Russia,2004,9
Russia,2014,8
Rwanda,1994,0
Rwanda,2004,1
Rwanda,2014,3
Saint Lucia,1994,0
Saint Lucia,2004,1
Saint Lucia,2014,0
Samoa,1994,0
Samoa,2004,0
Samoa,2014,1
Sao Tome and Principe,1994,0
Sao Tome and Principe,2004,1
Sao Tome and Principe,2014,1
Senegal,1994,2
Senegal,2004,1
Senegal,2014,2
Serbia,1994,0
Serbia,2004,3
Serbia,2014,7
Seychelles,1994,0
Seychelles,2004,1
Seychelles,2014,2
Sierra Leone,1994,1
Sierra Leone,2004,1
Sierra Leone,2014,1
Slovakia,1994,2
Slovakia,2004,2
Slovakia,2014,8
Slovenia,1994,2
Slovenia,2004,4
Slovenia,2014,8
Solomon Islands,1994,0
Solomon Islands,2004,0
Solomon Islands,2014,1
South Africa,1994,1
South Africa,2004,2
South Africa,2014,3
South Asia,1994,3
South Asia,2004,2
South Asia,2014,6
South Sudan,1994,0
South Sudan,2004,0
South Sudan,2014,1
Sri Lanka,1994,2
Sri Lanka,2004,2
Sri Lanka,2014,3
Sub-Saharan Africa,1994,2
Sub-Saharan Africa,2004,3
Sub-Saharan Africa,2014,6
Sudan,1994,0
Sudan,2004,0
Sudan,2014,1
Suriname,1994,0
Suriname,2004,1
Suriname,2014,0
Swaziland,1994,1
Swaziland,2004,1
Swaziland,2014,1
Tajikistan,1994,0
Tajikistan,2004,3
Tajikistan,2014,5
Tanzania,1994,1
Tanzania,2004,1
Tanzania,2014,2
Thailand,1994,4
Thailand,2004,6
Thailand,2014,8
Timor,1994,0
Timor,2004,1
Timor,2014,1
Togo,1994,0
Togo,2004,0
Togo,2014,2
Tonga,1994,0
Tonga,2004,1
Tonga,2014,1
Trinidad and Tobago,1994,2
Trinidad and Tobago,2004,0
Trinidad and Tobago,2014,0
Tunisia,1994,2
Tunisia,2004,2
Tunisia,2014,2
Turkey,1994,2
Turkey,2004,3
Turkey,2014,9
Turkmenistan,1994,2
Turkmenistan,2004,1
Turkmenistan,2014,0
Tuvalu,1994,0
Tuvalu,2004,0
Tuvalu,2014,1
Uganda,1994,2
Uganda,2004,3
Uganda,2014,3
Ukraine,1994,3
Ukraine,2004,6
Ukraine,2014,10
Upper middle income,1994,3
Upper middle income,2004,3
Upper middle income,2014,6
Uruguay,1994,2
Uruguay,2004,9
Uruguay,2014,10
Uzbekistan,1994,1
Uzbekistan,2004,4
Uzbekistan,2014,0
Vanuatu,1994,0
Vanuatu,2004,0
Vanuatu,2014,1
Venezuela,1994,3
Venezuela,2004,7
Venezuela,2014,2
Vietnam,1994,1
Vietnam,2004,3
Vietnam,2014,5
World,1994,3
World,2004,3
World,2014,6
Zambia,1994,2
Zambia,2004,4
Zambia,2014,2
Zimbabwe,1994,0
Zimbabwe,2004,0
Zimbabwe,2014,1
