Entity,Year,Share who agree (Pew Research Centre (2012)),Share who disagree (Pew Research Centre (2012))
Argentina,2010,43,56
Brazil,2010,37,63
China,2010,73,26
Egypt,2010,79,17
France,2010,20,80
Germany,2010,19,80
India,2010,84,16
Indonesia,2010,74,27
Japan,2010,41,58
Jordan,2010,66,32
Kenya,2010,46,53
Lebanon,2010,50,49
Mexico,2010,28,69
Nigeria,2010,77,20
Pakistan,2010,81,18
Poland,2010,44,51
Russia,2010,47,49
South Korea,2010,60,39
Spain,2010,12,87
Tunisia,2010,86,14
Turkey,2010,67,30
United Kingdom,2010,12,85
United States,2010,14,85
