Entity,Year,"Diffusion of electrical appliances through the US economy (Greenwood, Seshadri and Yorukoglu (2005))"
Dishwasher,1922,1.1
Dishwasher,1923,1
Dishwasher,1924,1.8
Dishwasher,1931,0.6
Dishwasher,1948,1.2
Dishwasher,1949,1.5
Dishwasher,1950,2
Dishwasher,1951,2.6
Dishwasher,1952,3
Dishwasher,1953,3.2
Dishwasher,1954,3.5
Dishwasher,1955,4
Dishwasher,1956,4.6
Dishwasher,1957,5.2
Dishwasher,1958,5.8
Dishwasher,1959,6.3
Dishwasher,1960,7.1
Dishwasher,1961,7.9
Dishwasher,1962,8.9
Dishwasher,1963,9
Dishwasher,1964,11.8
Dishwasher,1965,13.5
Dishwasher,1966,15.7
Dishwasher,1967,18.1
Dishwasher,1968,20.8
Dishwasher,1969,23.7
Dishwasher,1970,26.5
Dishwasher,1971,29.6
Dishwasher,1972,32
Dishwasher,1973,34.3
Dishwasher,1974,36.6
Dishwasher,1975,38.3
Dishwasher,1976,39.6
Dishwasher,1978,41.9
Dryer,1950,1
Dryer,1960,11
Dryer,1970,28
Dryer,1973,40
Dryer,1978,43
Dryer,1983,49
Dryer,1986,48
Electric Range,1933,5
Electric Range,1950,14
Electric Range,1960,30
Electric Range,1970,40
Electric Range,1975,45
Electric Range,1980,50
Electric Range,1985,53
Electric Range,1986,57
Freezer,1950,6
Freezer,1960,22
Freezer,1965,26
Freezer,1970,30
Freezer,1978,38
Freezer,1982,42
Iron,1933,96
Iron,1965,99
Iron,1970,100
Microwave,1975,3
Microwave,1980,7
Microwave,1982,20
Microwave,1983,34
Microwave,1986,60
Refrigerator,1925,1
Refrigerator,1926,2.4
Refrigerator,1927,4.3
Refrigerator,1928,6.4
Refrigerator,1929,9.4
Refrigerator,1930,12.8
Refrigerator,1931,17.1
Refrigerator,1932,21.6
Refrigerator,1933,24.7
Refrigerator,1934,29.3
Refrigerator,1935,34.2
Refrigerator,1936,41.1
Refrigerator,1937,49.4
Refrigerator,1938,51.7
Refrigerator,1939,56
Refrigerator,1940,63
Refrigerator,1941,72
Refrigerator,1942,71.8
Refrigerator,1943,70.9
Refrigerator,1944,69.6
Refrigerator,1945,67.5
Refrigerator,1946,69.1
Refrigerator,1947,71.2
Refrigerator,1948,76.6
Refrigerator,1949,79.2
Refrigerator,1950,86.4
Refrigerator,1951,86.7
Refrigerator,1952,89.2
Refrigerator,1953,90.4
Refrigerator,1954,92.4
Refrigerator,1955,94.1
Refrigerator,1956,96
Refrigerator,1957,97.3
Refrigerator,1958,97.7
Refrigerator,1959,98
Refrigerator,1960,98.2
Refrigerator,1961,98.3
Refrigerator,1962,99.5
Refrigerator,1963,99.1
Refrigerator,1964,99.3
Refrigerator,1965,99.5
Refrigerator,1966,99.6
Refrigerator,1967,99.7
Refrigerator,1968,99.8
Refrigerator,1969,99.8
Refrigerator,1970,99.8
Refrigerator,1971,99.8
Refrigerator,1972,99.9
Refrigerator,1973,99.9
Refrigerator,1974,99.9
Refrigerator,1975,99.9
Refrigerator,1976,99.8
Refrigerator,1978,99.7
Vacuum,1922,31.5
Vacuum,1923,33.5
Vacuum,1924,35.7
Vacuum,1925,36
Vacuum,1926,37.1
Vacuum,1927,38.8
Vacuum,1928,40.5
Vacuum,1929,43.6
Vacuum,1930,44.5
Vacuum,1931,45.4
Vacuum,1932,46.6
Vacuum,1933,48.6
Vacuum,1934,48.1
Vacuum,1935,48.3
Vacuum,1936,48.9
Vacuum,1937,48.8
Vacuum,1938,49
Vacuum,1939,48.4
Vacuum,1940,49.2
Vacuum,1941,49.7
Vacuum,1942,49.5
Vacuum,1943,49
Vacuum,1944,48.2
Vacuum,1945,46.9
Vacuum,1946,48.8
Vacuum,1947,49.5
Vacuum,1948,51.7
Vacuum,1949,52.8
Vacuum,1950,56.5
Vacuum,1951,57.7
Vacuum,1952,59.4
Vacuum,1953,60.5
Vacuum,1954,62.2
Vacuum,1955,64.3
Vacuum,1956,66.7
Vacuum,1957,68.3
Vacuum,1958,70.9
Vacuum,1959,72.5
Vacuum,1960,74.3
Vacuum,1961,76.4
Vacuum,1962,78.2
Vacuum,1963,79.5
Vacuum,1964,81.2
Vacuum,1965,83.5
Vacuum,1966,85.6
Vacuum,1967,87
Vacuum,1968,89.1
Vacuum,1969,90.7
Vacuum,1970,92
Vacuum,1971,94.4
Vacuum,1972,96.9
Vacuum,1973,97.5
Vacuum,1974,98.4
Vacuum,1975,99.2
Vacuum,1976,99.5
Vacuum,1978,99.9
Washer,1920,39
Washer,1930,55
Washer,1960,73
Washer,1970,70
Washer,1984,73
Washer,1987,75
Washer,1989,75
Water Heater,1933,1
Water Heater,1953,12
Water Heater,1960,20
Water Heater,1970,23
Water Heater,1982,29
Water Heater,1983,31
Water Heater,1986,35
