Entity,Year,Ratio of diabetes to obesity prevalence,Ratio of diabetes to overweight prevalence
Afghanistan,2015,2.05,0.46
Albania,2015,0.47,0.18
Algeria,2015,0.29,0.13
Andorra,2015,0.31,0.13
Angola,2015,0.63,0.18
Antigua and Barbuda,2015,0.73,0.29
Argentina,2015,0.21,0.10
Armenia,2015,0.32,0.12
Australia,2015,0.17,0.08
Austria,2015,0.32,0.12
Azerbaijan,2015,0.34,0.12
Bahamas,2015,0.42,0.20
Bahrain,2015,0.70,0.31
Bangladesh,2015,2.68,0.45
Barbados,2015,0.56,0.25
Belarus,2015,0.20,0.09
Belgium,2015,0.21,0.08
Belize,2015,0.76,0.32
Benin,2015,0.10,0.03
Bhutan,2015,1.69,0.38
Bolivia,2015,0.41,0.14
Bosnia and Herzegovina,2015,0.52,0.18
Botswana,2015,0.35,0.15
Brazil,2015,0.48,0.19
Brunei,2015,0.97,0.33
Bulgaria,2015,0.22,0.09
Burkina Faso,2015,0.51,0.11
Burundi,2015,0.64,0.14
Cambodia,2015,0.91,0.15
Cameroon,2015,0.71,0.22
Canada,2015,0.24,0.11
Cape Verde,2015,0.23,0.07
Central African Republic,2015,1.03,0.28
Chad,2015,1.24,0.30
Chile,2015,0.35,0.16
China,2015,1.58,0.30
Colombia,2015,0.46,0.17
Comoros,2015,1.50,0.41
Congo,2015,0.86,0.25
Costa Rica,2015,0.34,0.14
Cote d'Ivoire,2015,0.26,0.08
Croatia,2015,0.21,0.09
Cuba,2015,0.38,0.16
Cyprus,2015,0.43,0.16
Czech Republic,2015,0.26,0.11
Democratic Republic of Congo,2015,1.21,0.30
Denmark,2015,0.34,0.12
Djibouti,2015,0.71,0.24
Dominica,2015,0.46,0.21
Dominican Republic,2015,0.34,0.15
Ecuador,2015,0.49,0.17
Egypt,2015,0.55,0.27
El Salvador,2015,0.42,0.16
Equatorial Guinea,2015,1.08,0.31
Eritrea,2015,0.95,0.19
Estonia,2015,0.19,0.07
Ethiopia,2015,1.00,0.19
Fiji,2015,0.47,0.22
Finland,2015,0.24,0.10
France,2015,0.23,0.08
Gabon,2015,0.60,0.21
Gambia,2015,0.24,0.07
Georgia,2015,0.28,0.11
Germany,2015,0.29,0.12
Ghana,2015,0.25,0.08
Greece,2015,0.19,0.08
Grenada,2015,0.59,0.24
Guatemala,2015,0.61,0.22
Guinea,2015,0.35,0.09
Guinea-Bissau,2015,0.28,0.08
Guyana,2015,0.60,0.24
Haiti,2015,0.35,0.14
Honduras,2015,0.49,0.18
Hungary,2015,0.26,0.11
Iceland,2015,0.27,0.10
India,2015,2.58,0.50
Indonesia,2015,1.00,0.24
Iran,2015,0.41,0.17
Iraq,2015,0.35,0.16
Ireland,2015,0.17,0.07
Israel,2015,0.29,0.12
Italy,2015,0.23,0.08
Jamaica,2015,0.49,0.21
Japan,2015,1.36,0.20
Jordan,2015,0.36,0.18
Kazakhstan,2015,0.31,0.12
Kenya,2015,0.42,0.11
Kiribati,2015,0.41,0.24
Kuwait,2015,0.55,0.28
Kyrgyzstan,2015,0.43,0.14
Laos,2015,0.86,0.17
Latvia,2015,0.21,0.09
Lebanon,2015,0.43,0.20
Lesotho,2015,0.30,0.12
Liberia,2015,0.28,0.08
Libya,2015,0.34,0.16
Lithuania,2015,0.14,0.06
Luxembourg,2015,0.20,0.08
Macedonia,2015,0.44,0.17
Madagascar,2015,0.95,0.20
Malawi,2015,0.80,0.18
Malaysia,2015,1.22,0.44
Maldives,2015,1.26,0.34
Mali,2015,0.32,0.09
Malta,2015,0.32,0.14
Marshall Islands,2015,0.41,0.26
Mauritania,2015,0.21,0.07
Mauritius,2015,2.01,0.67
Mexico,2015,0.57,0.25
Micronesia (country),2015,0.40,0.23
Moldova,2015,0.36,0.13
Mongolia,2015,0.29,0.10
Montenegro,2015,0.43,0.17
Morocco,2015,0.33,0.14
Mozambique,2015,0.45,0.12
Myanmar,2015,1.26,0.29
Namibia,2015,0.29,0.12
Nauru,2015,0.40,0.27
Nepal,2015,1.06,0.19
Netherlands,2015,0.24,0.09
New Zealand,2015,0.23,0.11
Nicaragua,2015,0.43,0.17
Niger,2015,0.49,0.11
Nigeria,2015,0.31,0.09
North Korea,2015,0.65,0.13
Norway,2015,0.24,0.10
Oman,2015,0.68,0.27
Pakistan,2015,1.09,0.32
Palau,2015,0.38,0.25
Panama,2015,0.45,0.17
Papua New Guinea,2015,0.81,0.31
Paraguay,2015,0.53,0.19
Peru,2015,0.37,0.12
Philippines,2015,1.21,0.27
Poland,2015,0.25,0.10
Portugal,2015,0.44,0.16
Qatar,2015,0.61,0.29
Romania,2015,0.35,0.14
Russia,2015,0.37,0.15
Rwanda,2015,0.91,0.19
Saint Kitts and Nevis,2015,0.58,0.25
Saint Lucia,2015,0.57,0.23
Saint Vincent and the Grenadines,2015,0.52,0.22
Samoa,2015,0.18,0.11
Sao Tome and Principe,2015,0.23,0.07
Saudi Arabia,2015,0.59,0.29
Senegal,2015,0.31,0.09
Serbia,2015,0.45,0.17
Seychelles,2015,1.23,0.47
Sierra Leone,2015,0.31,0.09
Singapore,2015,1.62,0.32
Slovakia,2015,0.36,0.13
Slovenia,2015,0.35,0.13
Solomon Islands,2015,0.83,0.32
Somalia,2015,0.77,0.21
South Africa,2015,0.29,0.15
South Korea,2015,1.50,0.23
Spain,2015,0.29,0.12
Sri Lanka,2015,1.57,0.34
Suriname,2015,0.48,0.21
Swaziland,2015,0.29,0.12
Sweden,2015,0.22,0.08
Switzerland,2015,0.29,0.11
Syria,2015,0.32,0.14
Tajikistan,2015,0.53,0.16
Tanzania,2015,0.60,0.17
Thailand,2015,0.70,0.21
Timor,2015,2.57,0.41
Togo,2015,0.71,0.20
Tonga,2015,0.30,0.18
Trinidad and Tobago,2015,0.72,0.29
Tunisia,2015,0.36,0.16
Turkey,2015,0.41,0.19
Turkmenistan,2015,0.38,0.13
Tuvalu,2015,0.34,0.22
Uganda,2015,0.79,0.17
Ukraine,2015,0.25,0.11
United Arab Emirates,2015,0.67,0.30
United Kingdom,2015,0.16,0.07
United States,2015,0.29,0.16
Uruguay,2015,0.21,0.10
Uzbekistan,2015,0.45,0.15
Vanuatu,2015,0.73,0.31
Venezuela,2015,0.49,0.19
Vietnam,2015,3.16,0.34
Yemen,2015,0.38,0.12
Zambia,2015,0.66,0.18
Zimbabwe,2015,0.33,0.12
