Entity,Year,Share in extreme poverty,Share not in extreme poverty
Argentina,1820,63,37
Argentina,1830,56,44
Argentina,1840,48,52
Argentina,1850,41,59
Argentina,1860,45,55
Argentina,1870,51,49
Argentina,1880,43,57
Argentina,1890,23,77
Argentina,1900,21,79
Argentina,1910,17,83
Argentina,1920,18,82
Argentina,1930,12,88
Argentina,1940,6,94
Argentina,1950,2,98
Argentina,1960,1,99
Argentina,1970,0,100
Argentina,1980,2,98
Argentina,1990,2,98
Argentina,2000,9,91
Argentina,2010,2,98
Argentina,2018,0,100
Australia,1820,87,13
Australia,1830,69,31
Australia,1840,45,55
Australia,1850,28,72
Australia,1860,15,85
Australia,1870,17,83
Australia,1880,7,93
Australia,1890,3,97
Australia,1900,5,95
Australia,1910,4,96
Australia,1920,4,96
Australia,1930,1,99
Australia,1940,0,100
Australia,1950,0,100
Australia,1960,0,100
Australia,1970,0,100
Australia,1980,0,100
Australia,1990,1,99
Australia,2000,1,99
Australia,2010,1,99
Australia,2018,2,98
Brazil,1820,91,9
Brazil,1830,92,8
Brazil,1840,92,8
Brazil,1850,93,7
Brazil,1860,90,10
Brazil,1870,87,13
Brazil,1880,89,11
Brazil,1890,88,12
Brazil,1900,95,5
Brazil,1910,90,10
Brazil,1920,76,24
Brazil,1930,77,23
Brazil,1940,89,11
Brazil,1950,72,28
Brazil,1960,73,27
Brazil,1970,76,24
Brazil,1980,11,89
Brazil,1990,23,77
Brazil,2000,12,88
Brazil,2010,8,92
Brazil,2018,7,93
Canada,1820,74,26
Canada,1830,69,31
Canada,1840,58,42
Canada,1850,44,56
Canada,1860,41,59
Canada,1870,35,65
Canada,1880,35,65
Canada,1890,28,72
Canada,1900,19,81
Canada,1910,9,91
Canada,1920,10,90
Canada,1930,7,93
Canada,1940,2,98
Canada,1950,0,100
Canada,1960,0,100
Canada,1970,0,100
Canada,1980,0,100
Canada,1990,0,100
Canada,2000,1,99
Canada,2010,0,100
Canada,2018,1,99
China,1820,76,24
China,1830,76,24
China,1840,77,23
China,1850,78,22
China,1860,78,22
China,1870,77,23
China,1880,76,24
China,1890,73,27
China,1900,74,26
China,1910,77,23
China,1920,76,24
China,1930,77,23
China,1940,79,21
China,1950,84,16
China,1960,73,27
China,1970,75,25
China,1980,53,47
China,1990,42,58
China,2000,33,67
China,2010,19,81
China,2018,5,95
East Asia,1820,78,22
East Asia,1850,80,20
East Asia,1870,80,20
East Asia,1900,76,24
East Asia,1920,77,23
East Asia,1950,82,18
East Asia,1960,66,34
East Asia,1970,64,36
East Asia,1980,46,54
East Asia,1990,37,63
East Asia,2000,29,71
East Asia,2010,17,83
East Asia,2018,5,95
Eastern Europe,1820,91,9
Eastern Europe,1850,84,16
Eastern Europe,1870,68,32
Eastern Europe,1900,43,57
Eastern Europe,1920,63,37
Eastern Europe,1950,19,81
Eastern Europe,1960,8,92
Eastern Europe,1970,2,98
Eastern Europe,1980,3,97
Eastern Europe,1990,1,99
Eastern Europe,2000,13,87
Eastern Europe,2010,3,97
Eastern Europe,2018,2,98
Egypt,1820,60,40
Egypt,1830,56,44
Egypt,1840,52,48
Egypt,1850,48,52
Egypt,1860,44,56
Egypt,1870,40,60
Egypt,1880,36,64
Egypt,1890,32,68
Egypt,1900,27,73
Egypt,1910,23,77
Egypt,1920,21,79
Egypt,1930,18,82
Egypt,1940,16,84
Egypt,1950,14,86
Egypt,1960,14,86
Egypt,1970,12,88
Egypt,1980,1,99
Egypt,1990,0,100
Egypt,2000,0,100
Egypt,2010,0,100
Egypt,2018,0,100
France,1820,77,23
France,1830,75,25
France,1840,72,28
France,1850,67,33
France,1860,63,37
France,1870,65,35
France,1880,61,39
France,1890,53,47
France,1900,51,49
France,1910,47,53
France,1920,45,55
France,1930,51,49
France,1940,49,51
France,1950,30,70
France,1960,16,84
France,1970,0,100
France,1980,0,100
France,1990,0,100
France,2000,0,100
France,2010,0,100
France,2018,0,100
Germany,1820,66,34
Germany,1830,64,36
Germany,1840,63,37
Germany,1850,59,41
Germany,1860,55,45
Germany,1870,53,47
Germany,1880,45,55
Germany,1890,31,69
Germany,1900,25,75
Germany,1910,24,76
Germany,1920,32,68
Germany,1930,22,78
Germany,1940,14,86
Germany,1950,21,79
Germany,1960,5,95
Germany,1970,2,98
Germany,1980,0,100
Germany,1990,0,100
Germany,2000,0,100
Germany,2010,0,100
Germany,2018,0,100
India,1820,65,35
India,1830,65,35
India,1840,65,35
India,1850,65,35
India,1860,67,33
India,1870,70,30
India,1880,68,32
India,1890,63,37
India,1900,61,39
India,1910,51,49
India,1920,57,43
India,1930,48,52
India,1940,53,47
India,1950,61,39
India,1960,66,34
India,1970,67,33
India,1980,49,51
India,1990,47,53
India,2000,32,68
India,2010,23,77
India,2018,9,91
Indonesia,1820,96,4
Indonesia,1830,97,3
Indonesia,1840,97,3
Indonesia,1850,99,1
Indonesia,1860,98,2
Indonesia,1870,98,2
Indonesia,1880,97,3
Indonesia,1890,97,3
Indonesia,1900,95,5
Indonesia,1910,93,7
Indonesia,1920,90,10
Indonesia,1930,86,14
Indonesia,1940,85,15
Indonesia,1950,91,9
Indonesia,1960,90,10
Indonesia,1970,73,27
Indonesia,1980,40,60
Indonesia,1990,41,59
Indonesia,2000,42,58
Indonesia,2010,25,75
Indonesia,2018,11,89
Italy,1820,75,25
Italy,1830,75,25
Italy,1840,74,26
Italy,1850,75,25
Italy,1860,75,25
Italy,1870,76,24
Italy,1880,77,23
Italy,1890,74,26
Italy,1900,72,28
Italy,1910,65,35
Italy,1920,45,55
Italy,1930,47,53
Italy,1940,40,60
Italy,1950,37,63
Italy,1960,20,80
Italy,1970,3,97
Italy,1980,0,100
Italy,1990,0,100
Italy,2000,0,100
Italy,2010,2,98
Italy,2018,3,97
Japan,1820,95,5
Japan,1830,96,4
Japan,1840,97,3
Japan,1850,98,2
Japan,1860,97,3
Japan,1870,97,3
Japan,1880,96,4
Japan,1890,97,3
Japan,1900,92,8
Japan,1910,90,10
Japan,1920,83,17
Japan,1930,80,20
Japan,1940,64,36
Japan,1950,73,27
Japan,1960,23,77
Japan,1970,2,98
Japan,1980,0,100
Japan,1990,0,100
Japan,2000,0,100
Japan,2010,1,99
Japan,2018,1,99
Kenya,1820,92,8
Kenya,1830,88,12
Kenya,1840,93,7
Kenya,1850,96,4
Kenya,1860,89,11
Kenya,1870,98,2
Kenya,1880,70,30
Kenya,1890,90,10
Kenya,1900,100,0
Kenya,1910,100,0
Kenya,1920,100,0
Kenya,1930,97,3
Kenya,1940,100,0
Kenya,1950,81,19
Kenya,1960,74,26
Kenya,1970,66,34
Kenya,1980,62,38
Kenya,1990,54,46
Kenya,2000,65,35
Kenya,2010,61,39
Kenya,2018,61,39
Latin America and Caribbean,1820,85,15
Latin America and Caribbean,1850,84,16
Latin America and Caribbean,1870,80,20
Latin America and Caribbean,1900,74,26
Latin America and Caribbean,1920,61,39
Latin America and Caribbean,1950,45,55
Latin America and Caribbean,1960,45,55
Latin America and Caribbean,1970,42,58
Latin America and Caribbean,1980,12,88
Latin America and Caribbean,1990,17,83
Latin America and Caribbean,2000,12,88
Latin America and Caribbean,2010,8,92
Latin America and Caribbean,2018,7,93
Mexico,1820,86,14
Mexico,1830,87,13
Mexico,1840,87,13
Mexico,1850,87,13
Mexico,1860,89,11
Mexico,1870,84,16
Mexico,1880,77,23
Mexico,1890,70,30
Mexico,1900,66,34
Mexico,1910,60,40
Mexico,1920,56,44
Mexico,1930,56,44
Mexico,1940,50,50
Mexico,1950,37,63
Mexico,1960,30,70
Mexico,1970,24,76
Mexico,1980,6,94
Mexico,1990,3,97
Mexico,2000,5,95
Mexico,2010,3,97
Mexico,2018,2,98
Middle East and North Africa,1820,75,25
Middle East and North Africa,1850,71,29
Middle East and North Africa,1870,68,32
Middle East and North Africa,1900,59,41
Middle East and North Africa,1920,55,45
Middle East and North Africa,1950,33,67
Middle East and North Africa,1960,34,66
Middle East and North Africa,1970,26,74
Middle East and North Africa,1980,17,83
Middle East and North Africa,1990,7,93
Middle East and North Africa,2000,3,97
Middle East and North Africa,2010,1,99
Middle East and North Africa,2018,1,99
Netherlands,1820,75,25
Netherlands,1830,74,26
Netherlands,1840,67,33
Netherlands,1850,64,36
Netherlands,1860,65,35
Netherlands,1870,63,37
Netherlands,1880,56,44
Netherlands,1890,47,53
Netherlands,1900,47,53
Netherlands,1910,44,56
Netherlands,1920,36,64
Netherlands,1930,19,81
Netherlands,1940,12,88
Netherlands,1950,8,92
Netherlands,1960,5,95
Netherlands,1970,0,100
Netherlands,1980,0,100
Netherlands,1990,0,100
Netherlands,2000,0,100
Netherlands,2010,0,100
Netherlands,2018,0,100
Nigeria,1820,92,8
Nigeria,1830,88,12
Nigeria,1840,93,7
Nigeria,1850,96,4
Nigeria,1860,89,11
Nigeria,1870,98,2
Nigeria,1880,70,30
Nigeria,1890,90,10
Nigeria,1900,100,0
Nigeria,1910,100,0
Nigeria,1920,100,0
Nigeria,1930,97,3
Nigeria,1940,100,0
Nigeria,1950,99,1
Nigeria,1960,94,6
Nigeria,1970,94,6
Nigeria,1980,95,5
Nigeria,1990,72,28
Nigeria,2000,71,29
Nigeria,2010,64,36
Nigeria,2018,62,38
Poland,1820,64,36
Poland,1830,56,44
Poland,1840,58,42
Poland,1850,54,46
Poland,1860,36,64
Poland,1870,30,70
Poland,1880,17,83
