Entity,Year,Human Development Index (Prados de la Escosura)
Afghanistan,1950,0.04
Afghanistan,1955,0.05
Afghanistan,1960,0.06
Afghanistan,1965,0.07
Afghanistan,1970,0.09
Afghanistan,1975,0.09
Afghanistan,1980,0.11
Afghanistan,1985,0.11
Afghanistan,1990,0.11
Afghanistan,1995,0.12
Afghanistan,2000,0.12
Afghanistan,2005,0.16
Afghanistan,2007,0.16
Afghanistan,2010,0.18
Afghanistan,2015,0.25
Albania,1913,0.07
Albania,1925,0.08
Albania,1929,0.08
Albania,1933,0.09
Albania,1938,0.12
Albania,1950,0.23
Albania,1955,0.24
Albania,1960,0.27
Albania,1965,0.30
Albania,1970,0.34
Albania,1975,0.37
Albania,1980,0.37
Albania,1985,0.38
Albania,1990,0.39
Albania,1995,0.38
Albania,2000,0.42
Albania,2005,0.46
Albania,2007,0.51
Albania,2010,0.53
Albania,2015,0.59
Algeria,1870,0.05
Algeria,1880,0.05
Algeria,1890,0.05
Algeria,1900,0.06
Algeria,1913,0.08
Algeria,1925,0.08
Algeria,1929,0.08
Algeria,1933,0.08
Algeria,1938,0.08
Algeria,1950,0.11
Algeria,1955,0.13
Algeria,1960,0.15
Algeria,1965,0.17
Algeria,1970,0.19
Algeria,1975,0.22
Algeria,1980,0.25
Algeria,1985,0.29
Algeria,1990,0.31
Algeria,1995,0.33
Algeria,2000,0.35
Algeria,2005,0.39
Algeria,2007,0.40
Algeria,2010,0.41
Algeria,2015,0.45
Angola,1870,0.03
Angola,1880,0.03
Angola,1890,0.03
Angola,1900,0.03
Angola,1913,0.03
Angola,1925,0.03
Angola,1929,0.03
Angola,1933,0.03
Angola,1938,0.03
Angola,1950,0.04
Angola,1955,0.06
Angola,1960,0.06
Angola,1965,0.08
Angola,1970,0.10
Angola,1975,0.11
Angola,1980,0.15
Angola,1985,0.15
Angola,1990,0.15
Angola,1995,0.15
Angola,2000,0.17
Angola,2005,0.22
Angola,2007,0.24
Angola,2010,0.24
Angola,2015,0.27
Argentina,1870,0.09
Argentina,1880,0.10
Argentina,1890,0.14
Argentina,1900,0.16
Argentina,1913,0.21
Argentina,1925,0.24
Argentina,1929,0.25
Argentina,1933,0.26
Argentina,1938,0.28
Argentina,1950,0.34
Argentina,1955,0.36
Argentina,1960,0.38
Argentina,1965,0.39
Argentina,1970,0.42
Argentina,1975,0.44
Argentina,1980,0.46
Argentina,1985,0.48
Argentina,1990,0.50
Argentina,1995,0.52
Argentina,2000,0.56
Argentina,2005,0.61
Argentina,2007,0.63
Argentina,2010,0.65
Argentina,2015,0.70
Armenia,1980,0.45
Armenia,1985,0.47
Armenia,1990,0.47
Armenia,1995,0.46
Armenia,2000,0.51
Armenia,2005,0.54
Armenia,2007,0.56
Armenia,2010,0.57
Armenia,2015,0.58
Australia,1870,0.23
Australia,1880,0.27
Australia,1890,0.28
Australia,1900,0.31
Australia,1913,0.36
Australia,1925,0.39
Australia,1929,0.40
Australia,1933,0.40
Australia,1938,0.42
Australia,1950,0.47
Australia,1955,0.50
Australia,1960,0.51
Australia,1965,0.52
Australia,1970,0.54
Australia,1975,0.56
Australia,1980,0.57
Australia,1985,0.59
Australia,1990,0.62
Australia,1995,0.77
Australia,2000,0.81
Australia,2005,0.84
Australia,2007,0.85
Australia,2010,0.87
Australia,2015,0.89
Austria,1870,0.15
Austria,1880,0.18
Austria,1890,0.21
Austria,1900,0.24
Austria,1913,0.27
Austria,1925,0.31
Austria,1929,0.34
Austria,1933,0.35
Austria,1938,0.37
Austria,1950,0.42
Austria,1955,0.44
Austria,1960,0.46
Austria,1965,0.48
Austria,1970,0.52
Austria,1975,0.54
Austria,1980,0.56
Austria,1985,0.56
Austria,1990,0.60
Austria,1995,0.64
Austria,2000,0.69
Austria,2005,0.71
Austria,2007,0.72
Austria,2010,0.74
Austria,2015,0.79
Azerbaijan,1990,0.46
Azerbaijan,1995,0.41
Azerbaijan,2000,0.42
Azerbaijan,2005,0.47
Azerbaijan,2007,0.50
Azerbaijan,2010,0.52
Azerbaijan,2015,0.52
Bahamas,1950,0.34
Bahamas,1955,0.35
Bahamas,1960,0.37
Bahamas,1965,0.41
Bahamas,1970,0.43
Bahamas,1975,0.43
Bahamas,1980,0.48
Bahamas,1985,0.48
Bahamas,1990,0.50
Bahamas,1995,0.48
Bahamas,2000,0.49
Bahamas,2005,0.52
Bahamas,2007,0.53
Bahamas,2010,0.57
Bahamas,2015,0.58
Bahrain,1950,0.15
Bahrain,1955,0.19
Bahrain,1960,0.25
Bahrain,1965,0.29
Bahrain,1970,0.30
Bahrain,1975,0.33
Bahrain,1980,0.36
Bahrain,1985,0.39
Bahrain,1990,0.43
Bahrain,1995,0.46
Bahrain,2000,0.48
Bahrain,2005,0.51
Bahrain,2007,0.53
Bahrain,2010,0.55
Bahrain,2015,0.57
Bangladesh,1950,0.09
Bangladesh,1955,0.10
Bangladesh,1960,0.10
Bangladesh,1965,0.12
Bangladesh,1970,0.13
Bangladesh,1975,0.14
Bangladesh,1980,0.15
Bangladesh,1985,0.15
Bangladesh,1990,0.17
Bangladesh,1995,0.19
Bangladesh,2000,0.23
Bangladesh,2005,0.24
Bangladesh,2007,0.27
Bangladesh,2010,0.29
Bangladesh,2015,0.33
Barbados,1950,0.31
Barbados,1955,0.35
Barbados,1960,0.40
Barbados,1965,0.44
Barbados,1970,0.47
Barbados,1975,0.48
Barbados,1980,0.51
Barbados,1985,0.53
Barbados,1990,0.55
Barbados,1995,0.56
Barbados,2000,0.61
Barbados,2005,0.62
Barbados,2007,0.67
Barbados,2010,0.70
Barbados,2015,0.66
Belarus,1980,0.51
Belarus,1985,0.52
Belarus,1990,0.51
Belarus,1995,0.55
Belarus,2000,0.60
Belarus,2005,0.63
Belarus,2007,0.58
Belarus,2010,0.60
Belarus,2015,0.67
Belgium,1870,0.20
Belgium,1880,0.22
Belgium,1890,0.23
Belgium,1900,0.25
Belgium,1913,0.28
Belgium,1925,0.31
Belgium,1929,0.33
Belgium,1933,0.34
Belgium,1938,0.36
Belgium,1950,0.39
Belgium,1955,0.43
Belgium,1960,0.48
Belgium,1965,0.49
Belgium,1970,0.55
Belgium,1975,0.56
Belgium,1980,0.57
Belgium,1985,0.60
Belgium,1990,0.62
Belgium,1995,0.63
Belgium,2000,0.65
Belgium,2005,0.79
Belgium,2007,0.74
Belgium,2010,0.79
Belgium,2015,0.84
Belize,1950,0.27
Belize,1955,0.27
Belize,1960,0.28
Belize,1965,0.29
Belize,1970,0.30
Belize,1975,0.33
Belize,1980,0.39
Belize,1985,0.40
Belize,1990,0.43
Belize,1995,0.46
